time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,9.4,9.2,12.0,9.0,8.9,9.7
100,135.4,79.6,150.5,192.6,93.7,130.36
200,94.9,111.8,126.1,139.8,83.8,111.28
300,94.6,98.8,118.3,130.2,108.1,110.0
400,99.8,94.7,136.1,123.6,102.5,111.34
500,114.5,102.8,115.2,133.9,129.9,119.25999999999999
600,105.6,108.1,119.9,141.0,111.5,117.22
700,123.8,116.7,102.8,115.4,121.9,116.12
800,79.3,127.2,84.1,149.3,147.3,117.44000000000001
900,133.4,131.8,100.8,94.7,106.8,113.5
1000,117.1,117.2,97.8,117.5,108.4,111.6
1100,117.2,104.6,95.0,158.3,122.4,119.5
1200,119.7,98.8,131.6,123.9,142.0,123.2
1300,120.8,145.1,114.7,139.2,136.7,131.3
1400,100.4,138.0,102.6,146.7,94.6,116.46
1500,106.1,156.7,139.0,179.3,142.4,144.7
1600,122.0,126.5,130.5,150.7,114.4,128.82
1700,129.6,135.8,93.9,128.8,152.2,128.06
1800,164.6,172.9,91.1,155.3,159.6,148.70000000000002
1900,162.5,148.7,180.8,168.2,141.4,160.32
2000,160.6,129.8,121.9,148.9,140.6,140.35999999999999
2100,119.8,147.0,158.0,186.3,101.4,142.5
2200,179.7,128.0,144.6,162.8,130.4,149.09999999999997
2300,156.8,89.9,156.4,169.8,122.7,139.12000000000003
2400,154.7,98.6,150.7,173.6,182.8,152.08
2500,165.6,171.3,184.7,160.6,152.7,166.97999999999996
2600,160.7,160.3,176.0,168.3,151.7,163.4
2700,169.4,146.9,149.3,182.0,194.8,168.48000000000002
2800,178.4,144.7,125.0,178.0,121.4,149.5
2900,151.7,146.5,122.2,176.2,158.7,151.06
3000,149.8,194.1,145.1,147.5,198.7,167.04000000000002
3100,161.2,105.0,166.6,167.3,194.4,158.89999999999998
3200,153.2,115.9,155.8,198.1,153.9,155.38
3300,153.2,190.3,185.3,175.4,185.0,177.83999999999997
3400,163.3,155.9,182.9,169.4,192.2,172.74
3500,134.8,141.0,126.5,194.2,198.2,158.94
3600,153.9,160.1,138.9,177.4,186.3,163.32
3700,151.1,166.0,160.7,176.7,171.4,165.18
3800,157.7,169.3,185.6,98.2,174.3,157.02000000000004
3900,182.8,141.7,179.3,130.8,189.6,164.84
4000,183.4,133.0,132.2,153.3,176.8,155.74
4100,165.2,162.7,152.1,183.3,189.6,170.57999999999998
4200,180.7,198.4,198.2,147.9,198.3,184.7
4300,170.3,198.5,167.7,162.6,136.0,167.02
4400,188.8,103.0,181.8,177.4,163.1,162.82
4500,146.4,166.9,160.7,161.5,188.3,164.76
4600,134.9,195.3,169.9,167.0,161.0,165.62
4700,169.6,171.0,191.1,200.0,183.8,183.1
4800,132.5,185.1,194.4,170.4,185.0,173.48
4900,106.7,175.6,161.9,195.4,154.0,158.72
5000,168.0,126.1,180.3,162.3,128.3,153.0
5100,155.4,151.8,186.6,191.6,151.0,167.28000000000003
5200,158.3,157.6,192.6,182.7,190.4,176.32
5300,188.8,200.0,164.3,198.9,147.0,179.8
5400,185.8,200.0,170.3,131.5,148.5,167.22
5500,175.9,166.3,146.0,192.1,156.7,167.4
5600,197.6,167.7,154.7,178.1,168.7,173.35999999999999
5700,176.8,140.7,175.0,188.2,163.7,168.88000000000002
5800,153.5,147.9,166.6,186.2,114.8,153.8
5900,200.0,181.3,199.0,176.6,166.7,184.71999999999997
6000,184.8,181.7,195.4,179.0,163.2,180.82
6100,138.3,181.7,193.0,194.8,183.8,178.32
6200,179.0,200.0,142.5,166.0,190.4,175.57999999999998
6300,192.4,139.6,198.5,191.5,136.6,171.72
6400,192.3,177.6,136.7,179.5,160.2,169.26
6500,169.4,172.5,114.0,159.4,198.3,162.71999999999997
6600,158.4,177.0,172.3,199.8,179.5,177.4
6700,182.0,139.5,173.7,198.2,164.5,171.57999999999998
6800,164.4,51.0,181.1,107.0,144.9,129.68
6900,175.6,149.9,121.3,158.0,167.4,154.44
7000,183.9,152.5,187.9,183.4,179.1,177.35999999999999
7100,167.1,183.1,194.3,185.5,146.9,175.38
7200,138.3,178.1,147.8,181.3,165.8,162.26
7300,162.1,159.0,107.8,182.8,200.0,162.34
7400,165.7,141.0,154.3,179.1,177.7,163.56
7500,170.6,127.8,200.0,198.6,153.2,170.04000000000002
7600,153.6,193.3,164.5,200.0,164.4,175.16
7700,189.1,181.0,148.6,166.1,147.5,166.46
7800,200.0,181.2,182.9,197.2,185.6,189.38
7900,178.2,178.4,155.8,178.3,85.8,155.3
8000,200.0,153.0,197.8,144.0,147.8,168.51999999999998
8100,184.0,193.4,181.4,133.1,148.6,168.1
8200,184.9,114.3,167.9,183.9,114.3,153.06
8300,200.0,169.0,165.3,177.8,161.5,174.71999999999997
8400,183.3,124.0,149.4,200.0,108.0,152.94
8500,164.8,165.8,165.0,179.1,181.0,171.14000000000001
8600,134.4,132.6,144.9,170.6,183.2,153.14000000000001
8700,181.1,157.8,144.8,178.4,181.7,168.76
8800,166.0,136.6,153.1,184.8,167.6,161.62
8900,182.0,181.0,179.8,197.1,126.7,173.32
9000,181.2,89.9,200.0,148.8,164.5,156.88000000000002
9100,128.6,118.2,141.5,182.7,195.7,153.34
9200,144.0,123.4,176.6,162.0,141.1,149.42000000000002
9300,161.2,170.3,165.4,114.9,124.5,147.26
9400,162.4,200.0,140.5,139.6,135.7,155.64000000000001
9500,197.9,104.7,102.6,142.5,93.3,128.2
9600,193.7,142.8,148.3,198.5,162.3,169.11999999999998
9700,145.1,118.5,151.6,170.4,104.8,138.07999999999998
9800,150.5,143.2,141.0,132.4,181.4,149.7
9900,180.8,200.0,162.2,130.1,160.7,166.76
