time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,168.7,181.4,172.4,162.2,181.2,173.18
100,93.8,9.5,9.2,9.5,9.2,26.24
200,55.5,9.4,62.2,9.2,27.1,32.68
300,54.8,9.3,128.0,51.3,138.7,76.41999999999999
400,169.5,9.3,183.6,125.0,196.2,136.71999999999997
500,134.1,10.2,94.5,84.8,173.0,99.32
600,196.7,19.2,193.7,52.2,200.0,132.35999999999999
700,200.0,51.3,200.0,70.6,200.0,144.38
800,182.1,76.2,200.0,104.1,194.7,151.42
900,200.0,157.1,186.2,51.7,200.0,159.0
1000,200.0,74.3,200.0,120.9,200.0,159.04000000000002
1100,200.0,52.3,200.0,145.8,200.0,159.62
1200,200.0,52.0,200.0,111.3,200.0,152.66
1300,200.0,67.9,198.1,150.4,200.0,163.28
1400,200.0,50.9,200.0,155.8,200.0,161.34
1500,200.0,52.6,199.1,96.9,200.0,149.72
1600,200.0,60.8,200.0,159.4,200.0,164.04000000000002
1700,200.0,40.1,200.0,143.9,198.4,156.48
1800,200.0,58.5,200.0,179.3,200.0,167.56
1900,200.0,71.0,200.0,181.6,195.0,169.52
2000,191.0,53.4,200.0,163.9,200.0,161.66
2100,200.0,73.5,200.0,174.1,200.0,169.52
2200,200.0,69.8,200.0,180.4,200.0,170.04000000000002
2300,200.0,71.0,200.0,184.7,200.0,171.14000000000001
2400,200.0,53.8,200.0,134.7,199.2,157.54000000000002
2500,200.0,74.2,200.0,137.7,200.0,162.38
2600,200.0,75.7,200.0,180.0,200.0,171.14000000000001
2700,200.0,103.4,200.0,148.0,200.0,170.28
2800,200.0,102.5,200.0,172.2,200.0,174.94
2900,200.0,74.5,197.8,200.0,200.0,174.45999999999998
3000,200.0,100.4,200.0,200.0,200.0,180.07999999999998
3100,200.0,84.3,200.0,200.0,200.0,176.85999999999999
3200,194.2,101.0,200.0,200.0,200.0,179.04000000000002
3300,200.0,113.2,200.0,195.6,200.0,181.76000000000002
3400,200.0,172.7,200.0,200.0,200.0,194.54000000000002
3500,196.0,178.2,200.0,200.0,200.0,194.84
3600,200.0,125.1,200.0,196.2,200.0,184.26
3700,196.5,160.6,200.0,188.2,200.0,189.06
3800,200.0,174.2,200.0,165.7,200.0,187.98000000000002
3900,200.0,171.2,200.0,200.0,200.0,194.24
4000,200.0,193.3,200.0,198.7,200.0,198.4
4100,200.0,187.6,200.0,200.0,200.0,197.52
4200,200.0,190.0,200.0,196.1,193.1,195.84
4300,200.0,164.0,198.5,200.0,198.6,192.22
4400,200.0,192.0,200.0,200.0,191.4,196.68
4500,200.0,168.0,200.0,200.0,192.7,192.14000000000001
4600,200.0,180.2,200.0,200.0,195.8,195.2
4700,200.0,185.2,200.0,200.0,200.0,197.04000000000002
4800,200.0,190.5,196.1,200.0,184.1,194.14000000000001
4900,200.0,198.3,200.0,200.0,168.0,193.26
5000,200.0,197.4,200.0,200.0,179.3,195.34
5100,200.0,188.9,200.0,200.0,200.0,197.78
5200,200.0,191.8,200.0,200.0,200.0,198.35999999999999
5300,200.0,193.7,195.1,200.0,200.0,197.76
5400,200.0,156.9,187.2,200.0,200.0,188.82
5500,200.0,158.7,195.1,200.0,200.0,190.76
5600,200.0,170.0,197.8,200.0,200.0,193.56
5700,200.0,161.9,172.0,200.0,200.0,186.78
5800,200.0,139.1,146.6,200.0,200.0,177.14000000000001
5900,200.0,138.2,116.8,199.6,200.0,170.92000000000002
6000,173.6,144.6,187.8,200.0,200.0,181.2
6100,14.1,126.0,151.5,200.0,200.0,138.32
6200,9.7,137.1,81.5,200.0,200.0,125.66
6300,200.0,143.3,9.0,200.0,200.0,150.45999999999998
6400,200.0,112.3,9.0,200.0,200.0,144.26
6500,200.0,200.0,200.0,200.0,200.0,200.0
6600,200.0,200.0,200.0,200.0,200.0,200.0
6700,200.0,177.3,200.0,200.0,200.0,195.45999999999998
6800,199.7,200.0,200.0,200.0,200.0,199.94
6900,189.4,200.0,200.0,200.0,200.0,197.88
7000,150.9,200.0,200.0,200.0,200.0,190.18
7100,152.0,200.0,200.0,200.0,200.0,190.4
7200,147.7,200.0,200.0,200.0,200.0,189.54000000000002
7300,143.1,200.0,200.0,200.0,200.0,188.62
7400,145.5,200.0,200.0,200.0,200.0,189.1
7500,142.2,200.0,200.0,200.0,200.0,188.44
7600,137.5,200.0,200.0,200.0,200.0,187.5
7700,138.1,200.0,200.0,200.0,200.0,187.62
7800,171.3,200.0,200.0,200.0,9.9,156.23999999999998
7900,175.2,200.0,200.0,200.0,200.0,195.04000000000002
8000,157.6,200.0,200.0,9.4,200.0,153.4
8100,134.8,200.0,200.0,9.8,200.0,148.92
8200,152.1,200.0,200.0,9.6,200.0,152.34
8300,185.6,200.0,200.0,10.1,200.0,159.14000000000001
8400,200.0,200.0,200.0,200.0,200.0,200.0
8500,200.0,200.0,200.0,21.1,200.0,164.22
8600,200.0,200.0,200.0,111.9,200.0,182.38
8700,200.0,200.0,200.0,18.9,200.0,163.78
8800,200.0,200.0,200.0,23.2,200.0,164.64000000000001
8900,200.0,200.0,200.0,200.0,200.0,200.0
9000,200.0,200.0,200.0,200.0,200.0,200.0
9100,200.0,197.1,200.0,200.0,200.0,199.42000000000002
9200,200.0,200.0,200.0,200.0,200.0,200.0
9300,200.0,200.0,200.0,200.0,200.0,200.0
9400,200.0,200.0,200.0,200.0,200.0,200.0
9500,200.0,198.1,200.0,200.0,200.0,199.62
9600,200.0,186.3,200.0,200.0,200.0,197.26
9700,200.0,180.9,200.0,200.0,200.0,196.18
9800,200.0,159.2,200.0,200.0,200.0,191.84
9900,200.0,174.5,200.0,200.0,200.0,194.9
