train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,9.3,9.1,9.2,9.0,9.3,9.179999999999998
200,9.6,9.3,129.3,15.0,9.6,34.56
300,24.6,15.8,100.5,31.4,78.4,50.14
400,21.7,36.7,55.6,18.8,109.0,48.36
500,40.7,16.9,64.3,19.2,76.9,43.6
600,40.9,36.3,114.8,18.1,44.2,50.86
700,40.8,32.0,116.1,27.2,56.0,54.419999999999995
800,63.0,79.9,163.2,100.8,86.9,98.76000000000002
900,88.4,49.1,133.6,61.7,134.5,93.46000000000001
1000,57.7,108.1,159.5,200.0,176.5,140.35999999999999
1100,57.9,133.9,167.4,122.6,130.0,122.36000000000001
1200,150.0,152.5,189.4,148.7,63.4,140.79999999999998
1300,74.1,111.0,200.0,109.6,90.9,117.12
1400,124.0,144.3,200.0,188.3,111.1,153.54000000000002
1500,143.2,128.3,190.4,172.5,171.8,161.24
1600,179.9,170.9,200.0,161.6,158.7,174.21999999999997
1700,174.5,167.2,196.0,148.1,194.0,175.96
1800,186.3,172.7,191.0,188.9,200.0,187.78
1900,195.3,177.6,194.2,171.1,198.4,187.32
2000,199.4,169.5,200.0,161.0,191.1,184.2
2100,199.6,188.9,186.4,159.4,200.0,186.85999999999999
2200,200.0,176.9,174.7,194.0,195.1,188.14
2300,199.6,188.2,177.9,169.0,200.0,186.94
2400,187.4,190.5,196.2,191.8,198.6,192.89999999999998
2500,175.1,181.6,198.7,190.1,200.0,189.1
2600,183.6,190.0,200.0,173.8,197.3,188.94
2700,194.9,165.6,194.7,154.6,196.8,181.32000000000002
2800,176.0,173.2,198.3,179.4,188.7,183.11999999999998
2900,188.5,183.4,200.0,183.1,199.5,190.9
3000,160.8,157.1,200.0,167.1,172.4,171.48
3100,171.0,172.7,185.8,158.6,193.1,176.24
3200,164.4,190.9,189.9,188.1,188.8,184.42000000000002
3300,179.4,179.4,188.8,168.3,200.0,183.18
3400,185.8,192.3,200.0,177.7,194.4,190.04
3500,187.8,189.0,200.0,173.6,141.4,178.35999999999999
3600,193.4,195.8,193.5,173.6,189.4,189.14000000000001
3700,180.0,190.9,198.0,178.1,195.7,188.54000000000002
3800,200.0,194.4,199.7,161.4,192.7,189.63999999999996
3900,200.0,182.9,200.0,186.5,178.7,189.61999999999998
4000,200.0,194.7,200.0,187.0,175.0,191.34
4100,200.0,194.6,200.0,185.9,198.4,195.78
4200,199.8,188.6,200.0,185.1,199.5,194.6
4300,200.0,178.2,200.0,178.3,200.0,191.3
4400,200.0,191.7,200.0,168.8,200.0,192.1
4500,185.9,194.3,200.0,184.8,200.0,193.0
4600,193.9,182.0,200.0,173.8,200.0,189.94
4700,200.0,197.6,200.0,187.3,200.0,196.98000000000002
4800,200.0,193.8,200.0,176.4,197.6,193.56
4900,192.5,191.9,200.0,179.4,200.0,192.76
5000,200.0,198.7,200.0,174.5,200.0,194.64000000000001
