train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,9.6,9.7,9.6,9.2,9.3,9.479999999999999
200,9.0,9.5,9.5,9.7,9.6,9.46
300,8.9,8.6,9.3,9.8,9.3,9.180000000000001
400,9.5,9.3,9.3,9.0,9.3,9.280000000000001
500,9.3,9.4,9.4,9.9,9.1,9.42
600,9.4,9.6,9.3,9.2,9.4,9.379999999999999
700,9.3,9.3,9.0,9.2,8.9,9.139999999999999
800,9.0,9.6,9.3,9.1,9.3,9.26
900,9.4,9.3,9.2,9.6,9.9,9.48
1000,9.6,9.5,9.2,9.7,9.3,9.459999999999999
1100,9.2,9.4,10.1,9.4,9.6,9.540000000000001
1200,9.1,9.4,9.3,9.0,9.0,9.16
1300,9.4,9.1,9.2,9.4,9.4,9.3
1400,8.7,9.2,9.5,9.4,9.7,9.3
1500,9.0,9.6,9.5,9.6,9.2,9.38
1600,9.3,9.0,9.5,9.3,9.1,9.24
1700,9.3,9.8,9.2,9.5,9.4,9.44
1800,9.6,9.3,9.4,9.5,9.2,9.4
1900,9.4,9.4,9.6,9.1,9.6,9.42
2000,9.4,9.5,9.2,9.2,9.2,9.3
2100,9.3,9.1,9.2,9.6,9.2,9.279999999999998
2200,9.6,9.3,9.1,9.7,9.3,9.4
2300,9.2,9.7,9.5,9.3,9.2,9.38
2400,9.3,9.2,9.3,9.3,9.4,9.3
2500,9.1,9.4,9.3,9.6,9.3,9.34
2600,9.3,9.3,9.0,9.0,9.4,9.2
2700,9.4,8.9,9.2,9.8,9.2,9.3
2800,9.3,9.5,9.4,9.5,9.4,9.42
2900,9.4,9.5,9.5,9.1,9.3,9.36
3000,9.4,9.2,8.9,9.7,9.0,9.24
3100,9.4,9.1,9.4,9.3,9.5,9.34
3200,9.5,9.2,9.4,9.1,9.8,9.4
3300,9.2,9.6,9.1,9.5,9.3,9.34
3400,9.0,9.5,9.4,9.0,9.3,9.24
3500,9.6,9.8,8.9,9.5,9.0,9.36
3600,9.6,9.4,9.2,9.5,9.6,9.46
3700,9.2,9.1,9.8,9.4,9.1,9.32
3800,9.6,9.4,9.4,9.3,9.2,9.38
3900,9.2,9.2,9.3,9.7,8.9,9.26
4000,9.3,9.5,9.6,9.0,9.1,9.3
4100,9.4,9.4,9.2,9.4,9.0,9.28
4200,9.7,9.4,9.4,9.3,9.9,9.54
4300,9.6,9.4,9.4,9.3,8.9,9.32
4400,9.4,9.7,9.7,9.4,9.2,9.48
4500,9.4,9.3,9.1,9.7,9.4,9.379999999999999
4600,9.7,9.1,9.0,9.3,9.3,9.279999999999998
4700,9.5,9.2,9.6,9.2,9.7,9.440000000000001
4800,9.0,9.2,9.9,9.6,9.5,9.440000000000001
4900,9.5,9.3,9.2,9.0,9.3,9.26
5000,9.2,8.9,9.4,9.4,9.4,9.26
