train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,12.6,56.1,49.9,78.4,22.1,43.82
4,12.9,45.4,72.8,97.1,11.0,47.839999999999996
6,9.5,44.4,44.8,60.3,18.4,35.480000000000004
8,9.3,51.9,57.2,37.0,9.6,33.0
10,8.9,52.3,27.9,19.2,9.3,23.52
12,9.3,49.3,22.4,12.3,15.6,21.779999999999998
14,9.3,50.6,16.0,11.4,15.1,20.48
16,9.5,39.1,12.0,11.0,9.4,16.2
18,9.2,33.2,10.0,10.5,9.5,14.48
20,9.3,21.4,9.3,10.2,8.9,11.82
22,9.9,15.3,9.2,9.3,9.3,10.6
24,9.1,13.7,9.6,9.2,9.3,10.179999999999998
26,9.4,11.1,9.3,9.3,9.2,9.66
28,9.0,9.4,9.3,9.3,9.4,9.28
30,9.4,9.2,9.2,8.8,9.4,9.2
32,9.5,9.6,9.8,9.1,9.4,9.48
34,9.2,9.6,9.6,9.5,8.9,9.36
36,9.2,9.3,9.7,9.6,9.4,9.44
38,8.9,9.5,9.0,9.3,9.1,9.16
40,9.3,9.2,9.9,9.5,9.4,9.459999999999999
42,9.1,9.4,9.4,9.3,9.3,9.3
44,9.4,9.5,9.2,9.4,19.4,11.379999999999999
46,9.4,9.5,9.8,9.3,9.6,9.52
48,9.3,9.4,9.2,9.8,9.1,9.360000000000001
50,9.2,9.3,9.5,9.7,9.2,9.38
52,9.2,9.3,9.2,9.9,9.6,9.440000000000001
54,9.4,9.3,9.3,9.3,9.5,9.360000000000001
56,9.4,9.4,9.7,9.2,9.1,9.360000000000001
58,9.3,9.3,9.6,9.4,9.0,9.32
60,9.4,9.5,9.2,9.5,10.1,9.54
62,9.1,8.9,9.7,9.4,11.5,9.72
64,9.3,9.0,8.6,9.9,11.5,9.66
66,9.5,9.5,9.8,9.4,11.4,9.92
68,9.0,10.2,10.6,9.3,10.5,9.919999999999998
70,9.0,9.1,10.3,9.8,11.1,9.860000000000001
72,9.6,10.1,10.1,9.5,11.0,10.059999999999999
74,9.4,10.5,9.3,9.6,10.7,9.9
76,9.9,9.8,10.0,9.5,10.8,10.0
78,9.7,9.3,9.3,9.6,9.6,9.5
80,11.4,10.0,10.1,9.1,9.7,10.059999999999999
82,10.9,10.9,9.6,9.6,10.2,10.24
84,11.7,10.8,9.4,9.3,10.9,10.42
86,10.7,11.2,10.1,9.3,10.3,10.319999999999999
88,10.8,10.5,10.0,8.9,10.1,10.06
90,11.0,11.1,9.7,9.4,9.6,10.16
92,10.0,10.6,9.8,9.5,10.1,10.000000000000002
94,9.2,10.6,9.9,9.1,9.9,9.739999999999998
96,10.3,10.7,9.3,9.2,10.4,9.98
98,10.1,10.4,10.1,9.4,10.7,10.14
100,9.6,10.9,9.8,9.2,10.9,10.08
