train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,33.5,9.6,79.1,9.4,19.6,30.24
4,84.7,9.1,67.2,9.1,42.2,42.46
6,23.7,11.0,9.1,9.8,51.2,20.96
8,9.9,9.2,9.2,9.3,47.7,17.060000000000002
10,9.7,9.5,12.1,9.3,52.2,18.56
12,9.4,10.0,11.4,9.5,38.1,15.680000000000001
14,9.6,12.3,11.7,9.4,32.5,15.1
16,9.1,75.0,9.2,9.3,21.6,24.839999999999996
18,9.5,74.1,9.0,9.4,17.7,23.94
20,9.0,72.7,9.4,9.8,15.5,23.28
22,9.3,112.3,9.2,8.9,12.5,30.439999999999998
24,9.3,58.2,9.2,9.5,9.5,19.14
26,9.2,92.3,9.2,9.3,9.6,25.919999999999998
28,9.4,70.4,9.4,8.9,9.5,21.520000000000003
30,31.2,91.6,9.6,9.6,9.6,30.32
32,68.9,64.0,9.3,9.4,9.3,32.18000000000001
34,92.7,101.3,9.5,9.3,9.2,44.4
36,73.5,72.5,9.4,9.2,29.6,38.839999999999996
38,67.4,66.7,9.5,9.1,99.7,50.480000000000004
40,79.3,42.5,9.2,9.7,110.4,50.22
42,71.1,53.3,9.3,9.2,88.4,46.26
44,72.0,55.6,9.1,9.3,86.1,46.42
46,41.1,45.2,9.1,9.5,79.7,36.92
48,27.5,51.2,9.4,9.3,56.0,30.68
50,21.6,33.2,9.3,9.3,81.1,30.9
52,48.2,46.7,9.6,19.1,61.6,37.04
54,61.3,42.2,9.3,42.8,64.7,44.06
56,74.2,39.3,8.7,57.8,55.8,47.160000000000004
58,88.5,59.7,8.9,60.1,55.5,54.54
60,96.7,48.5,9.6,58.4,57.0,54.04
62,68.9,55.6,9.3,58.8,51.3,48.78000000000001
64,62.0,49.1,9.2,67.9,63.9,50.42
66,52.4,63.9,9.6,68.8,45.2,47.98
68,68.1,56.2,9.5,50.1,43.5,45.480000000000004
70,54.1,45.2,9.4,48.5,42.5,39.940000000000005
72,63.6,40.9,9.2,53.4,64.6,46.339999999999996
74,56.2,39.3,9.4,52.6,48.9,41.28
76,43.6,53.6,9.4,71.3,67.6,49.1
78,40.9,43.2,9.3,50.8,58.4,40.519999999999996
80,60.2,44.7,9.2,49.1,36.8,40.0
82,46.3,39.4,9.2,56.4,43.1,38.879999999999995
84,51.4,51.1,9.4,43.6,52.3,41.56
86,57.5,52.5,9.9,45.9,38.8,40.92
88,72.2,49.4,8.9,44.6,36.8,42.379999999999995
90,45.6,59.3,9.0,42.0,43.6,39.9
92,50.1,47.0,9.5,40.2,35.2,36.4
94,52.0,48.6,9.3,50.4,37.0,39.459999999999994
96,41.2,57.6,14.1,40.5,38.0,38.28
98,53.5,49.4,16.1,36.4,46.0,40.28
100,42.5,46.6,17.2,46.2,37.5,38.0
