train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,9.9,10.0,9.2,10.1,19.9,11.819999999999999
4,9.1,9.1,9.6,32.5,15.3,15.12
6,9.5,8.9,9.7,26.9,16.1,14.219999999999999
8,12.2,9.4,12.2,20.9,21.6,15.26
10,26.5,9.9,14.1,12.7,23.0,17.240000000000002
12,122.2,9.0,14.0,9.7,19.3,34.839999999999996
14,192.3,9.6,14.9,10.3,18.8,49.18000000000001
16,162.7,9.7,11.3,11.8,14.3,41.96
18,126.8,9.1,11.4,18.4,17.0,36.540000000000006
20,121.9,9.6,17.0,20.1,24.7,38.66
22,71.4,9.3,14.2,22.3,39.0,31.24
24,62.0,9.6,13.7,10.8,47.5,28.72
26,82.5,9.6,11.6,9.4,38.7,30.360000000000003
28,145.6,58.1,26.2,9.0,43.6,56.5
30,195.5,61.4,16.1,9.5,55.4,67.58
32,169.9,92.2,34.7,9.3,63.8,73.98
34,182.4,85.5,56.2,15.7,74.6,82.88
36,155.8,141.5,72.6,45.8,79.7,99.08
38,150.7,140.4,114.1,47.1,69.7,104.40000000000002
40,149.5,107.6,111.4,64.1,87.7,104.06000000000002
42,137.7,105.1,119.1,77.0,89.6,105.7
44,159.1,87.6,104.2,62.9,70.9,96.93999999999998
46,109.6,160.0,86.5,75.0,78.5,101.92
48,153.1,105.8,92.4,81.0,60.5,98.55999999999999
50,114.8,90.8,117.8,85.5,91.5,100.08
52,149.7,86.9,112.9,73.0,84.1,101.32000000000001
54,132.3,133.5,83.0,80.5,87.0,103.25999999999999
56,106.5,132.1,80.6,73.4,75.5,93.62
58,133.4,161.5,93.4,72.5,72.5,106.66
60,139.5,121.1,94.4,60.1,71.9,97.4
62,144.2,147.1,93.9,65.1,76.0,105.25999999999999
64,98.4,104.0,88.5,62.2,66.5,83.91999999999999
66,119.5,109.6,91.1,67.0,61.6,89.76
68,123.5,98.6,83.2,41.8,64.8,82.38000000000001
70,130.8,106.1,103.7,58.1,82.9,96.32000000000001
72,103.4,133.9,70.7,44.4,58.6,82.2
74,88.0,94.0,77.2,51.9,67.5,75.72
76,99.9,71.1,67.0,73.2,74.7,77.17999999999999
78,89.0,91.7,83.9,67.9,67.9,80.08
80,94.6,71.8,83.2,105.2,73.7,85.69999999999999
82,74.3,77.5,68.0,98.0,63.5,76.26
84,64.7,74.5,52.0,108.2,76.2,75.11999999999999
86,91.3,102.6,64.1,93.1,57.9,81.8
88,100.2,89.8,69.4,106.2,74.0,87.91999999999999
90,87.1,75.7,45.2,143.1,68.6,83.94000000000001
92,118.3,71.9,55.3,148.4,82.2,95.22
94,99.5,85.3,41.7,138.7,93.1,91.66
96,98.3,119.4,40.4,108.7,85.3,90.41999999999999
98,60.7,57.3,50.4,103.3,86.6,71.66
100,62.6,82.5,56.8,129.6,92.3,84.76
