train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,157.7,32.8,63.5,47.0,54.7,71.14
200,200.0,17.7,103.8,44.5,33.4,79.88
300,200.0,42.4,91.0,34.8,39.3,81.5
400,176.2,25.9,74.9,32.2,78.7,77.58
500,200.0,34.9,54.8,32.7,119.3,88.34
600,189.0,44.6,65.9,80.1,19.9,79.9
700,175.2,55.5,72.8,78.6,73.8,91.18
800,132.0,68.0,62.1,88.2,108.8,91.82000000000001
900,166.6,135.8,62.1,181.0,121.1,133.32
1000,130.0,200.0,124.9,198.1,115.6,153.72
1100,99.5,200.0,197.5,179.0,110.8,157.35999999999999
1200,104.1,121.9,200.0,171.5,126.0,144.7
1300,38.3,199.3,200.0,194.9,152.0,156.9
1400,183.9,132.4,200.0,113.3,152.5,156.42
1500,197.2,165.0,200.0,105.1,118.5,157.16000000000003
1600,200.0,187.9,136.5,63.4,128.5,143.26
1700,198.9,157.5,181.7,51.4,68.1,131.51999999999998
1800,186.8,174.2,200.0,106.7,158.4,165.22
1900,192.7,197.4,200.0,82.5,133.4,161.2
2000,165.0,186.6,196.3,100.0,115.5,152.68
2100,150.1,170.4,118.8,117.3,139.2,139.16
2200,127.8,174.5,175.6,62.3,133.4,134.71999999999997
2300,165.0,132.5,200.0,58.7,155.6,142.36
2400,157.2,190.0,150.0,96.9,148.8,148.58
2500,153.9,144.1,190.1,156.6,158.2,160.58
2600,181.4,198.4,165.8,103.8,180.0,165.88
2700,174.4,179.4,181.6,101.3,168.8,161.1
2800,146.5,156.3,200.0,189.5,183.3,175.11999999999998
2900,154.3,117.5,192.0,164.5,194.2,164.5
3000,157.6,64.1,191.8,176.3,153.5,148.66
3100,95.5,99.3,191.1,112.7,176.4,135.0
3200,98.4,113.6,186.4,168.8,172.2,147.88000000000002
3300,122.5,78.7,148.0,186.8,183.8,143.95999999999998
3400,156.4,110.1,196.2,141.5,181.6,157.16000000000003
3500,120.3,154.1,192.6,200.0,185.5,170.5
3600,119.5,91.3,194.1,94.4,142.9,128.44
3700,134.0,37.7,200.0,196.2,174.0,148.38
3800,133.8,88.3,189.1,54.9,107.3,114.67999999999999
3900,127.8,155.1,199.2,172.7,182.8,167.51999999999998
4000,147.9,98.3,125.5,131.3,130.0,126.6
4100,171.3,174.8,148.6,198.6,170.8,172.82000000000002
4200,174.8,169.0,138.7,197.5,136.2,163.24
4300,170.6,155.3,200.0,196.2,126.5,169.71999999999997
4400,191.6,175.8,200.0,156.4,117.6,168.28
4500,156.1,128.5,200.0,197.9,104.9,157.48
4600,92.3,83.0,200.0,141.8,124.6,128.34
4700,142.2,95.9,200.0,152.2,200.0,158.06
4800,177.0,200.0,160.3,147.9,150.9,167.21999999999997
4900,135.4,98.6,200.0,192.5,158.6,157.02
5000,157.0,192.8,200.0,167.1,175.1,178.4
