train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,164.6,89.9,191.7,200.0,88.1,146.86
200,121.7,196.4,118.7,196.6,197.5,166.18
300,190.4,199.4,120.1,158.2,110.1,155.64
400,115.8,191.8,133.0,158.4,150.7,149.94
500,130.1,114.9,184.4,122.2,200.0,150.32
600,87.1,192.2,144.7,196.6,171.1,158.33999999999997
700,181.0,169.6,110.0,168.2,183.9,162.54
800,130.2,176.7,140.3,198.3,157.8,160.66
900,168.4,200.0,136.4,125.3,111.2,148.26
1000,200.0,172.1,173.3,199.6,146.6,178.32000000000002
1100,154.9,149.0,200.0,186.7,197.8,177.67999999999998
1200,140.1,193.4,172.2,183.7,155.8,169.04000000000002
1300,194.9,156.3,185.2,143.2,125.1,160.94000000000003
1400,132.5,198.7,198.6,200.0,200.0,185.95999999999998
1500,200.0,197.6,199.0,200.0,184.3,196.18
1600,153.7,200.0,173.3,184.4,200.0,182.28
1700,138.0,200.0,200.0,200.0,200.0,187.6
1800,199.3,198.8,194.2,199.8,165.4,191.49999999999997
1900,140.9,180.8,200.0,200.0,190.1,182.36
2000,200.0,185.7,200.0,200.0,200.0,197.14000000000001
2100,200.0,188.7,200.0,200.0,200.0,197.74
2200,192.2,174.0,185.7,192.8,166.8,182.3
2300,199.8,182.4,190.5,200.0,192.9,193.12
2400,171.7,194.0,191.1,179.4,200.0,187.23999999999998
2500,166.6,199.4,184.1,200.0,167.4,183.5
2600,198.8,198.1,200.0,165.6,140.7,180.64000000000001
2700,200.0,200.0,200.0,200.0,177.7,195.54000000000002
2800,200.0,200.0,199.4,154.7,200.0,190.82
2900,200.0,199.7,191.1,179.1,200.0,193.98
3000,198.4,200.0,197.5,197.9,200.0,198.76
3100,200.0,131.2,180.8,200.0,200.0,182.4
3200,198.5,200.0,200.0,156.9,200.0,191.07999999999998
3300,199.8,193.2,200.0,144.4,191.0,185.68
3400,200.0,167.9,200.0,140.0,159.2,173.42
3500,200.0,198.6,200.0,160.7,172.9,186.44
3600,200.0,166.7,200.0,200.0,170.0,187.34
3700,196.5,132.9,200.0,168.6,156.0,170.8
3800,200.0,189.2,200.0,200.0,200.0,197.84
3900,153.3,200.0,200.0,167.8,156.4,175.49999999999997
4000,200.0,137.0,200.0,194.6,168.5,180.02
4100,200.0,200.0,200.0,200.0,200.0,200.0
4200,200.0,199.7,200.0,198.4,177.1,195.04000000000002
4300,200.0,200.0,200.0,200.0,185.6,197.12
4400,169.0,200.0,200.0,200.0,200.0,193.8
4500,200.0,200.0,200.0,200.0,200.0,200.0
4600,200.0,200.0,200.0,200.0,157.2,191.44
4700,200.0,200.0,200.0,200.0,193.9,198.78
4800,159.2,200.0,200.0,200.0,200.0,191.84
4900,200.0,192.3,200.0,200.0,200.0,198.45999999999998
5000,200.0,200.0,200.0,200.0,200.0,200.0
