time_step,avg_return_0,avg_of_avg_returns
0,-301.21,-301.21
100,-348.829,-348.829
200,-355.588,-355.588
300,-373.298,-373.298
400,-331.624,-331.624
500,-364.964,-364.964
600,-304.267,-304.267
700,-321.271,-321.271
800,-325.182,-325.182
900,-327.469,-327.469
1000,-360.452,-360.452
1100,-325.043,-325.043
1200,-274.652,-274.652
1300,-301.579,-301.579
1400,-337.534,-337.534
1500,-319.936,-319.936
1600,-370.6,-370.6
1700,-307.57,-307.57
1800,-233.401,-233.401
1900,-279.03,-279.03
2000,-260.65,-260.65
2100,-280.001,-280.001
2200,-273.621,-273.621
2300,-266.222,-266.222
2400,-226.49,-226.49
2500,-254.487,-254.487
2600,-233.183,-233.183
2700,-234.11,-234.11
2800,-220.889,-220.889
2900,-222.277,-222.277
3000,-215.918,-215.918
3100,-256.758,-256.758
3200,-174.836,-174.836
3300,-227.027,-227.027
3400,-199.636,-199.636
3500,-184.581,-184.581
3600,-160.263,-160.263
3700,-182.382,-182.382
3800,-154.187,-154.187
3900,-166.482,-166.482
4000,-160.889,-160.889
4100,-162.448,-162.448
4200,-137.571,-137.571
4300,-166.98,-166.98
4400,-130.018,-130.018
4500,-130.949,-130.949
4600,-124.495,-124.495
4700,-139.05,-139.05
4800,-118.142,-118.142
4900,-152.535,-152.535
