time_step,avg_return_0,avg_of_avg_returns
0,-504.444,-504.444
100,-325.404,-325.404
200,-328.45,-328.45
300,-269.332,-269.332
400,-271.521,-271.521
500,-289.515,-289.515
600,-289.67,-289.67
700,-275.551,-275.551
800,-282.462,-282.462
900,-218.46,-218.46
1000,-266.842,-266.842
1100,-261.193,-261.193
1200,-228.217,-228.217
1300,-235.114,-235.114
1400,-239.874,-239.874
1500,-223.987,-223.987
1600,-238.498,-238.498
1700,-203.375,-203.375
1800,-231.78,-231.78
1900,-261.512,-261.512
2000,-185.468,-185.468
2100,-203.262,-203.262
2200,-174.58,-174.58
2300,-194.064,-194.064
2400,-185.454,-185.454
2500,-203.089,-203.089
2600,-176.952,-176.952
2700,-189.725,-189.725
2800,-201.303,-201.303
2900,-177.09,-177.09
3000,-193.21,-193.21
3100,-184.911,-184.911
3200,-167.126,-167.126
3300,-151.838,-151.838
3400,-162.024,-162.024
3500,-158.001,-158.001
3600,-156.787,-156.787
3700,-167.541,-167.541
3800,-159.126,-159.126
3900,-183.346,-183.346
4000,-138.111,-138.111
4100,-179.541,-179.541
4200,-162.487,-162.487
4300,-132.914,-132.914
4400,-173.536,-173.536
4500,-162.061,-162.061
4600,-145.193,-145.193
4700,-156.962,-156.962
4800,-142.222,-142.222
4900,-126.11,-126.11
