time_step,avg_return_0,avg_of_avg_returns
0,-304.136,-304.136
100,-285.317,-285.317
200,-322.069,-322.069
300,-289.99,-289.99
400,-290.333,-290.333
500,-270.403,-270.403
600,-240.771,-240.771
700,-328.937,-328.937
800,-266.099,-266.099
900,-297.022,-297.022
1000,-299.235,-299.235
1100,-307.933,-307.933
1200,-282.621,-282.621
1300,-341.499,-341.499
1400,-306.324,-306.324
1500,-290.733,-290.733
1600,-291.07,-291.07
1700,-260.332,-260.332
1800,-280.078,-280.078
1900,-282.749,-282.749
2000,-277.386,-277.386
2100,-272.006,-272.006
2200,-261.513,-261.513
2300,-253.329,-253.329
2400,-237.829,-237.829
2500,-274.011,-274.011
2600,-268.578,-268.578
2700,-254.615,-254.615
2800,-285.915,-285.915
2900,-248.875,-248.875
3000,-286.178,-286.178
3100,-264.306,-264.306
3200,-272.202,-272.202
3300,-257.872,-257.872
3400,-272.142,-272.142
3500,-265.131,-265.131
3600,-253.918,-253.918
3700,-256.334,-256.334
3800,-290.655,-290.655
3900,-241.004,-241.004
4000,-210.061,-210.061
4100,-224.577,-224.577
4200,-227.446,-227.446
4300,-256.65,-256.65
4400,-264.358,-264.358
4500,-222.866,-222.866
4600,-229.807,-229.807
4700,-232.135,-232.135
4800,-186.694,-186.694
4900,-247.714,-247.714
5000,-235.503,-235.503
5100,-208.204,-208.204
5200,-223.7,-223.7
5300,-272.839,-272.839
5400,-231.999,-231.999
5500,-241.449,-241.449
5600,-272.949,-272.949
5700,-219.087,-219.087
5800,-210.618,-210.618
5900,-231.61,-231.61
6000,-240.901,-240.901
6100,-188.234,-188.234
6200,-253.602,-253.602
6300,-157.56,-157.56
6400,-188.42,-188.42
6500,-218.959,-218.959
6600,-186.96,-186.96
6700,-188.127,-188.127
6800,-214.95,-214.95
6900,-206.825,-206.825
7000,-158.576,-158.576
7100,-182.188,-182.188
7200,-215.716,-215.716
7300,-236.042,-236.042
7400,-299.548,-299.548
7500,-261.514,-261.514
7600,-175.92,-175.92
7700,-195.164,-195.164
7800,-268.204,-268.204
7900,-217.403,-217.403
8000,-153.04,-153.04
8100,-224.94,-224.94
8200,-223.53,-223.53
8300,-162.754,-162.754
8400,-168.599,-168.599
8500,-170.736,-170.736
8600,-202.225,-202.225
8700,-106.896,-106.896
8800,-157.289,-157.289
8900,-250.744,-250.744
9000,-189.757,-189.757
9100,-153.925,-153.925
9200,-247.079,-247.079
9300,-155.348,-155.348
9400,-192.713,-192.713
9500,-186.716,-186.716
9600,-158.23,-158.23
9700,-171.794,-171.794
9800,-155.192,-155.192
9900,-226.561,-226.561
10000,-195.918,-195.918
10100,-161.771,-161.771
10200,-197.345,-197.345
10300,-158.517,-158.517
10400,-105.977,-105.977
10500,-153.648,-153.648
10600,-123.553,-123.553
10700,-138.601,-138.601
10800,-133.047,-133.047
10900,-150.969,-150.969
11000,-154.695,-154.695
11100,-183.704,-183.704
11200,-251.824,-251.824
11300,-169.082,-169.082
11400,-180.359,-180.359
11500,-196.188,-196.188
11600,-165.166,-165.166
11700,-184.181,-184.181
11800,-155.62,-155.62
11900,-210.986,-210.986
12000,-169.306,-169.306
12100,-128.825,-128.825
12200,-163.632,-163.632
12300,-117.078,-117.078
12400,-173.9,-173.9
12500,-170.503,-170.503
12600,-111.818,-111.818
12700,-146.476,-146.476
12800,-125.393,-125.393
12900,-112.853,-112.853
13000,-166.459,-166.459
13100,-150.854,-150.854
13200,-117.303,-117.303
13300,-166.112,-166.112
13400,-146.009,-146.009
13500,-169.306,-169.306
13600,-195.182,-195.182
13700,-225.284,-225.284
13800,-157.884,-157.884
13900,-154.114,-154.114
14000,-191.039,-191.039
14100,-125.969,-125.969
14200,-125.406,-125.406
14300,-132.416,-132.416
14400,-133.529,-133.529
14500,-97.662,-97.662
14600,-137.001,-137.001
14700,-112.324,-112.324
14800,-122.83,-122.83
14900,-107.23,-107.23
15000,-104.836,-104.836
15100,-141.684,-141.684
15200,-166.476,-166.476
15300,-151.886,-151.886
15400,-182.09,-182.09
15500,-114.501,-114.501
15600,-118.662,-118.662
15700,-129.322,-129.322
15800,-106.796,-106.796
15900,-120.69,-120.69
16000,-116.93,-116.93
16100,-132.288,-132.288
16200,-149.407,-149.407
16300,-90.35,-90.35
16400,-137.616,-137.616
16500,-94.121,-94.121
16600,-137.012,-137.012
16700,-150.741,-150.741
16800,-134.896,-134.896
16900,-151.314,-151.314
17000,-98.216,-98.216
17100,-197.372,-197.372
17200,-143.353,-143.353
17300,-201.334,-201.334
17400,-129.752,-129.752
17500,-102.486,-102.486
17600,-126.898,-126.898
17700,-185.123,-185.123
17800,-120.471,-120.471
17900,-131.89,-131.89
18000,-148.27,-148.27
18100,-125.208,-125.208
18200,-99.398,-99.398
18300,-102.455,-102.455
18400,-122.164,-122.164
18500,-76.26,-76.26
18600,-111.939,-111.939
18700,-149.1,-149.1
18800,-181.886,-181.886
18900,-442.999,-442.999
19000,-172.106,-172.106
19100,-147.918,-147.918
19200,-180.575,-180.575
19300,-143.746,-143.746
19400,-131.77,-131.77
19500,-119.281,-119.281
19600,-98.764,-98.764
19700,-80.213,-80.213
19800,-99.274,-99.274
19900,-152.014,-152.014
