time_step,avg_return_0,avg_of_avg_returns
0,-118.015,-118.015
100,-373.23,-373.23
200,-400.314,-400.314
300,-414.82,-414.82
400,-409.753,-409.753
500,-401.936,-401.936
600,-395.692,-395.692
700,-417.572,-417.572
800,-389.484,-389.484
900,-406.59,-406.59
1000,-387.711,-387.711
1100,-375.339,-375.339
1200,-347.546,-347.546
1300,-350.729,-350.729
1400,-362.524,-362.524
1500,-371.16,-371.16
1600,-378.4,-378.4
1700,-380.287,-380.287
1800,-375.361,-375.361
1900,-344.313,-344.313
2000,-342.423,-342.423
2100,-363.816,-363.816
2200,-360.828,-360.828
2300,-338.265,-338.265
2400,-337.347,-337.347
2500,-357.923,-357.923
2600,-325.597,-325.597
2700,-362.679,-362.679
2800,-355.081,-355.081
2900,-349.414,-349.414
3000,-385.046,-385.046
3100,-390.025,-390.025
3200,-408.134,-408.134
3300,-415.453,-415.453
3400,-408.784,-408.784
3500,-426.313,-426.313
3600,-404.653,-404.653
3700,-399.576,-399.576
3800,-418.75,-418.75
3900,-404.304,-404.304
4000,-420.478,-420.478
4100,-418.096,-418.096
4200,-402.706,-402.706
4300,-402.95,-402.95
4400,-380.969,-380.969
4500,-402.312,-402.312
4600,-404.586,-404.586
4700,-408.279,-408.279
4800,-409.3,-409.3
4900,-419.359,-419.359
5000,-414.612,-414.612
5100,-422.043,-422.043
5200,-417.179,-417.179
5300,-411.52,-411.52
5400,-423.71,-423.71
5500,-431.089,-431.089
5600,-439.694,-439.694
5700,-447.309,-447.309
5800,-442.391,-442.391
5900,-454.667,-454.667
6000,-451.952,-451.952
6100,-450.18,-450.18
6200,-460.755,-460.755
6300,-447.913,-447.913
6400,-454.857,-454.857
6500,-442.721,-442.721
6600,-445.338,-445.338
6700,-447.908,-447.908
6800,-439.142,-439.142
6900,-463.448,-463.448
7000,-481.491,-481.491
7100,-457.221,-457.221
7200,-494.716,-494.716
7300,-514.457,-514.457
7400,-570.741,-570.741
7500,-572.895,-572.895
7600,-599.015,-599.015
7700,-618.295,-618.295
7800,-614.537,-614.537
7900,-562.445,-562.445
8000,-565.68,-565.68
8100,-632.94,-632.94
8200,-565.383,-565.383
8300,-446.984,-446.984
8400,-487.004,-487.004
8500,-559.908,-559.908
8600,-518.87,-518.87
8700,-514.907,-514.907
8800,-536.881,-536.881
8900,-502.423,-502.423
9000,-545.056,-545.056
9100,-433.151,-433.151
9200,-398.046,-398.046
9300,-410.961,-410.961
9400,-412.69,-412.69
9500,-399.7,-399.7
9600,-435.488,-435.488
9700,-373.949,-373.949
9800,-381.623,-381.623
9900,-357.924,-357.924
