time_step,avg_return_0,avg_of_avg_returns
0,-140.869,-140.869
100,-320.219,-320.219
200,-222.134,-222.134
300,-178.513,-178.513
400,-207.663,-207.663
500,-198.001,-198.001
600,-171.038,-171.038
700,-171.057,-171.057
800,-150.5,-150.5
900,-158.891,-158.891
1000,-126.615,-126.615
1100,-177.795,-177.795
1200,-123.944,-123.944
1300,-145.11,-145.11
1400,-133.375,-133.375
1500,-111.566,-111.566
1600,-134.544,-134.544
1700,-124.588,-124.588
1800,-120.13,-120.13
1900,-104.879,-104.879
2000,-91.12,-91.12
2100,-92.793,-92.793
2200,-152.056,-152.056
2300,-133.011,-133.011
2400,-138.13,-138.13
2500,-123.144,-123.144
2600,-159.149,-159.149
2700,-153.997,-153.997
2800,-136.261,-136.261
2900,-103.769,-103.769
3000,-135.248,-135.248
3100,-116.597,-116.597
3200,-137.356,-137.356
3300,-121.017,-121.017
3400,-142.412,-142.412
3500,-188.872,-188.872
3600,-121.322,-121.322
3700,-111.043,-111.043
3800,-227.131,-227.131
3900,-149.177,-149.177
4000,-101.921,-101.921
4100,-84.675,-84.675
4200,-108.07,-108.07
4300,-79.375,-79.375
4400,-158.493,-158.493
4500,-155.61,-155.61
4600,-148.804,-148.804
4700,-102.374,-102.374
4800,-148.302,-148.302
4900,-185.63,-185.63
5000,-150.29,-150.29
5100,-146.62,-146.62
5200,-154.871,-154.871
5300,-100.705,-100.705
5400,-127.355,-127.355
5500,-167.856,-167.856
5600,-166.466,-166.466
5700,-110.511,-110.511
5800,-148.704,-148.704
5900,-109.952,-109.952
6000,-145.801,-145.801
6100,-103.567,-103.567
6200,-86.343,-86.343
6300,-131.342,-131.342
6400,-75.612,-75.612
6500,-87.839,-87.839
6600,-116.627,-116.627
6700,-127.676,-127.676
6800,-119.08,-119.08
6900,-109.125,-109.125
7000,-145.769,-145.769
7100,-116.971,-116.971
7200,-76.527,-76.527
7300,-134.466,-134.466
7400,-113.99,-113.99
7500,-185.156,-185.156
7600,-131.482,-131.482
7700,-151.071,-151.071
7800,-109.291,-109.291
7900,-113.737,-113.737
8000,-143.482,-143.482
8100,-107.697,-107.697
8200,-140.498,-140.498
8300,-110.404,-110.404
8400,-131.017,-131.017
8500,-120.62,-120.62
8600,-102.958,-102.958
8700,-133.995,-133.995
8800,-80.311,-80.311
8900,-111.845,-111.845
9000,-86.802,-86.802
9100,-86.457,-86.457
9200,-136.861,-136.861
9300,-117.119,-117.119
9400,-103.223,-103.223
9500,-97.632,-97.632
9600,-97.908,-97.908
9700,-94.196,-94.196
9800,-104.058,-104.058
9900,-86.475,-86.475
