train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-573.373,-628.968,-269.283,-231.529,-343.203,-409.27119999999996
400,-574.693,-712.304,-261.678,-200.509,-344.475,-418.7317999999999
600,-559.785,-755.585,-253.989,-227.449,-341.716,-427.7048
800,-583.58,-726.523,-210.107,-216.292,-337.155,-414.7314
1000,-544.947,-596.907,-212.223,-235.42,-168.52,-351.6034
1200,-567.63,-559.665,-239.435,-213.302,-156.764,-347.3592
1400,-608.081,-574.048,-230.296,-205.529,-111.251,-345.841
1600,-582.764,-580.008,-191.417,-221.536,-106.722,-336.4894
1800,-557.422,-547.984,-219.04,-241.066,-109.13,-334.92839999999995
2000,-593.053,-556.351,-208.521,-225.896,-156.079,-347.97999999999996
2200,-317.908,-554.77,-219.987,-228.985,-119.382,-288.20640000000003
2400,-329.93,-566.835,-204.909,-233.61,-190.057,-305.06820000000005
2600,-304.679,-591.23,-201.458,-206.816,-201.48,-301.1326
2800,-306.28,-590.743,-220.968,-209.652,-116.813,-288.8912
3000,-319.169,-599.263,-225.957,-225.814,-160.709,-306.18240000000003
3200,-319.245,-535.828,-221.958,-212.867,-75.937,-273.167
3400,-338.454,-203.27,-210.281,-233.059,-164.557,-229.9242
3600,-300.939,-140.715,-199.44,-230.246,-131.944,-200.6568
3800,-313.246,-150.739,-232.504,-227.742,-193.807,-223.6076
4000,-321.879,-130.889,-161.369,-229.759,-91.721,-187.1234
4200,-324.218,-122.336,-101.277,-234.343,-133.055,-183.0458
4400,-332.297,-145.098,-162.795,-243.442,-119.839,-200.6942
4600,-334.411,-119.434,-143.026,-240.545,-95.269,-186.537
4800,-305.907,-139.215,-177.115,-222.774,-138.875,-196.7772
5000,-309.179,-110.429,-122.249,-213.852,-134.09,-177.9598
5200,-329.35,-85.384,-106.938,-195.86,-115.044,-166.5152
5400,-317.773,-138.962,-145.718,-232.781,-134.925,-194.03179999999998
5600,-347.096,-150.365,-125.56,-216.286,-77.193,-183.3
5800,-341.533,-156.688,-136.749,-239.056,-134.049,-201.615
6000,-310.136,-125.891,-133.042,-212.171,-139.278,-184.1036
6200,-351.522,-146.871,-200.508,-255.138,-129.489,-216.7056
6400,-301.403,-193.968,-163.616,-218.875,-137.917,-203.1558
6600,-333.242,-73.456,-102.969,-228.643,-122.026,-172.0672
6800,-309.434,-95.237,-140.784,-251.18,-159.992,-191.3254
7000,-327.546,-138.534,-157.494,-216.359,-139.293,-195.8452
7200,-312.605,-167.667,-146.032,-236.892,-155.745,-203.78820000000002
7400,-335.746,-135.304,-102.93,-241.345,-143.99,-191.863
7600,-333.873,-159.617,-142.87,-206.257,-96.44,-187.8114
7800,-328.446,-146.605,-164.155,-220.029,-142.197,-200.28640000000001
8000,-331.096,-135.952,-120.574,-208.737,-99.759,-179.22359999999998
8200,-310.769,-107.238,-130.434,-249.307,-107.584,-181.06640000000002
8400,-365.754,-141.741,-133.435,-205.669,-117.875,-192.8948
8600,-320.866,-126.298,-97.488,-239.308,-89.69,-174.73000000000002
8800,-313.898,-152.145,-162.75,-134.373,-146.234,-181.88
9000,-320.339,-151.579,-149.38,-151.052,-102.913,-175.0526
9200,-305.484,-130.687,-172.033,-125.938,-124.487,-171.7258
9400,-341.668,-109.545,-126.776,-205.052,-148.102,-186.2286
9600,-326.837,-110.664,-183.639,-145.978,-145.738,-182.5712
9800,-327.45,-134.107,-129.455,-137.305,-127.087,-171.0808
10000,-319.462,-157.208,-148.448,-122.291,-140.164,-177.51459999999997
