train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-391.935,-317.873,-315.755,-369.14,-352.821,-349.5048
400,-343.741,-350.689,-356.238,-371.664,-376.979,-359.86220000000003
600,-304.959,-341.048,-314.707,-329.372,-356.293,-329.2758
800,-300.522,-364.011,-320.73,-293.137,-398.94,-335.468
1000,-290.657,-333.781,-327.993,-335.039,-367.534,-331.00079999999997
1200,-339.999,-344.862,-279.002,-304.613,-354.773,-324.6498
1400,-309.957,-363.783,-325.072,-300.912,-336.918,-327.3284
1600,-303.351,-323.647,-340.693,-300.247,-319.878,-317.5632
1800,-339.208,-381.048,-307.066,-341.848,-305.261,-334.88620000000003
2000,-283.502,-290.546,-293.102,-326.766,-289.118,-296.60679999999996
2200,-291.48,-349.625,-317.164,-327.004,-279.046,-312.8638
2400,-308.452,-325.014,-311.386,-268.703,-311.519,-305.01480000000004
2600,-285.826,-274.426,-278.671,-267.119,-312.208,-283.65
2800,-294.925,-289.219,-279.588,-288.656,-296.748,-289.8272
3000,-273.057,-301.947,-251.947,-279.889,-270.421,-275.45220000000006
3200,-271.815,-291.263,-267.189,-267.332,-301.229,-279.76560000000006
3400,-274.619,-239.391,-209.76,-227.625,-266.637,-243.60639999999998
3600,-253.385,-261.828,-206.16,-291.98,-262.725,-255.2156
3800,-272.181,-268.351,-198.961,-221.231,-308.139,-253.77259999999995
4000,-237.333,-191.222,-209.072,-195.361,-312.071,-229.0118
4200,-274.717,-231.25,-209.639,-198.412,-254.173,-233.6382
4400,-272.425,-197.184,-218.385,-174.316,-306.261,-233.71420000000003
4600,-258.018,-180.386,-203.055,-153.985,-299.973,-219.08340000000004
4800,-229.931,-170.232,-177.225,-140.636,-258.274,-195.2596
5000,-209.389,-163.243,-166.289,-147.917,-334.737,-204.315
5200,-182.968,-149.321,-184.016,-134.027,-320.781,-194.22259999999997
5400,-197.602,-180.79,-134.389,-131.599,-341.694,-197.21479999999997
5600,-166.246,-151.536,-150.868,-137.52,-307.747,-182.78340000000003
5800,-201.744,-158.612,-173.788,-103.335,-310.446,-189.585
6000,-164.756,-143.817,-129.608,-100.01,-330.28,-173.6942
6200,-173.76,-126.912,-122.262,-79.354,-298.044,-160.0664
6400,-174.719,-108.021,-124.672,-115.334,-314.951,-167.53940000000003
6600,-140.982,-122.609,-158.982,-89.327,-346.406,-171.6612
6800,-141.045,-128.42,-158.235,-118.395,-347.049,-178.6288
7000,-155.41,-127.525,-112.255,-139.458,-361.773,-179.2842
7200,-113.682,-140.944,-138.421,-99.525,-363.916,-171.29760000000002
7400,-115.596,-114.717,-129.406,-100.717,-362.173,-164.52179999999998
7600,-101.553,-133.826,-117.973,-110.737,-351.895,-163.1968
7800,-74.014,-100.959,-121.136,-113.101,-363.619,-154.56580000000002
8000,-111.676,-94.708,-137.302,-111.361,-340.352,-159.0798
8200,-150.869,-127.93,-129.064,-79.058,-351.527,-167.68959999999998
8400,-112.76,-132.224,-139.761,-126.589,-341.811,-170.629
8600,-122.405,-115.465,-120.474,-105.673,-299.837,-152.7708
8800,-112.492,-87.216,-113.184,-93.145,-340.331,-149.2736
9000,-93.789,-104.581,-135.453,-106.652,-313.623,-150.81959999999998
9200,-138.227,-126.562,-139.486,-95.158,-387.588,-177.4042
9400,-93.005,-124.347,-166.166,-98.118,-382.394,-172.80599999999998
9600,-100.193,-98.884,-141.458,-108.378,-382.992,-166.381
9800,-110.172,-128.851,-142.268,-72.771,-407.419,-172.2962
10000,-138.096,-99.932,-103.62,-99.004,-415.571,-171.24460000000002
