train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-483.999,-235.152,-635.912,-287.775,-290.128,-386.5932
400,-441.388,-210.958,-519.421,-274.802,-290.919,-347.4976
600,-435.243,-196.914,-185.45,-278.623,-172.171,-253.6802
800,-426.794,-213.177,-177.728,-279.945,-142.843,-248.09740000000002
1000,-436.799,-214.174,-171.29,-501.716,-135.862,-291.96819999999997
1200,-433.039,-243.382,-182.667,-491.082,-162.046,-302.44320000000005
1400,-430.641,-223.978,-179.722,-505.188,-112.652,-290.4362
1600,-196.063,-225.181,-175.555,-109.477,-134.118,-168.0788
1800,-205.267,-232.003,-171.701,-116.442,-149.175,-174.9176
2000,-221.395,-199.246,-196.822,-119.449,-191.414,-185.66519999999997
2200,-251.782,-217.871,-177.862,-136.287,-193.047,-195.3698
2400,-136.434,-221.745,-185.693,-110.349,-175.363,-165.91680000000002
2600,-175.627,-387.715,-171.959,-128.053,-168.022,-206.27519999999998
2800,-160.105,-313.796,-180.097,-124.423,-160.806,-187.84539999999998
3000,-123.0,-117.833,-169.27,-123.95,-184.766,-143.7638
3200,-129.512,-128.396,-194.628,-120.123,-93.414,-133.2146
3400,-182.25,-131.972,-180.641,-107.209,-127.299,-145.87419999999997
3600,-128.678,-255.202,-172.569,-129.081,-375.71,-212.248
3800,-119.93,-141.622,-199.544,-226.112,-378.058,-213.0532
4000,-138.606,-179.748,-170.045,-152.07,-385.389,-205.17160000000004
4200,-152.986,-161.823,-165.923,-147.119,-398.153,-205.2008
4400,-148.321,-138.861,-191.44,-98.619,-398.845,-195.2172
4600,-174.017,-163.993,-187.439,-166.166,-456.943,-229.7116
4800,-179.861,-136.105,-179.958,-147.247,-433.86,-215.40619999999998
5000,-117.286,-114.929,-201.409,-156.449,-432.635,-204.54160000000002
5200,-120.188,-211.502,-190.026,-185.873,-425.293,-226.5764
5400,-323.348,-143.259,-172.349,-147.066,-444.753,-246.15499999999997
5600,-298.412,-108.219,-200.115,-195.955,-440.63,-248.66620000000003
5800,-280.358,-128.945,-178.227,-134.242,-434.961,-231.3466
6000,-286.338,-91.726,-237.474,-173.286,-435.493,-244.8634
6200,-298.022,-133.991,-244.866,-141.838,-420.639,-247.8712
6400,-308.874,-80.089,-257.3,-192.668,-424.472,-252.6806
6600,-320.373,-168.698,-225.018,-188.151,-442.637,-268.9754
6800,-309.586,-154.721,-241.481,-124.301,-438.665,-253.75080000000003
7000,-296.643,-398.403,-231.339,-166.812,-434.569,-305.5532
7200,-314.794,-135.741,-231.929,-129.512,-438.069,-250.00899999999996
7400,-315.068,-109.699,-241.868,-179.263,-423.202,-253.82
7600,-294.747,-116.975,-255.689,-116.776,-428.236,-242.48459999999994
7800,-292.725,-157.454,-249.093,-126.701,-439.13,-253.0206
8000,-314.378,-128.23,-239.201,-97.749,-442.096,-244.3308
8200,-316.746,-105.668,-253.724,-126.852,-433.783,-247.35459999999998
8400,-289.738,-141.354,-246.895,-118.244,-435.276,-246.3014
8600,-292.16,-162.104,-236.9,-152.12,-430.049,-254.66660000000002
8800,-283.793,-133.427,-201.141,-93.627,-126.566,-167.7108
9000,-292.875,-183.156,-223.136,-130.746,-116.446,-189.2718
9200,-310.88,-156.926,-205.85,-135.69,-125.115,-186.8922
9400,-294.706,-130.052,-212.115,-102.834,-123.881,-172.7176
9600,-300.618,-144.849,-235.111,-143.517,-133.21,-191.461
9800,-344.011,-177.036,-195.461,-125.052,-141.558,-196.6236
10000,-303.249,-128.727,-216.713,-134.22,-158.822,-188.3462
