time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-393.045,-419.96,-247.562,-520.548,-400.853,-396.3936
1000,-120.791,-148.865,-124.123,-148.884,-163.217,-141.176
2000,-70.318,-149.82,-96.117,-154.483,-114.939,-117.1354
3000,-89.979,-89.794,-174.366,-96.24,-111.85,-112.4458
4000,-136.734,-109.448,-132.617,-154.306,-76.206,-121.8622
5000,-158.077,-110.123,-122.223,-140.563,-137.746,-133.7464
6000,-126.17,-123.724,-152.398,-130.041,-144.911,-135.44880000000003
7000,-131.417,-93.323,-135.361,-139.666,-107.42,-121.4374
8000,-149.1,-118.522,-98.582,-93.564,-137.433,-119.4402
9000,-82.185,-94.86,-122.91,-126.139,-113.013,-107.82140000000001
10000,-114.447,-140.952,-135.162,-105.099,-140.761,-127.28420000000001
11000,-152.469,-96.339,-134.52,-161.053,-104.218,-129.7198
12000,-120.362,-117.236,-118.829,-99.053,-161.23,-123.34200000000001
13000,-122.312,-107.372,-119.428,-156.161,-108.176,-122.68979999999999
14000,-92.634,-101.303,-114.265,-139.916,-118.421,-113.3078
15000,-109.482,-120.932,-206.069,-123.618,-98.166,-131.65339999999998
16000,-121.72,-99.318,-111.044,-90.373,-100.774,-104.64580000000001
17000,-115.17,-120.266,-119.118,-117.425,-116.548,-117.70540000000001
18000,-124.917,-103.915,-138.967,-160.13,-128.231,-131.232
19000,-102.647,-133.91,-132.233,-84.117,-102.707,-111.12280000000001
