time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-127.16,-102.611,-135.252,-130.745,-78.355,-114.8246
100,-144.745,-148.058,-162.43,-119.777,-109.418,-136.8856
200,-146.458,-135.917,-96.484,-110.391,-179.098,-133.6696
300,-124.055,-96.17,-150.172,-134.85,-127.757,-126.60080000000002
400,-102.054,-115.362,-124.986,-129.226,-109.235,-116.17259999999999
500,-166.064,-163.54,-107.713,-99.672,-141.963,-135.7904
600,-140.827,-127.077,-101.8,-116.155,-116.976,-120.56700000000001
700,-129.464,-126.535,-116.799,-84.822,-92.29,-109.982
800,-173.852,-104.157,-57.274,-121.862,-100.364,-111.5018
900,-169.458,-98.613,-115.908,-89.446,-119.011,-118.4872
