time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-208.207,-498.248,-293.439,-429.322,-438.317,-373.5066
1000,-297.966,-329.605,-326.886,-302.838,-334.04,-318.267
2000,-311.299,-359.271,-322.855,-282.481,-316.944,-318.57
3000,-256.952,-437.566,-261.265,-296.478,-246.144,-299.681
4000,-192.294,-384.589,-214.089,-253.121,-224.936,-253.8058
5000,-141.271,-349.832,-146.297,-253.323,-171.438,-212.43220000000002
6000,-108.094,-325.709,-109.734,-277.771,-131.711,-190.6038
7000,-93.51,-343.371,-94.399,-298.4,-97.522,-185.4404
8000,-71.308,-365.66,-83.013,-297.554,-108.891,-185.28519999999997
9000,-110.125,-474.253,-111.298,-306.085,-115.065,-223.36520000000002
10000,-107.072,-414.228,-91.827,-306.147,-146.463,-213.14739999999998
11000,-60.499,-361.762,-102.748,-326.947,-133.372,-197.0656
12000,-113.16,-396.296,-94.968,-307.152,-86.633,-199.64180000000002
13000,-121.077,-369.405,-107.073,-312.371,-143.961,-210.7774
14000,-62.469,-493.735,-74.649,-313.545,-145.611,-218.0018
15000,-120.405,-459.587,-97.463,-335.855,-169.961,-236.6542
16000,-76.437,-515.338,-95.531,-346.005,-104.356,-227.53340000000003
17000,-127.667,-562.663,-85.826,-337.896,-208.11,-264.43240000000003
18000,-95.327,-488.268,-86.999,-154.919,-151.084,-195.3194
19000,-137.86,-497.566,-87.178,-224.511,-165.388,-222.5006
