train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-427.825,-495.907,-417.446,-434.142,-436.387,-442.34139999999996
200,-313.188,-275.13,-345.345,-255.162,-382.064,-314.17780000000005
400,-374.779,-503.326,-290.878,-413.087,-442.425,-404.899
600,-396.593,-155.282,-392.772,-227.763,-387.392,-311.9604
800,-238.96,-423.043,-321.489,-372.171,-372.37,-345.60659999999996
1000,-343.613,-438.095,-452.814,-367.081,-611.248,-442.5702
1200,-461.95,-426.609,-425.638,-328.795,-558.141,-440.22659999999996
1400,-394.372,-379.969,-332.501,-396.013,-398.179,-380.20680000000004
1600,-510.228,-376.67,-282.726,-329.838,-478.343,-395.56100000000004
1800,-258.112,-188.01,-391.259,-354.431,-258.941,-290.15060000000005
2000,-416.992,-434.378,-462.552,-288.123,-407.802,-401.96940000000006
2200,-469.611,-176.468,-436.976,-233.559,-241.386,-311.59999999999997
2400,-162.362,-226.192,-405.581,-325.62,-361.407,-296.2324
2600,-358.482,-158.992,-445.497,-341.86,-366.174,-334.201
2800,-358.667,-240.26,-461.597,-208.773,-384.999,-330.8592
3000,-314.125,-171.53,-335.675,-332.394,-265.935,-283.93179999999995
3200,-281.109,-274.339,-423.953,-304.023,-362.148,-329.11440000000005
3400,-326.766,-362.499,-327.097,-502.717,-398.119,-383.43960000000004
3600,-518.396,-133.792,-351.233,-380.749,-413.73,-359.58000000000004
3800,-304.301,-318.017,-353.315,-323.44,-546.498,-369.11420000000004
4000,-263.041,-316.29,-504.001,-275.325,-355.5,-342.8314
4200,-454.292,-293.775,-353.807,-454.685,-474.132,-406.1382
4400,-230.172,-360.293,-533.358,-517.799,-294.134,-387.15119999999996
4600,-300.698,-440.521,-214.13,-128.196,-231.773,-263.0636
4800,-218.936,-244.505,-319.344,-427.724,-487.652,-339.6322
5000,-475.29,-380.209,-529.245,-290.87,-324.376,-399.998
5200,-416.16,-345.239,-230.396,-335.463,-304.907,-326.433
5400,-632.378,-322.672,-449.028,-133.751,-459.509,-399.4676
5600,-336.848,-387.242,-454.136,-291.734,-371.262,-368.2444
5800,-309.212,-320.639,-394.663,-406.187,-198.322,-325.80460000000005
6000,-376.581,-276.977,-363.052,-185.273,-318.023,-303.9812
6200,-270.269,-335.293,-450.718,-485.278,-118.497,-332.011
6400,-405.786,-390.334,-392.293,-227.875,-453.086,-373.8748
6600,-430.356,-286.175,-521.239,-349.533,-238.502,-365.16099999999994
6800,-416.308,-183.167,-314.187,-412.51,-402.678,-345.77
7000,-420.969,-159.971,-443.666,-181.907,-489.572,-339.217
7200,-369.686,-215.16,-346.414,-189.87,-384.879,-301.2018
7400,-214.597,-355.29,-282.255,-210.852,-462.536,-305.10600000000005
7600,-257.834,-275.828,-309.987,-391.764,-298.701,-306.82280000000003
7800,-221.517,-319.038,-388.512,-310.959,-434.789,-334.963
8000,-234.61,-403.507,-406.356,-345.533,-313.558,-340.71279999999996
8200,-485.24,-298.782,-465.822,-357.6,-523.066,-426.10200000000003
8400,-302.377,-299.266,-398.28,-327.282,-231.823,-311.8056
8600,-442.75,-407.221,-274.307,-322.665,-196.642,-328.717
8800,-228.011,-374.279,-417.149,-415.522,-298.784,-346.74899999999997
9000,-277.215,-522.245,-196.15,-387.146,-392.2,-354.99120000000005
9200,-136.461,-454.833,-376.701,-177.984,-276.927,-284.58119999999997
9400,-294.527,-484.756,-253.969,-264.846,-261.45,-311.9096
9600,-251.209,-515.283,-515.357,-144.26,-138.686,-312.95899999999995
9800,-247.162,-537.311,-316.983,-393.559,-245.993,-348.2016
