train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-273.144,-439.548,-525.203,-438.484,-238.325,-382.94079999999997
400,-283.005,-408.995,-464.082,-335.999,-400.638,-378.5438
600,-238.189,-423.121,-384.848,-388.102,-319.995,-350.85099999999994
800,-433.771,-195.814,-418.758,-430.721,-242.747,-344.36220000000003
1000,-460.572,-479.93,-328.109,-460.044,-248.876,-395.5061999999999
1200,-288.722,-361.29,-486.842,-409.359,-413.569,-391.9563999999999
1400,-271.742,-243.059,-410.919,-359.681,-344.852,-326.05060000000003
1600,-502.582,-399.215,-607.005,-441.692,-280.421,-446.183
1800,-320.034,-436.942,-470.475,-450.377,-289.832,-393.532
2000,-348.261,-323.195,-570.834,-339.771,-306.729,-377.758
2200,-382.213,-436.243,-498.323,-278.999,-320.121,-383.1798
2400,-427.369,-309.99,-449.022,-357.061,-340.726,-376.83360000000005
2600,-329.862,-291.231,-366.28,-289.694,-368.855,-329.1844
2800,-236.663,-123.655,-511.483,-340.545,-339.103,-310.2898
3000,-150.06,-239.373,-175.058,-363.212,-217.195,-228.97959999999998
3200,-180.398,-365.797,-393.744,-411.581,-249.764,-320.2568
3400,-338.765,-254.6,-492.514,-436.484,-441.409,-392.7544
3600,-281.484,-197.992,-323.803,-277.967,-472.963,-310.84180000000003
3800,-359.407,-329.095,-392.877,-292.638,-329.887,-340.78079999999994
4000,-333.373,-348.475,-348.227,-205.878,-218.992,-290.9889999999999
4200,-431.012,-225.902,-335.16,-511.326,-218.648,-344.4096
4400,-290.099,-229.371,-567.401,-240.297,-246.929,-314.81940000000003
4600,-452.203,-443.558,-529.989,-424.525,-329.934,-436.0418000000001
4800,-152.909,-260.411,-241.895,-500.71,-359.879,-303.1608
5000,-122.591,-480.235,-332.222,-294.828,-263.647,-298.70459999999997
5200,-335.585,-359.85,-319.742,-295.882,-406.022,-343.4162
5400,-392.742,-199.228,-221.482,-511.422,-198.17,-304.60880000000003
5600,-387.715,-271.645,-447.792,-396.533,-242.317,-349.2004
5800,-340.269,-193.694,-488.074,-317.943,-243.851,-316.7662
6000,-276.397,-233.886,-398.846,-180.452,-429.899,-303.896
6200,-295.333,-345.88,-346.255,-387.954,-277.54,-330.5924
6400,-252.136,-299.439,-382.065,-262.668,-426.874,-324.6364
6600,-340.099,-336.56,-377.707,-351.579,-304.455,-342.08
6800,-416.963,-132.359,-193.627,-371.622,-466.293,-316.1728
7000,-406.043,-144.918,-441.906,-292.701,-416.152,-340.344
7200,-247.152,-404.132,-339.245,-582.3,-471.056,-408.777
7400,-178.86,-516.295,-543.048,-405.341,-373.859,-403.4806
7600,-434.184,-464.559,-307.14,-423.841,-254.31,-376.8068
7800,-278.423,-281.64,-152.586,-307.93,-456.308,-295.37739999999997
8000,-446.178,-237.425,-281.77,-415.317,-193.176,-314.7732
8200,-255.57,-466.961,-371.021,-352.145,-484.88,-386.11539999999997
8400,-234.022,-384.475,-145.216,-428.575,-381.075,-314.6726
8600,-110.888,-288.67,-304.664,-370.441,-336.208,-282.17420000000004
8800,-159.141,-283.845,-334.44,-360.918,-419.121,-311.49300000000005
9000,-384.554,-260.402,-255.886,-384.102,-512.755,-359.5398
9200,-151.383,-235.319,-523.05,-340.017,-388.072,-327.5682
9400,-162.104,-299.854,-336.488,-388.812,-241.505,-285.7526
9600,-157.978,-132.993,-343.998,-364.465,-265.503,-252.98739999999998
9800,-99.462,-432.564,-406.958,-491.436,-164.067,-318.8974
10000,-190.696,-287.785,-349.158,-452.924,-221.919,-300.49640000000005
