train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-337.572,-261.859,-129.199,-304.18,-437.404,-294.04280000000006
400,-248.989,-402.216,-381.541,-311.817,-271.084,-323.12940000000003
800,-263.159,-217.739,-386.209,-331.91,-506.502,-341.1038
1200,-273.964,-309.13,-504.057,-434.841,-379.086,-380.21560000000005
1600,-183.525,-444.607,-320.89,-332.313,-302.873,-316.8416
2000,-210.124,-193.336,-378.988,-407.948,-351.607,-308.40060000000005
2400,-112.371,-465.767,-415.35,-430.851,-378.702,-360.6082
2800,-122.513,-182.569,-291.033,-309.818,-394.002,-259.98699999999997
3200,-194.507,-228.034,-528.459,-300.087,-546.037,-359.4248
3600,-106.529,-451.062,-437.3,-303.432,-509.511,-361.5668
4000,-106.33,-463.289,-281.038,-461.704,-535.973,-369.6668
4400,-108.763,-250.141,-248.987,-191.413,-513.791,-262.619
4800,-141.762,-378.682,-511.649,-262.762,-497.198,-358.4106
5200,-171.159,-363.054,-415.77,-242.887,-523.006,-343.17519999999996
5600,-231.934,-367.347,-544.559,-307.792,-538.376,-398.00159999999994
6000,-135.245,-384.303,-338.177,-283.629,-343.558,-296.9824
6400,-97.488,-314.581,-418.239,-261.021,-540.37,-326.3398
6800,-130.164,-340.182,-404.043,-301.864,-385.954,-312.4414
7200,-119.37,-392.819,-428.914,-264.239,-279.18,-296.9044
7600,-121.11,-438.816,-270.147,-261.235,-278.219,-273.9054
8000,-143.782,-338.538,-399.854,-260.155,-313.322,-291.13019999999995
8400,-128.564,-337.674,-342.874,-272.57,-282.73,-272.8824
8800,-131.599,-325.737,-312.491,-222.178,-300.391,-258.4792
9200,-111.841,-346.237,-455.115,-299.978,-310.872,-304.8086
9600,-146.769,-318.39,-437.218,-213.877,-290.998,-281.4504
10000,-114.58,-385.647,-481.863,-182.273,-303.744,-293.6214
10400,-117.417,-376.874,-355.209,-212.031,-282.551,-268.8164
10800,-164.543,-332.396,-435.473,-181.25,-301.889,-283.11019999999996
11200,-114.104,-417.702,-292.437,-197.809,-286.085,-261.62739999999997
11600,-143.125,-340.658,-301.756,-219.956,-288.062,-258.7114
12000,-186.444,-328.635,-244.041,-191.493,-297.981,-249.71879999999996
12400,-174.883,-504.874,-388.734,-226.112,-330.726,-325.0658
12800,-113.789,-293.324,-220.284,-219.276,-271.159,-223.5664
13200,-202.062,-369.118,-263.937,-182.559,-288.566,-261.2484
13600,-120.039,-364.57,-377.001,-173.251,-298.274,-266.62699999999995
14000,-145.288,-260.145,-245.728,-167.532,-281.39,-220.0166
14400,-129.697,-203.025,-241.129,-189.301,-314.675,-215.5654
14800,-112.638,-175.662,-244.809,-232.068,-300.77,-213.18940000000003
15200,-128.186,-181.121,-297.479,-229.065,-286.425,-224.45520000000002
15600,-119.778,-191.214,-238.862,-226.84,-315.812,-218.5012
16000,-143.554,-205.905,-250.204,-235.192,-285.323,-224.0356
16400,-127.203,-196.115,-240.733,-215.307,-293.339,-214.53939999999997
16800,-120.704,-193.699,-268.739,-173.822,-341.455,-219.68380000000002
17200,-110.483,-195.91,-287.984,-184.902,-333.726,-222.60100000000003
17600,-119.746,-201.226,-234.391,-217.612,-289.037,-212.4024
18000,-292.969,-192.18,-236.824,-188.306,-293.003,-240.6564
18400,-152.947,-210.042,-239.441,-247.008,-333.577,-236.603
18800,-110.201,-183.292,-234.478,-233.439,-285.224,-209.3268
19200,-183.428,-183.767,-386.582,-167.302,-310.713,-246.35840000000002
19600,-186.497,-183.62,-304.841,-208.158,-309.154,-238.454
