train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-521.229,-405.725,-184.348,-350.346,-201.675,-332.6646
200,-330.12,-431.181,-179.36,-212.908,-420.778,-314.8694
400,-477.767,-547.955,-388.377,-474.32,-320.398,-441.7634
600,-442.309,-352.675,-321.045,-453.858,-328.755,-379.72839999999997
800,-330.419,-423.277,-374.974,-479.322,-327.112,-387.02079999999995
1000,-254.369,-450.976,-354.63,-370.535,-395.154,-365.1328
1200,-369.698,-433.361,-312.356,-460.374,-288.315,-372.8208
1400,-373.777,-635.505,-297.274,-412.048,-367.588,-417.2384
1600,-413.702,-482.198,-189.391,-528.483,-406.515,-404.05779999999993
1800,-289.892,-448.22,-489.178,-352.778,-103.87,-336.7876
2000,-248.118,-508.969,-328.973,-281.995,-149.053,-303.42159999999996
2200,-427.457,-458.993,-314.688,-208.739,-152.069,-312.38919999999996
2400,-312.264,-295.503,-187.1,-341.917,-177.453,-262.8474
2600,-307.146,-415.43,-380.175,-335.786,-422.333,-372.17400000000004
2800,-278.98,-439.456,-343.386,-279.962,-345.262,-337.4092
3000,-438.541,-520.194,-330.474,-496.916,-178.523,-392.92959999999994
3200,-259.92,-592.193,-230.832,-500.683,-180.245,-352.7746
3400,-353.418,-693.339,-279.081,-344.459,-255.053,-385.07000000000005
3600,-379.616,-338.978,-394.152,-488.834,-174.606,-355.23720000000003
3800,-193.81,-289.491,-270.534,-176.266,-452.533,-276.5268
4000,-464.727,-415.417,-285.357,-554.624,-296.341,-403.29319999999996
4200,-355.218,-421.163,-375.766,-413.382,-263.104,-365.7266000000001
4400,-212.225,-516.788,-219.247,-464.921,-187.634,-320.163
4600,-345.278,-362.063,-498.161,-295.825,-317.911,-363.8476
4800,-431.33,-344.815,-433.965,-433.14,-419.004,-412.45079999999996
5000,-275.648,-418.88,-307.734,-442.983,-352.635,-359.57599999999996
5200,-450.456,-379.459,-361.106,-557.199,-349.792,-419.60239999999993
5400,-289.585,-261.567,-422.924,-384.577,-439.048,-359.5402
5600,-440.461,-303.145,-205.369,-405.826,-349.981,-340.9564
5800,-432.831,-284.533,-386.02,-331.479,-357.442,-358.461
6000,-434.555,-330.754,-318.076,-159.327,-371.793,-322.901
6200,-291.776,-283.243,-222.061,-210.139,-345.755,-270.5948
6400,-301.709,-377.406,-154.236,-257.215,-301.744,-278.462
6600,-440.482,-298.942,-369.629,-354.436,-345.057,-361.70919999999995
6800,-275.09,-449.003,-134.946,-239.26,-394.951,-298.65
7000,-283.671,-551.097,-143.056,-232.898,-328.747,-307.8938
7200,-282.737,-335.189,-276.681,-267.589,-335.545,-299.5482
7400,-350.853,-346.223,-214.794,-239.819,-301.259,-290.5896
7600,-344.176,-366.514,-211.103,-260.251,-391.013,-314.6114
7800,-346.386,-201.061,-218.286,-184.543,-309.243,-251.9038
8000,-244.369,-194.024,-216.98,-231.429,-330.93,-243.5464
8200,-317.599,-337.775,-211.028,-204.214,-445.972,-303.31759999999997
8400,-200.09,-319.749,-287.808,-317.928,-288.589,-282.8328
8600,-187.357,-344.952,-461.213,-224.204,-344.656,-312.47639999999996
8800,-188.982,-326.828,-226.931,-181.453,-354.914,-255.8216
9000,-295.313,-346.101,-190.769,-203.57,-504.184,-307.9874
9200,-302.333,-351.465,-400.417,-155.963,-282.189,-298.47339999999997
9400,-402.038,-341.509,-201.577,-137.388,-293.016,-275.1056
9600,-297.731,-379.092,-213.114,-225.343,-387.3,-300.51599999999996
9800,-283.548,-320.665,-211.143,-194.686,-298.977,-261.8038
