train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-392.019,-362.69,-367.063,-176.126,-467.372,-353.054
200,-260.203,-333.796,-415.085,-410.574,-187.969,-321.52540000000005
400,-388.094,-505.63,-327.372,-309.012,-258.328,-357.68719999999996
600,-287.891,-380.451,-369.443,-291.093,-257.55,-317.28560000000004
800,-197.686,-540.183,-482.474,-149.825,-520.875,-378.20860000000005
1000,-482.373,-361.925,-385.522,-212.61,-282.091,-344.90419999999995
1200,-357.619,-421.892,-595.884,-452.548,-383.037,-442.196
1400,-385.315,-229.496,-343.561,-505.679,-316.496,-356.1094
1600,-520.827,-304.333,-331.211,-341.791,-457.417,-391.1158
1800,-443.29,-273.643,-376.854,-180.985,-290.517,-313.0578
2000,-268.864,-415.715,-318.072,-183.717,-252.619,-287.7974
2200,-406.427,-358.784,-339.929,-384.736,-472.214,-392.41799999999995
2400,-508.175,-346.313,-414.585,-398.459,-367.555,-407.01740000000007
2600,-449.29,-286.386,-460.807,-464.026,-415.366,-415.175
2800,-376.111,-492.943,-229.911,-491.758,-480.781,-414.3008
3000,-266.524,-724.646,-327.326,-333.754,-430.087,-416.4674
3200,-505.815,-252.268,-410.044,-467.147,-440.216,-415.09799999999996
3400,-358.883,-274.747,-258.635,-330.351,-241.356,-292.7944
3600,-389.984,-501.812,-532.455,-286.089,-438.926,-429.8532
3800,-455.974,-229.505,-526.705,-279.573,-255.337,-349.41880000000003
4000,-520.244,-286.855,-424.231,-191.123,-450.787,-374.648
4200,-406.375,-428.174,-567.755,-538.453,-260.557,-440.2628000000001
4400,-400.621,-305.753,-403.981,-193.179,-288.503,-318.4074
4600,-640.801,-221.041,-406.182,-255.857,-377.157,-380.2076
4800,-348.399,-260.708,-419.57,-401.583,-478.4,-381.73199999999997
5000,-305.445,-388.964,-190.925,-169.547,-126.332,-236.24260000000004
5200,-278.483,-197.74,-180.885,-321.142,-102.995,-216.24899999999997
5400,-253.245,-321.372,-606.973,-329.131,-424.426,-387.0294
5600,-292.426,-219.991,-272.302,-286.108,-205.154,-255.1962
5800,-406.092,-358.391,-330.32,-414.8,-527.381,-407.3968
6000,-121.826,-524.751,-320.585,-208.359,-351.921,-305.4884
6200,-296.937,-341.709,-364.562,-270.1,-399.066,-334.4748
6400,-542.869,-469.845,-379.539,-355.109,-443.064,-438.0852
6600,-499.043,-279.082,-537.973,-118.33,-414.147,-369.715
6800,-289.749,-284.058,-249.824,-303.431,-405.063,-306.425
7000,-311.106,-342.812,-432.364,-320.876,-291.208,-339.6732
7200,-486.614,-281.056,-229.583,-340.992,-502.018,-368.0526
7400,-214.43,-457.99,-208.121,-370.113,-464.991,-343.129
7600,-331.842,-495.392,-168.502,-147.024,-243.307,-277.2134
7800,-285.994,-314.645,-470.762,-291.668,-522.472,-377.1082
8000,-438.562,-523.562,-412.508,-331.965,-602.559,-461.83119999999997
8200,-145.444,-359.001,-135.449,-280.233,-368.874,-257.8002
8400,-402.487,-330.544,-178.662,-324.915,-193.871,-286.0958
8600,-190.159,-268.691,-527.294,-276.864,-444.31,-341.4636
8800,-419.827,-368.09,-285.034,-333.956,-426.146,-366.61060000000003
9000,-455.876,-443.591,-116.008,-288.781,-287.802,-318.4116
9200,-144.1,-176.423,-562.774,-374.629,-511.812,-353.94759999999997
9400,-325.471,-114.169,-614.836,-239.565,-333.161,-325.44040000000007
9600,-307.886,-447.16,-174.735,-140.76,-298.911,-273.89040000000006
9800,-532.881,-144.391,-124.867,-208.739,-251.019,-252.37939999999998
