time_step,avg_return_0,avg_of_avg_returns
0,-1689.061,-1689.061
100,-1305.686,-1305.686
200,-1190.287,-1190.287
300,-1188.466,-1188.466
400,-1231.376,-1231.376
500,-1158.964,-1158.964
600,-1206.981,-1206.981
700,-1173.544,-1173.544
800,-1128.394,-1128.394
900,-1430.322,-1430.322
1000,-1024.198,-1024.198
1100,-1483.123,-1483.123
1200,-1467.315,-1467.315
1300,-1207.847,-1207.847
1400,-1438.06,-1438.06
1500,-1174.935,-1174.935
1600,-1195.082,-1195.082
1700,-1449.441,-1449.441
1800,-1152.141,-1152.141
1900,-1145.299,-1145.299
2000,-1008.021,-1008.021
2100,-1313.01,-1313.01
2200,-805.272,-805.272
2300,-1161.44,-1161.44
2400,-923.481,-923.481
2500,-1083.479,-1083.479
2600,-885.675,-885.675
2700,-1118.777,-1118.777
2800,-873.295,-873.295
2900,-1059.029,-1059.029
3000,-780.137,-780.137
3100,-841.457,-841.457
3200,-877.104,-877.104
3300,-724.546,-724.546
3400,-921.35,-921.35
3500,-686.951,-686.951
3600,-749.874,-749.874
3700,-728.133,-728.133
3800,-636.24,-636.24
3900,-804.454,-804.454
4000,-759.295,-759.295
4100,-591.189,-591.189
4200,-858.388,-858.388
4300,-844.55,-844.55
4400,-810.639,-810.639
4500,-610.692,-610.692
4600,-809.287,-809.287
4700,-848.797,-848.797
4800,-582.7,-582.7
4900,-916.185,-916.185
5000,-983.945,-983.945
5100,-587.739,-587.739
5200,-402.256,-402.256
5300,-772.779,-772.779
5400,-775.234,-775.234
5500,-590.333,-590.333
5600,-885.911,-885.911
5700,-531.745,-531.745
5800,-907.676,-907.676
5900,-517.199,-517.199
6000,-492.292,-492.292
6100,-619.434,-619.434
6200,-489.981,-489.981
6300,-842.604,-842.604
6400,-1174.894,-1174.894
6500,-398.623,-398.623
6600,-496.359,-496.359
6700,-640.627,-640.627
6800,-423.649,-423.649
6900,-406.07,-406.07
7000,-558.552,-558.552
7100,-866.87,-866.87
7200,-1074.675,-1074.675
7300,-737.067,-737.067
7400,-950.54,-950.54
7500,-677.366,-677.366
7600,-848.383,-848.383
7700,-507.772,-507.772
7800,-1117.622,-1117.622
7900,-449.233,-449.233
8000,-893.107,-893.107
8100,-511.268,-511.268
8200,-482.249,-482.249
8300,-893.646,-893.646
8400,-595.906,-595.906
8500,-759.504,-759.504
8600,-843.647,-843.647
8700,-462.423,-462.423
8800,-857.222,-857.222
8900,-636.017,-636.017
9000,-612.251,-612.251
9100,-808.998,-808.998
9200,-965.466,-965.466
9300,-1073.015,-1073.015
9400,-354.332,-354.332
9500,-573.663,-573.663
9600,-848.737,-848.737
9700,-842.52,-842.52
9800,-982.721,-982.721
9900,-631.929,-631.929
10000,-548.485,-548.485
10100,-538.054,-538.054
10200,-899.367,-899.367
10300,-548.043,-548.043
10400,-803.393,-803.393
10500,-670.859,-670.859
10600,-726.572,-726.572
10700,-829.5,-829.5
10800,-867.403,-867.403
10900,-912.233,-912.233
11000,-884.612,-884.612
11100,-759.633,-759.633
11200,-970.301,-970.301
11300,-637.338,-637.338
11400,-527.818,-527.818
11500,-900.667,-900.667
11600,-646.834,-646.834
11700,-876.658,-876.658
11800,-915.917,-915.917
11900,-501.617,-501.617
12000,-878.118,-878.118
12100,-983.414,-983.414
12200,-959.839,-959.839
12300,-878.539,-878.539
12400,-643.801,-643.801
12500,-935.095,-935.095
12600,-499.517,-499.517
12700,-960.293,-960.293
12800,-722.756,-722.756
12900,-722.278,-722.278
13000,-718.834,-718.834
13100,-853.1,-853.1
13200,-720.844,-720.844
13300,-800.685,-800.685
13400,-769.209,-769.209
13500,-680.244,-680.244
13600,-1006.861,-1006.861
13700,-804.571,-804.571
13800,-469.398,-469.398
13900,-740.074,-740.074
14000,-718.983,-718.983
14100,-1253.492,-1253.492
14200,-952.231,-952.231
14300,-1095.052,-1095.052
14400,-841.357,-841.357
14500,-910.244,-910.244
14600,-962.885,-962.885
14700,-1034.012,-1034.012
14800,-1013.313,-1013.313
14900,-1071.154,-1071.154
15000,-867.746,-867.746
15100,-837.084,-837.084
15200,-966.793,-966.793
15300,-1043.665,-1043.665
15400,-1234.444,-1234.444
15500,-990.091,-990.091
15600,-893.159,-893.159
15700,-876.634,-876.634
15800,-1023.248,-1023.248
15900,-1057.885,-1057.885
16000,-983.198,-983.198
16100,-987.52,-987.52
16200,-736.027,-736.027
16300,-855.587,-855.587
16400,-946.195,-946.195
16500,-1151.54,-1151.54
16600,-1119.188,-1119.188
16700,-843.879,-843.879
16800,-1086.672,-1086.672
16900,-946.257,-946.257
17000,-1091.317,-1091.317
17100,-972.12,-972.12
17200,-1145.817,-1145.817
17300,-827.446,-827.446
17400,-851.186,-851.186
17500,-885.808,-885.808
17600,-1069.985,-1069.985
17700,-1001.544,-1001.544
17800,-957.802,-957.802
17900,-866.616,-866.616
18000,-1126.446,-1126.446
18100,-1129.239,-1129.239
18200,-794.969,-794.969
18300,-766.212,-766.212
18400,-1128.441,-1128.441
18500,-1075.729,-1075.729
18600,-907.687,-907.687
18700,-1003.133,-1003.133
18800,-1089.204,-1089.204
18900,-1108.53,-1108.53
19000,-929.82,-929.82
19100,-825.252,-825.252
19200,-1030.278,-1030.278
19300,-1136.556,-1136.556
19400,-1083.321,-1083.321
19500,-1064.465,-1064.465
19600,-856.19,-856.19
19700,-918.827,-918.827
19800,-1068.953,-1068.953
19900,-1022.324,-1022.324
