time_step,avg_return_0,avg_of_avg_returns
0,-1190.011,-1190.011
100,-1257.594,-1257.594
200,-1248.811,-1248.811
300,-1566.879,-1566.879
400,-1589.677,-1589.677
500,-1661.481,-1661.481
600,-1639.572,-1639.572
700,-1375.809,-1375.809
800,-1457.574,-1457.574
900,-1488.656,-1488.656
1000,-1628.608,-1628.608
1100,-1564.488,-1564.488
1200,-1254.146,-1254.146
1300,-1465.191,-1465.191
1400,-1516.025,-1516.025
1500,-1609.395,-1609.395
1600,-1274.102,-1274.102
1700,-1371.744,-1371.744
1800,-1056.785,-1056.785
1900,-964.264,-964.264
2000,-998.626,-998.626
2100,-838.601,-838.601
2200,-707.689,-707.689
2300,-842.851,-842.851
2400,-728.966,-728.966
2500,-1238.509,-1238.509
2600,-1000.837,-1000.837
2700,-1272.949,-1272.949
2800,-1276.825,-1276.825
2900,-1196.432,-1196.432
3000,-967.413,-967.413
3100,-922.301,-922.301
3200,-1180.7,-1180.7
3300,-1225.229,-1225.229
3400,-1215.729,-1215.729
3500,-885.934,-885.934
3600,-1067.09,-1067.09
3700,-1069.221,-1069.221
3800,-1234.339,-1234.339
3900,-644.196,-644.196
4000,-1061.794,-1061.794
4100,-1185.268,-1185.268
4200,-867.815,-867.815
4300,-1019.89,-1019.89
4400,-915.242,-915.242
4500,-926.175,-926.175
4600,-813.482,-813.482
4700,-1001.227,-1001.227
4800,-1266.79,-1266.79
4900,-481.091,-481.091
