time_step,avg_return_0,avg_of_avg_returns
0,-1467.211,-1467.211
100,-1244.151,-1244.151
200,-1057.19,-1057.19
300,-1092.25,-1092.25
400,-1129.072,-1129.072
500,-1212.819,-1212.819
600,-1019.556,-1019.556
700,-1184.37,-1184.37
800,-1223.166,-1223.166
900,-1213.355,-1213.355
1000,-1135.418,-1135.418
1100,-1289.065,-1289.065
1200,-1212.082,-1212.082
1300,-1222.611,-1222.611
1400,-1243.985,-1243.985
1500,-1261.996,-1261.996
1600,-1252.012,-1252.012
1700,-1105.74,-1105.74
1800,-1087.667,-1087.667
1900,-1136.703,-1136.703
2000,-1233.012,-1233.012
2100,-1109.796,-1109.796
2200,-1039.117,-1039.117
2300,-1095.909,-1095.909
2400,-1065.139,-1065.139
2500,-1086.166,-1086.166
2600,-989.211,-989.211
2700,-814.653,-814.653
2800,-986.436,-986.436
2900,-842.317,-842.317
3000,-807.751,-807.751
3100,-819.081,-819.081
3200,-786.461,-786.461
3300,-817.169,-817.169
3400,-808.819,-808.819
3500,-620.808,-620.808
3600,-590.866,-590.866
3700,-983.622,-983.622
3800,-593.75,-593.75
3900,-599.923,-599.923
4000,-516.539,-516.539
4100,-622.07,-622.07
4200,-406.225,-406.225
4300,-725.264,-725.264
4400,-609.634,-609.634
4500,-305.948,-305.948
4600,-324.505,-324.505
4700,-253.673,-253.673
4800,-234.463,-234.463
4900,-291.066,-291.066
