train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-1394.351,-1529.354,-1408.565,-1404.948,-1321.474,-1411.7384000000002
2000,-904.372,-1069.133,-970.34,-988.476,-840.464,-954.5570000000001
3000,-1109.479,-822.072,-1144.693,-1311.815,-1119.548,-1101.5213999999999
4000,-1320.399,-1135.052,-1086.704,-1225.728,-938.015,-1141.1796
5000,-877.775,-1061.685,-1144.124,-1029.355,-897.203,-1002.0283999999999
6000,-1223.842,-937.271,-976.118,-1051.03,-784.415,-994.5352
7000,-679.295,-1162.776,-1035.525,-833.17,-978.656,-937.8844000000001
8000,-1259.329,-405.001,-783.868,-546.327,-878.993,-774.7035999999999
9000,-935.902,-549.565,-524.668,-1145.991,-809.884,-793.202
10000,-731.313,-1021.216,-812.729,-844.306,-1081.777,-898.2682000000001
11000,-741.297,-570.099,-439.831,-911.838,-1114.074,-755.4278000000002
12000,-1159.834,-676.475,-859.383,-1149.226,-607.317,-890.4470000000001
13000,-528.064,-628.477,-793.257,-432.751,-860.516,-648.613
14000,-1203.297,-767.996,-633.659,-1080.872,-997.721,-936.7090000000001
15000,-557.135,-752.939,-514.554,-1094.308,-1078.818,-799.5508
16000,-979.347,-770.381,-873.579,-452.435,-277.621,-670.6726
17000,-510.747,-463.215,-892.268,-749.045,-1198.159,-762.6868000000001
18000,-1068.57,-835.628,-313.132,-1028.786,-235.045,-696.2322
19000,-498.987,-892.27,-404.601,-454.211,-1120.813,-674.1764000000001
20000,-350.621,-412.477,-584.823,-280.719,-309.091,-387.54619999999994
21000,-997.03,-1074.793,-870.391,-716.025,-929.731,-917.594
22000,-554.278,-713.36,-522.792,-449.067,-831.51,-614.2013999999999
23000,-850.009,-448.344,-730.653,-265.628,-291.767,-517.2801999999999
24000,-1388.583,-691.703,-422.789,-421.898,-353.075,-655.6096
25000,-423.497,-1015.826,-524.04,-463.422,-832.572,-651.8714
26000,-491.028,-495.837,-287.937,-547.874,-348.962,-434.32759999999996
27000,-376.443,-381.179,-267.245,-387.677,-376.613,-357.8314
28000,-539.046,-545.63,-857.291,-370.711,-1277.426,-718.0208
29000,-1124.72,-886.065,-1182.68,-476.373,-1194.643,-972.8961999999999
30000,-917.14,-304.816,-638.482,-275.979,-351.29,-497.54139999999995
31000,-1196.016,-832.489,-389.428,-291.524,-292.314,-600.3542
32000,-1091.488,-407.361,-1017.868,-458.911,-760.21,-747.1676
33000,-443.637,-800.469,-1286.588,-272.551,-355.795,-631.808
34000,-376.205,-260.368,-307.45,-518.899,-275.516,-347.68760000000003
35000,-890.206,-515.513,-299.15,-330.371,-387.752,-484.5984
36000,-744.339,-341.365,-336.747,-357.207,-644.22,-484.7756000000001
37000,-363.744,-410.749,-281.992,-407.359,-297.992,-352.3672
38000,-833.473,-453.802,-220.412,-528.899,-297.103,-466.73780000000005
39000,-408.08,-1321.523,-225.974,-323.931,-328.716,-521.6447999999999
40000,-856.99,-932.112,-353.548,-443.619,-247.581,-566.77
41000,-632.882,-426.924,-407.375,-500.367,-335.576,-460.62479999999994
42000,-595.301,-341.987,-1104.393,-321.448,-364.261,-545.478
43000,-1005.601,-693.085,-338.393,-389.625,-338.86,-553.1128000000001
44000,-327.405,-530.435,-342.212,-302.642,-255.756,-351.69
45000,-369.469,-442.965,-301.386,-163.246,-517.266,-358.8664
46000,-323.115,-336.888,-325.167,-247.636,-317.868,-310.1347999999999
47000,-265.742,-531.719,-589.182,-344.897,-358.963,-418.10060000000004
48000,-286.944,-450.932,-321.196,-349.699,-361.195,-353.9932
49000,-616.904,-324.642,-394.142,-289.572,-281.186,-381.28920000000005
50000,-282.446,-969.281,-445.643,-344.336,-550.739,-518.4889999999999
