train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
400,-1602.358,-1307.602,-1363.47,-1351.922,-1593.766,-1443.8236000000002
800,-1544.72,-1586.116,-1543.621,-1238.795,-1284.021,-1439.4546
1200,-1399.989,-1260.528,-1219.893,-1205.398,-1431.641,-1303.4898
1600,-1288.741,-1155.862,-1123.04,-1091.465,-1128.411,-1157.5038
2000,-1139.169,-948.196,-888.423,-966.032,-980.087,-984.3814000000002
2400,-1274.785,-1148.182,-729.93,-1179.734,-1232.661,-1113.0584
2800,-1295.697,-1189.325,-1022.316,-1336.47,-1244.289,-1217.6194
3200,-1178.17,-968.207,-841.352,-1418.704,-875.065,-1056.2995999999998
3600,-1316.992,-1115.372,-576.412,-745.682,-833.943,-917.6802
4000,-641.67,-1173.981,-1079.444,-670.337,-1057.41,-924.5683999999999
4400,-966.199,-525.818,-427.629,-722.323,-674.495,-663.2927999999999
4800,-578.582,-502.94,-881.598,-733.815,-571.102,-653.6074
5200,-321.386,-628.758,-469.482,-626.804,-616.809,-532.6478
5600,-431.665,-497.103,-421.32,-777.436,-456.082,-516.7212
6000,-428.055,-641.57,-451.853,-580.718,-487.89,-518.0172
6400,-283.868,-658.374,-666.103,-614.994,-485.697,-541.8072
6800,-251.675,-761.688,-364.644,-621.413,-420.385,-483.96100000000007
7200,-496.392,-467.787,-511.485,-879.94,-930.799,-657.2806
7600,-543.105,-516.725,-716.568,-321.564,-1089.993,-637.591
8000,-576.773,-375.32,-536.077,-364.269,-406.179,-451.7236
8400,-537.367,-1141.175,-443.058,-384.608,-545.542,-610.35
8800,-389.298,-315.874,-685.784,-380.523,-706.811,-495.6580000000001
9200,-392.364,-411.259,-518.633,-311.614,-580.475,-442.869
9600,-475.898,-1419.04,-411.104,-393.502,-556.845,-651.2778000000001
10000,-386.401,-688.611,-377.64,-452.528,-575.123,-496.06059999999997
10400,-688.873,-365.336,-547.988,-398.559,-927.95,-585.7412
10800,-310.219,-446.339,-555.289,-720.649,-463.414,-499.18199999999996
11200,-1116.799,-496.658,-458.53,-380.583,-485.901,-587.6942
11600,-455.155,-604.153,-449.601,-520.261,-258.186,-457.47120000000007
12000,-568.411,-706.478,-428.791,-539.722,-407.71,-530.2224
12400,-516.574,-297.843,-526.679,-764.518,-419.66,-505.0548
12800,-973.696,-518.521,-781.974,-822.623,-611.578,-741.6784
13200,-766.398,-475.266,-530.946,-328.619,-349.231,-490.092
13600,-844.661,-505.547,-464.1,-341.002,-361.727,-503.40739999999994
14000,-311.247,-871.664,-386.728,-645.561,-476.382,-538.3164
14400,-1220.451,-1128.708,-338.756,-454.401,-360.755,-700.6142
14800,-373.821,-788.987,-557.437,-418.781,-264.482,-480.7016
15200,-215.845,-1117.677,-408.621,-262.397,-415.164,-483.94079999999997
15600,-353.081,-633.322,-363.876,-427.329,-320.969,-419.71539999999993
16000,-311.991,-532.054,-413.8,-411.206,-271.412,-388.0926
16400,-343.911,-282.771,-315.686,-560.784,-733.904,-447.4112
16800,-426.473,-602.65,-278.801,-325.799,-304.123,-387.5692
17200,-444.227,-343.282,-233.64,-399.581,-349.459,-354.0378
17600,-451.157,-236.733,-308.156,-594.164,-404.963,-399.0346
18000,-588.057,-366.439,-185.69,-647.811,-299.946,-417.58860000000004
18400,-616.442,-222.531,-307.908,-443.714,-313.901,-380.89919999999995
18800,-333.773,-440.783,-269.611,-313.839,-439.052,-359.4116
19200,-288.653,-295.788,-262.888,-440.865,-382.325,-334.1038
19600,-297.747,-294.701,-251.26,-343.99,-379.101,-313.3598
20000,-245.78,-454.367,-300.27,-286.779,-314.753,-320.3898
