train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-1223.056,-1329.069,-1618.39,-1102.344,-1529.129,-1360.3976
400,-1430.62,-1476.979,-1526.816,-1411.675,-1264.11,-1422.04
600,-1580.697,-1559.168,-1690.067,-1459.259,-1610.109,-1579.86
800,-1483.625,-1299.146,-1483.581,-1728.225,-1358.053,-1470.5259999999998
1000,-1547.484,-1628.757,-1700.317,-1348.306,-1528.938,-1550.7604
1200,-1156.521,-1151.857,-1163.248,-1413.874,-1315.632,-1240.2264
1400,-1278.089,-1184.693,-1442.783,-1386.629,-1396.757,-1337.7902
1600,-1053.818,-1249.956,-1314.757,-1445.604,-1345.739,-1281.9748
1800,-967.646,-1097.956,-1176.952,-1287.08,-1251.453,-1156.2174
2000,-1283.442,-1009.308,-967.609,-686.316,-1328.965,-1055.1280000000002
2200,-1025.587,-1076.982,-1083.43,-1018.001,-971.237,-1035.0474
2400,-814.937,-1049.207,-848.997,-1156.401,-857.207,-945.3498000000002
2600,-1076.166,-1269.055,-1275.583,-838.76,-962.308,-1084.3744000000002
2800,-1238.284,-1093.738,-1335.367,-1112.528,-1341.027,-1224.1888000000001
3000,-1314.006,-1308.584,-1111.847,-1294.277,-1104.271,-1226.597
3200,-1192.583,-1135.666,-1133.503,-1311.879,-1312.108,-1217.1478
3400,-875.984,-1109.552,-1262.054,-1207.4,-940.524,-1079.1028000000001
3600,-1086.916,-1158.859,-1186.923,-1229.997,-1228.206,-1178.1802
3800,-915.815,-968.085,-1062.861,-1041.911,-1041.836,-1006.1016000000002
4000,-801.002,-1175.412,-492.936,-1300.84,-1163.059,-986.6497999999999
4200,-1010.727,-1126.415,-744.721,-726.082,-810.907,-883.7704
4400,-579.597,-958.083,-849.515,-1242.023,-707.177,-867.2789999999999
4600,-555.578,-751.345,-1193.415,-860.405,-1187.654,-909.6793999999998
4800,-492.207,-1007.086,-643.207,-869.718,-806.958,-763.8352
5000,-967.184,-774.892,-556.772,-624.918,-520.454,-688.844
5200,-372.286,-588.638,-877.772,-921.194,-633.369,-678.6518
5400,-574.526,-1041.545,-744.556,-1209.268,-547.245,-823.4280000000001
5600,-512.697,-795.946,-563.869,-1249.982,-270.174,-678.5336
5800,-279.501,-969.852,-947.226,-767.571,-476.044,-688.0388
6000,-462.322,-227.223,-381.769,-902.102,-521.081,-498.89940000000007
6200,-468.647,-756.147,-529.54,-672.075,-397.233,-564.7284000000001
6400,-285.808,-670.224,-933.829,-470.464,-1069.822,-686.0294
6600,-399.469,-349.846,-651.898,-881.519,-427.732,-542.0928
6800,-433.179,-862.979,-474.381,-499.024,-596.296,-573.1717999999998
7000,-419.577,-765.011,-733.588,-316.757,-302.303,-507.44719999999995
7200,-289.39,-388.495,-913.606,-431.559,-433.923,-491.39459999999997
7400,-434.899,-623.015,-653.723,-775.755,-371.691,-571.8165999999999
7600,-427.063,-1061.529,-882.436,-1056.851,-984.366,-882.4490000000002
7800,-397.829,-886.041,-797.925,-895.123,-698.616,-735.1068
8000,-354.482,-565.357,-356.667,-529.686,-383.213,-437.88100000000003
8200,-586.143,-739.873,-624.635,-253.692,-394.792,-519.827
8400,-365.507,-769.212,-618.643,-791.656,-323.143,-573.6322
8600,-803.837,-456.231,-1218.35,-763.965,-443.185,-737.1135999999999
8800,-359.897,-805.659,-441.963,-1053.85,-259.951,-584.2639999999999
9000,-350.726,-980.164,-956.619,-816.972,-427.603,-706.4168
9200,-760.769,-356.139,-485.218,-306.618,-332.783,-448.3054
9400,-368.16,-507.096,-867.935,-863.958,-331.327,-587.6951999999999
9600,-774.557,-711.194,-709.182,-432.248,-530.799,-631.596
9800,-453.766,-287.615,-487.624,-763.666,-311.649,-460.86400000000003
10000,-426.002,-667.535,-644.597,-419.56,-469.237,-525.3862
