time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1445.416,-1492.818,-1150.663,-1632.661,-1111.278,-1366.5672
500,-1192.128,-1479.997,-1227.13,-1222.953,-1585.988,-1341.6392
1000,-1223.739,-1734.217,-1386.999,-1473.356,-1585.013,-1480.6648
1500,-1176.239,-1425.961,-1298.215,-1314.074,-1437.874,-1330.4725999999998
2000,-968.378,-757.168,-828.194,-1168.522,-1086.714,-961.7951999999999
2500,-893.997,-700.618,-937.888,-838.87,-1156.728,-905.6202000000001
3000,-1114.084,-1014.819,-1135.034,-1342.438,-1183.376,-1157.9502
3500,-1131.144,-1099.424,-1279.384,-1317.581,-1097.124,-1184.9314
4000,-1032.341,-719.849,-791.629,-1057.492,-1308.593,-981.9807999999999
4500,-389.622,-848.052,-676.191,-1107.86,-1270.948,-858.5346
5000,-729.591,-490.319,-495.917,-1049.886,-806.737,-714.49
5500,-656.496,-597.521,-455.941,-867.726,-881.939,-691.9245999999999
6000,-443.593,-403.388,-532.44,-1051.874,-956.27,-677.513
6500,-915.319,-557.349,-525.045,-981.787,-609.881,-717.8761999999999
7000,-261.58,-330.131,-1103.164,-688.856,-1107.699,-698.286
7500,-639.298,-728.028,-1266.798,-817.95,-598.679,-810.1505999999999
8000,-522.704,-556.36,-420.223,-545.374,-685.157,-545.9635999999999
8500,-508.356,-484.456,-472.938,-660.359,-1141.04,-653.4298
9000,-440.257,-997.004,-1065.512,-359.15,-617.115,-695.8076000000001
9500,-393.219,-1075.485,-494.164,-271.453,-704.965,-587.8572
10000,-465.278,-435.491,-488.45,-409.734,-607.208,-481.23220000000003
10500,-1123.244,-493.802,-448.935,-456.709,-421.842,-588.9064
11000,-401.228,-579.969,-445.042,-808.635,-450.661,-537.107
11500,-280.372,-366.639,-443.034,-739.368,-235.96,-413.07460000000003
12000,-424.296,-318.437,-1277.262,-514.414,-280.685,-563.0187999999999
12500,-903.972,-582.805,-380.683,-299.942,-782.249,-589.9302
13000,-308.895,-476.864,-283.658,-379.205,-606.448,-411.01399999999995
