time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-162.087,-211.391,-273.327,-174.652,-219.647,-208.22079999999997
100,-140.025,-201.807,-145.203,-86.422,-195.075,-153.70639999999997
200,-135.956,-176.893,-188.57,-235.292,-150.722,-177.4866
300,-173.069,-209.518,-134.422,-160.698,-219.963,-179.534
400,-179.082,-158.714,-231.059,-119.99,-160.802,-169.92940000000002
500,-199.537,-182.945,-155.577,-279.639,-160.903,-195.7202
600,-216.286,-123.676,-124.187,-210.317,-151.08,-165.10920000000002
700,-206.759,-215.045,-134.409,-126.397,-125.803,-161.6826
800,-196.602,-187.836,-139.64,-188.053,-148.701,-172.1664
900,-186.591,-100.406,-171.244,-147.417,-150.585,-151.2486
