train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1000,-1087.036,-1563.128,-1207.8,-891.76,-1298.208,-1209.5864000000001
2000,-1238.13,-1226.334,-1310.473,-1521.643,-1582.386,-1375.7932
3000,-1428.84,-1442.89,-1393.53,-494.771,-507.383,-1053.4828
4000,-504.793,-1303.426,-1567.813,-779.507,-1154.85,-1062.0777999999998
5000,-1501.003,-1132.492,-667.599,-239.547,-286.332,-765.3946
6000,-487.25,-1131.967,-125.794,-148.53,-158.34,-410.37620000000004
7000,-147.55,-727.581,-399.579,-155.649,-198.079,-325.6876
8000,-1107.487,-549.328,-179.889,-170.276,-385.536,-478.5032
9000,-330.421,-1258.963,-134.492,-169.037,-162.787,-411.14
10000,-138.519,-381.998,-152.504,-142.084,-200.347,-203.0904
11000,-136.256,-164.249,-138.159,-139.143,-109.994,-137.5602
12000,-278.047,-162.019,-132.025,-161.207,-177.72,-182.2036
13000,-149.619,-135.307,-162.327,-166.486,-149.512,-152.65019999999998
14000,-160.471,-98.726,-149.111,-169.948,-148.101,-145.2714
15000,-253.004,-153.412,-137.244,-158.374,-169.592,-174.3252
16000,-143.892,-112.666,-143.628,-108.711,-195.19,-140.8174
17000,-166.163,-109.541,-133.619,-147.114,-165.57,-144.40140000000002
18000,-102.159,-124.189,-128.899,-181.885,-121.048,-131.63600000000002
19000,-128.748,-145.664,-208.569,-185.895,-146.506,-163.07639999999998
20000,-119.04,-155.609,-123.001,-141.822,-172.143,-142.323
21000,-170.872,-86.796,-167.803,-151.602,-168.057,-149.026
22000,-195.655,-111.653,-183.131,-144.89,-100.063,-147.0784
23000,-147.076,-135.118,-143.336,-155.316,-177.556,-151.68040000000002
24000,-153.537,-135.255,-198.659,-217.762,-141.643,-169.3712
25000,-218.2,-126.006,-164.081,-179.654,-167.42,-171.0722
26000,-132.482,-189.972,-134.726,-151.023,-129.17,-147.47459999999998
27000,-214.523,-232.184,-159.84,-147.438,-137.499,-178.29680000000002
28000,-108.442,-190.241,-172.02,-196.082,-159.283,-165.21359999999999
29000,-129.934,-134.116,-134.746,-124.561,-150.205,-134.71240000000003
30000,-134.602,-157.844,-174.587,-181.052,-204.72,-170.561
31000,-175.401,-159.45,-155.152,-71.439,-122.307,-136.7498
32000,-168.023,-166.128,-128.211,-181.585,-175.432,-163.8758
33000,-180.586,-133.909,-147.545,-205.808,-215.512,-176.67199999999997
34000,-124.223,-111.976,-142.537,-185.513,-162.329,-145.3156
35000,-185.128,-224.745,-135.784,-138.867,-185.174,-173.93959999999998
36000,-146.666,-171.965,-125.854,-182.29,-173.614,-160.0778
37000,-141.721,-188.138,-166.857,-130.947,-158.826,-157.2978
38000,-114.262,-111.099,-123.514,-191.328,-178.75,-143.79059999999998
39000,-115.609,-151.95,-123.397,-143.391,-157.334,-138.33620000000002
40000,-132.94,-175.922,-155.13,-183.893,-219.44,-173.465
41000,-170.431,-135.457,-93.284,-135.609,-118.049,-130.566
42000,-112.442,-150.0,-144.079,-142.191,-141.128,-137.968
43000,-159.508,-148.841,-151.656,-201.26,-111.417,-154.53640000000001
44000,-150.022,-219.934,-121.061,-207.275,-168.781,-173.4146
45000,-125.114,-116.889,-168.771,-150.992,-127.855,-137.92419999999998
46000,-136.608,-134.158,-145.202,-149.999,-199.576,-153.1086
47000,-133.345,-166.21,-147.627,-132.252,-190.003,-153.88739999999999
48000,-180.654,-139.234,-172.899,-144.801,-90.731,-145.66379999999998
49000,-180.558,-138.125,-155.294,-197.547,-140.186,-162.342
50000,-166.213,-149.052,-159.144,-164.613,-166.917,-161.18779999999998
