train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-86.509,-10.547,-13.237,-11.027,-12.905,-26.845
400,-8.926,-11.094,-10.259,-11.061,-11.137,-10.4954
600,-8.672,-10.758,-12.809,-10.881,-11.923,-11.0086
800,-10.122,-11.903,-12.814,-12.1,-12.259,-11.8396
1000,-12.491,-7.986,-11.318,-11.237,-11.71,-10.948400000000001
1200,-12.461,-8.564,-10.361,-11.241,-9.12,-10.3494
1400,-11.027,-9.664,-10.606,-10.43,-12.605,-10.866399999999999
1600,-9.588,-8.204,-9.416,-9.604,-10.991,-9.560599999999999
1800,-10.521,-10.579,-11.299,-10.523,-10.203,-10.625
2000,-9.534,-11.777,-12.84,-9.026,-8.944,-10.424199999999999
2200,-10.803,-9.224,-11.242,-11.891,-8.872,-10.406400000000001
2400,-10.213,-10.941,-8.284,-10.488,-12.087,-10.402600000000001
2600,-9.743,-10.662,-6.777,-10.651,-10.866,-9.739799999999999
2800,-7.976,-12.681,-11.295,-9.394,-8.113,-9.8918
3000,-7.895,-12.519,-9.838,-9.941,-8.734,-9.785400000000001
3200,-8.345,-12.547,-8.313,-8.934,-9.658,-9.5594
3400,-9.225,-10.181,-9.403,-10.742,-9.976,-9.9054
3600,-8.142,-8.621,-8.939,-11.452,-9.233,-9.2774
3800,-7.765,-9.708,-8.407,-8.547,-10.753,-9.036
4000,-8.56,-6.718,-6.23,-10.297,-6.009,-7.562800000000001
4200,-8.907,-8.721,-7.057,-12.428,-9.624,-9.3474
4400,-11.365,-9.706,-7.76,-10.898,-10.251,-9.995999999999999
4600,-8.559,-7.98,-9.923,-10.925,-8.339,-9.145199999999999
4800,-9.919,-8.191,-6.831,-9.678,-10.067,-8.9372
5000,-8.704,-8.921,-8.576,-9.261,-7.953,-8.683000000000002
5200,-8.234,-8.574,-9.04,-9.231,-7.781,-8.572
5400,-10.951,-9.276,-8.338,-8.727,-7.531,-8.9646
5600,-9.335,-8.684,-8.927,-9.298,-8.989,-9.046600000000002
5800,-9.445,-8.459,-10.355,-9.404,-7.707,-9.074
6000,-8.146,-7.841,-9.801,-10.095,-8.474,-8.8714
6200,-7.991,-10.081,-8.128,-8.777,-6.11,-8.2174
6400,-6.417,-10.093,-8.601,-7.233,-9.877,-8.444199999999999
6600,-7.097,-6.02,-8.805,-8.387,-9.976,-8.057
6800,-8.206,-9.544,-7.728,-9.988,-7.622,-8.6176
7000,-7.498,-7.463,-7.703,-11.17,-7.587,-8.284200000000002
7200,-8.41,-9.346,-8.34,-8.283,-8.582,-8.5922
7400,-7.917,-9.167,-8.331,-6.341,-7.674,-7.886
7600,-8.148,-9.23,-8.885,-6.533,-6.308,-7.8208
7800,-7.988,-10.467,-6.186,-6.253,-6.519,-7.482600000000001
8000,-9.298,-10.139,-8.282,-7.107,-7.917,-8.5486
8200,-6.345,-11.282,-7.069,-7.261,-7.195,-7.8304
8400,-7.473,-9.883,-8.398,-7.817,-6.342,-7.9826
8600,-7.356,-8.229,-6.567,-7.79,-7.643,-7.517
8800,-7.585,-8.117,-7.494,-7.191,-7.516,-7.5806
9000,-8.161,-8.004,-7.382,-8.202,-6.897,-7.729199999999999
9200,-6.607,-7.791,-7.5,-5.226,-7.388,-6.9024
9400,-7.792,-8.138,-8.135,-6.443,-6.839,-7.4693999999999985
9600,-7.408,-8.2,-8.652,-6.608,-7.533,-7.680199999999999
9800,-6.801,-8.808,-7.101,-6.874,-7.348,-7.3864
10000,-7.453,-9.298,-8.684,-6.736,-7.444,-7.923
