train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
400,-44.994,-44.746,-43.092,-43.55,-42.923,-43.861000000000004
800,-37.67,-38.626,-39.417,-38.888,-37.656,-38.4514
1200,-34.369,-34.553,-34.935,-32.927,-35.63,-34.4828
1600,-31.676,-31.984,-33.15,-32.23,-29.198,-31.6476
2000,-29.407,-28.733,-31.979,-30.373,-30.628,-30.224
2400,-29.332,-28.985,-29.692,-28.651,-31.28,-29.588
2800,-27.997,-27.912,-27.584,-29.771,-28.014,-28.255599999999998
3200,-26.806,-26.653,-25.991,-24.693,-25.369,-25.9024
3600,-24.441,-25.439,-27.119,-24.892,-24.228,-25.2238
4000,-24.288,-24.572,-23.157,-22.51,-24.011,-23.7076
4400,-22.644,-23.064,-22.384,-22.541,-21.699,-22.4664
4800,-20.813,-19.578,-21.243,-22.038,-22.079,-21.1502
5200,-19.03,-20.914,-19.086,-19.083,-18.536,-19.3298
5600,-18.666,-17.957,-17.045,-19.745,-19.31,-18.544600000000003
6000,-18.903,-18.37,-17.607,-16.523,-15.66,-17.412599999999998
6400,-15.945,-19.063,-17.86,-16.846,-16.698,-17.282400000000003
6800,-14.698,-16.28,-14.744,-16.181,-15.301,-15.440800000000001
7200,-15.238,-13.834,-14.718,-15.91,-16.588,-15.257600000000002
7600,-15.281,-16.269,-14.553,-10.802,-14.141,-14.2092
8000,-14.963,-13.841,-14.184,-14.073,-12.068,-13.825800000000001
8400,-14.575,-13.604,-14.018,-14.005,-11.792,-13.5988
8800,-14.906,-13.238,-11.222,-11.533,-15.356,-13.251
9200,-10.532,-11.372,-13.221,-14.292,-12.705,-12.4244
9600,-11.564,-13.211,-10.477,-12.418,-9.695,-11.472999999999999
10000,-12.565,-14.206,-12.427,-12.432,-10.629,-12.4518
10400,-13.568,-11.362,-12.383,-11.943,-12.798,-12.4108
10800,-13.019,-11.448,-11.225,-13.007,-13.096,-12.359
11200,-10.974,-13.681,-9.091,-10.985,-10.542,-11.0546
11600,-10.63,-11.326,-12.64,-11.825,-14.716,-12.227400000000001
12000,-12.693,-10.385,-11.327,-11.366,-13.124,-11.779
12400,-10.888,-8.863,-12.81,-13.294,-12.053,-11.5816
12800,-10.278,-12.516,-11.613,-12.929,-12.27,-11.921199999999999
13200,-11.424,-11.481,-9.777,-9.968,-12.372,-11.0044
13600,-9.758,-13.461,-10.62,-13.23,-13.354,-12.0846
14000,-10.416,-15.813,-10.341,-10.59,-11.588,-11.7496
14400,-10.603,-10.557,-11.858,-11.826,-11.392,-11.247200000000001
14800,-11.693,-11.017,-11.947,-12.191,-12.571,-11.883799999999999
15200,-11.131,-10.299,-8.737,-13.203,-12.165,-11.107000000000001
15600,-10.877,-11.932,-11.749,-12.332,-12.94,-11.966
16000,-12.288,-10.154,-11.632,-10.138,-14.22,-11.686399999999999
16400,-11.383,-10.992,-10.953,-13.518,-13.06,-11.981200000000001
16800,-10.963,-10.086,-9.73,-12.39,-12.244,-11.0826
17200,-12.765,-13.39,-10.573,-13.467,-11.343,-12.307599999999999
17600,-9.374,-12.362,-12.007,-11.869,-11.764,-11.475200000000001
18000,-11.633,-16.072,-10.899,-11.493,-12.097,-12.4388
18400,-11.012,-15.664,-11.446,-11.908,-12.521,-12.510200000000001
18800,-10.845,-12.647,-10.821,-12.442,-11.464,-11.6438
19200,-12.079,-11.504,-13.338,-12.305,-13.687,-12.5826
19600,-11.923,-12.42,-12.369,-10.755,-14.494,-12.3922
20000,-10.871,-13.246,-14.214,-11.818,-12.898,-12.609399999999999
