train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-11.715,-12.611,-11.312,-12.02,-12.86,-12.1036
400,-12.592,-12.846,-13.274,-10.75,-12.567,-12.405800000000001
600,-10.307,-13.116,-11.884,-10.261,-11.336,-11.380799999999999
800,-14.193,-10.871,-10.169,-13.622,-10.443,-11.8596
1000,-11.403,-10.653,-11.441,-12.827,-11.281,-11.520999999999999
1200,-10.436,-10.493,-10.526,-9.817,-12.021,-10.658600000000002
1400,-10.214,-9.689,-11.487,-11.295,-8.882,-10.3134
1600,-10.962,-10.543,-8.886,-10.742,-12.727,-10.772
1800,-12.947,-10.763,-10.462,-10.634,-9.098,-10.7808
2000,-12.423,-11.49,-9.48,-12.17,-9.358,-10.984200000000001
2200,-10.449,-8.948,-11.322,-12.144,-11.764,-10.9254
2400,-11.006,-12.48,-12.825,-12.341,-10.775,-11.8854
2600,-11.807,-9.76,-11.123,-11.853,-11.022,-11.113
2800,-9.193,-10.96,-8.451,-11.582,-9.975,-10.0322
3000,-14.146,-8.614,-11.389,-11.029,-11.472,-11.33
3200,-12.272,-10.49,-10.954,-13.528,-11.08,-11.6648
3400,-17.181,-12.789,-12.928,-12.471,-13.171,-13.707999999999998
3600,-14.673,-12.86,-11.222,-11.891,-11.5,-12.4292
3800,-14.223,-11.019,-10.252,-11.316,-11.194,-11.600800000000001
4000,-12.345,-12.142,-14.83,-12.37,-12.273,-12.791999999999998
4200,-14.155,-12.314,-11.239,-11.4,-12.13,-12.2476
4400,-11.825,-13.039,-10.909,-13.789,-13.763,-12.665
4600,-12.987,-14.027,-14.805,-10.68,-9.716,-12.443000000000001
4800,-11.195,-14.419,-14.015,-12.286,-12.046,-12.792200000000001
5000,-13.1,-10.982,-11.496,-10.123,-11.39,-11.4182
5200,-14.778,-12.49,-11.996,-10.78,-11.031,-12.215
5400,-14.676,-15.901,-11.801,-12.975,-11.616,-13.393799999999999
5600,-15.295,-12.992,-11.854,-13.226,-11.918,-13.056999999999999
5800,-13.779,-10.123,-11.387,-11.117,-13.113,-11.9038
6000,-13.178,-10.448,-11.567,-10.908,-12.15,-11.6502
6200,-13.701,-12.764,-11.454,-12.063,-13.266,-12.6496
6400,-13.311,-11.964,-11.355,-12.001,-11.688,-12.063799999999999
6600,-15.332,-13.109,-12.553,-9.244,-14.88,-13.023599999999998
6800,-11.56,-12.998,-11.473,-14.383,-10.502,-12.183200000000001
7000,-14.88,-10.676,-11.425,-10.164,-12.754,-11.979800000000001
7200,-12.928,-14.127,-14.774,-12.797,-12.172,-13.3596
7400,-13.803,-11.877,-15.718,-15.967,-12.282,-13.929399999999998
7600,-13.608,-13.356,-13.146,-9.7,-13.397,-12.6414
7800,-12.835,-12.652,-13.948,-12.25,-12.165,-12.77
8000,-10.876,-11.145,-11.658,-12.232,-11.168,-11.4158
8200,-12.692,-12.725,-12.798,-15.144,-11.979,-13.067599999999999
8400,-13.827,-11.602,-14.793,-10.696,-13.501,-12.883799999999999
8600,-13.792,-11.207,-16.39,-13.736,-13.704,-13.765800000000002
8800,-12.828,-12.108,-13.217,-13.579,-12.378,-12.822
9000,-14.148,-12.994,-12.106,-13.134,-12.597,-12.9958
9200,-13.322,-15.021,-11.157,-11.531,-12.299,-12.666
9400,-13.381,-12.972,-13.672,-13.323,-13.799,-13.429400000000001
9600,-14.592,-13.959,-13.982,-12.068,-13.369,-13.594
9800,-13.109,-12.466,-17.172,-13.356,-13.557,-13.931999999999999
10000,-12.109,-10.625,-16.529,-10.237,-14.35,-12.770000000000001
