train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-30.958,-9.566,-33.256,-11.133,-12.949,-19.5724
400,-17.772,-25.977,-17.182,-38.745,-12.595,-22.454199999999997
600,-20.204,-27.002,-19.78,-13.797,-13.436,-18.843799999999998
800,-21.284,-10.499,-18.597,-13.361,-11.182,-14.9846
1000,-26.761,-26.716,-11.93,-14.081,-17.23,-19.343600000000002
1200,-37.264,-18.322,-27.869,-35.737,-13.217,-26.481800000000003
1400,-19.77,-15.537,-33.482,-15.963,-19.61,-20.8724
1600,-22.268,-11.998,-19.88,-39.116,-12.208,-21.094
1800,-22.334,-15.948,-11.026,-30.744,-9.943,-17.999
2000,-26.877,-18.058,-18.807,-15.266,-31.079,-22.017400000000002
2200,-14.719,-15.858,-17.085,-28.888,-21.36,-19.582
2400,-11.455,-19.676,-31.688,-23.215,-10.138,-19.2344
2600,-29.288,-19.915,-49.915,-29.761,-23.189,-30.413599999999995
2800,-10.017,-11.75,-19.338,-28.274,-32.913,-20.4584
3000,-15.216,-10.454,-11.64,-19.26,-37.083,-18.730600000000003
3200,-23.789,-14.139,-19.153,-41.253,-16.578,-22.982400000000002
3400,-15.197,-9.352,-36.243,-25.318,-13.711,-19.964199999999998
3600,-24.52,-15.057,-29.849,-15.815,-18.518,-20.7518
3800,-33.263,-9.382,-27.421,-20.034,-12.923,-20.604599999999998
4000,-25.555,-10.894,-14.911,-30.906,-13.206,-19.0944
4200,-26.866,-10.925,-16.64,-25.156,-9.646,-17.8466
4400,-22.431,-7.88,-16.369,-11.79,-12.048,-14.1036
4600,-11.92,-17.573,-26.939,-14.998,-11.276,-16.5412
4800,-27.033,-8.729,-16.392,-25.689,-19.583,-19.4852
5000,-50.757,-38.001,-19.714,-12.451,-29.463,-30.077199999999998
5200,-33.69,-10.076,-22.668,-21.835,-17.419,-21.1376
5400,-21.215,-21.937,-25.117,-13.09,-15.143,-19.300400000000003
5600,-22.767,-14.478,-24.609,-34.687,-11.344,-21.576999999999998
5800,-23.537,-14.377,-10.696,-19.387,-21.34,-17.8674
6000,-25.424,-15.428,-18.916,-15.139,-26.293,-20.24
6200,-22.63,-13.534,-17.941,-22.774,-37.508,-22.8774
6400,-21.807,-19.786,-12.684,-16.571,-12.845,-16.738599999999998
6600,-11.751,-17.455,-39.45,-21.047,-24.207,-22.782
6800,-29.051,-19.01,-39.267,-35.446,-18.649,-28.2846
7000,-11.55,-21.163,-29.013,-15.489,-23.177,-20.0784
7200,-14.668,-22.788,-31.121,-24.486,-15.085,-21.6296
7400,-32.117,-25.536,-14.226,-14.245,-23.737,-21.9722
7600,-10.402,-15.554,-28.783,-21.175,-20.453,-19.273400000000002
7800,-12.949,-19.248,-30.569,-19.382,-24.494,-21.328400000000002
8000,-10.004,-18.963,-29.394,-19.207,-10.811,-17.6758
8200,-11.912,-26.564,-13.449,-23.607,-19.617,-19.0298
8400,-10.665,-16.598,-19.375,-30.75,-17.68,-19.013600000000004
8600,-18.19,-19.435,-27.293,-28.479,-18.769,-22.4332
8800,-13.789,-26.082,-24.792,-26.424,-24.849,-23.187200000000004
9000,-15.437,-24.388,-12.151,-21.105,-21.554,-18.927
9200,-8.983,-19.725,-13.483,-11.464,-11.767,-13.084399999999999
9400,-14.038,-15.822,-16.259,-15.011,-11.661,-14.5582
9600,-13.491,-18.328,-23.47,-26.556,-20.942,-20.5574
9800,-13.821,-16.385,-17.15,-15.719,-20.599,-16.7348
10000,-13.384,-19.498,-10.851,-15.046,-11.254,-14.0066
