train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-10.938,-14.089,-11.835,-12.062,-13.199,-12.4246
400,-10.126,-13.663,-16.254,-11.951,-10.868,-12.572400000000002
600,-12.12,-15.746,-16.389,-11.595,-13.88,-13.945999999999998
800,-12.722,-9.599,-15.151,-13.983,-14.604,-13.2118
1000,-13.376,-15.137,-45.532,-10.302,-9.328,-18.734999999999996
1200,-10.274,-10.116,-9.923,-10.268,-14.13,-10.942200000000001
1400,-10.551,-12.907,-18.987,-11.06,-12.435,-13.187999999999999
1600,-9.018,-15.05,-12.378,-13.379,-11.355,-12.235999999999999
1800,-13.981,-10.936,-14.53,-10.053,-11.095,-12.119
2000,-11.665,-12.537,-11.536,-13.489,-11.556,-12.156600000000001
2200,-13.727,-22.728,-14.402,-10.808,-11.522,-14.6374
2400,-8.361,-9.977,-15.679,-10.927,-9.339,-10.8566
2600,-14.747,-9.62,-10.295,-9.789,-10.645,-11.019200000000001
2800,-10.592,-17.593,-10.924,-15.407,-9.082,-12.719600000000002
3000,-13.051,-12.17,-9.053,-11.514,-11.74,-11.5056
3200,-8.607,-11.433,-10.011,-12.708,-13.783,-11.3084
3400,-12.315,-28.525,-11.186,-13.345,-11.359,-15.345999999999998
3600,-23.432,-10.978,-10.115,-10.697,-14.458,-13.935999999999998
3800,-12.708,-12.143,-8.415,-11.572,-11.175,-11.202599999999999
4000,-9.629,-13.183,-11.864,-9.626,-10.707,-11.0018
4200,-12.389,-11.714,-10.537,-10.525,-11.334,-11.2998
4400,-11.032,-12.394,-9.594,-9.769,-9.496,-10.457
4600,-11.646,-10.539,-9.503,-13.491,-9.782,-10.9922
4800,-10.998,-13.142,-12.391,-11.345,-10.573,-11.6898
5000,-10.167,-11.916,-10.937,-10.126,-10.246,-10.6784
5200,-10.328,-10.762,-9.92,-16.568,-12.119,-11.939400000000001
5400,-9.853,-14.359,-10.729,-12.41,-17.475,-12.9652
5600,-10.585,-10.399,-9.706,-12.437,-10.19,-10.6634
5800,-13.089,-9.851,-11.563,-11.105,-9.704,-11.0624
6000,-6.96,-9.247,-13.667,-11.019,-10.033,-10.1852
6200,-12.703,-12.038,-10.903,-9.293,-12.61,-11.5094
6400,-8.152,-10.191,-11.02,-9.552,-22.865,-12.356
6600,-10.266,-11.791,-11.44,-8.844,-10.476,-10.5634
6800,-12.636,-9.154,-21.357,-8.848,-8.449,-12.088799999999999
7000,-11.474,-9.512,-9.389,-11.357,-10.481,-10.4426
7200,-9.773,-9.524,-9.366,-9.159,-14.452,-10.454799999999999
7400,-8.667,-8.386,-8.186,-9.769,-27.319,-12.465399999999999
7600,-9.347,-19.517,-9.825,-11.051,-18.25,-13.597999999999999
7800,-14.357,-9.374,-9.655,-10.84,-9.626,-10.770399999999999
8000,-8.991,-13.494,-8.189,-10.674,-16.303,-11.530199999999999
8200,-11.917,-7.872,-9.687,-16.535,-14.224,-12.047
8400,-10.01,-10.009,-12.833,-12.408,-9.412,-10.9344
8600,-9.416,-12.876,-14.142,-9.626,-11.463,-11.5046
8800,-7.974,-27.099,-10.266,-13.107,-11.889,-14.066999999999998
9000,-10.815,-14.634,-8.316,-13.295,-15.94,-12.6
9200,-19.705,-18.508,-10.574,-13.346,-12.69,-14.964599999999999
9400,-13.807,-11.1,-10.09,-14.51,-11.086,-12.118599999999999
9600,-11.11,-13.288,-9.357,-21.697,-10.093,-13.109
9800,-11.368,-10.869,-10.107,-9.778,-9.632,-10.3508
10000,-13.662,-12.197,-11.617,-12.238,-11.873,-12.3174
