train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
1,-63.345,-61.83,-96.218,-32.972,-41.227,-59.118399999999994
2,-59.769,-68.09,-97.574,-21.466,-48.715,-59.122800000000005
3,-49.777,-41.394,-94.679,-12.362,-60.424,-51.727199999999996
4,-74.345,-49.084,-91.062,-11.054,-61.585,-57.426
5,-57.205,-36.825,-81.493,-13.01,-65.373,-50.7812
6,-59.031,-27.037,-61.335,-12.93,-67.52,-45.5706
7,-97.447,-19.742,-69.605,-19.101,-66.07,-54.39300000000001
8,-104.502,-15.64,-52.865,-19.965,-61.363,-50.867000000000004
9,-80.435,-13.614,-41.855,-19.753,-59.724,-43.07619999999999
10,-85.847,-13.502,-34.56,-18.804,-56.888,-41.9202
11,-101.09,-14.241,-33.582,-16.838,-49.857,-43.1216
12,-81.827,-12.827,-35.7,-16.289,-47.369,-38.80239999999999
13,-24.185,-14.092,-34.467,-13.236,-44.219,-26.039800000000003
14,-17.207,-12.462,-32.322,-14.505,-39.319,-23.163
15,-14.345,-12.707,-22.106,-13.433,-38.025,-20.1232
16,-14.358,-18.759,-15.728,-14.041,-30.946,-18.7664
17,-11.428,-14.116,-16.141,-12.609,-28.923,-16.6434
18,-10.92,-28.998,-16.45,-8.499,-23.479,-17.669199999999996
19,-14.0,-27.195,-30.601,-9.235,-25.104,-21.226999999999997
20,-11.975,-31.225,-55.05,-13.62,-26.644,-27.702800000000003
21,-11.195,-16.903,-46.652,-11.703,-29.583,-23.2072
22,-10.026,-18.084,-17.08,-9.461,-28.603,-16.650799999999997
23,-10.897,-26.438,-12.49,-9.98,-24.243,-16.8096
24,-11.885,-54.203,-10.527,-14.288,-27.418,-23.6642
25,-12.014,-49.212,-10.573,-10.464,-24.678,-21.3882
26,-12.322,-54.212,-8.924,-11.206,-23.111,-21.955000000000002
27,-10.688,-37.188,-9.905,-10.228,-20.042,-17.6102
28,-12.631,-49.101,-8.501,-10.143,-18.042,-19.683600000000002
29,-13.542,-42.236,-7.484,-10.376,-14.885,-17.704600000000003
30,-12.669,-45.472,-10.394,-11.518,-15.21,-19.0526
31,-13.134,-46.466,-11.604,-10.633,-15.256,-19.4186
32,-14.227,-43.941,-11.049,-11.479,-11.504,-18.440000000000005
33,-11.075,-35.298,-9.043,-10.261,-9.364,-15.008200000000002
34,-11.563,-39.532,-12.259,-12.333,-9.625,-17.0624
35,-12.272,-30.364,-11.017,-13.568,-12.762,-15.9966
36,-13.354,-25.697,-12.042,-11.938,-11.881,-14.982400000000002
37,-11.498,-11.628,-11.565,-11.497,-13.681,-11.973799999999999
38,-9.946,-10.594,-9.944,-15.417,-12.581,-11.6964
39,-12.237,-9.242,-8.876,-11.614,-12.439,-10.881599999999999
40,-12.865,-13.081,-11.864,-13.411,-12.964,-12.837
41,-13.1,-10.25,-13.001,-12.564,-8.892,-11.5614
42,-9.442,-12.461,-11.0,-11.108,-8.634,-10.529
43,-11.988,-11.158,-11.705,-11.244,-13.624,-11.9438
44,-14.84,-14.257,-11.933,-12.907,-11.207,-13.0288
45,-11.693,-12.2,-10.856,-11.187,-12.011,-11.589400000000001
46,-11.198,-12.039,-10.707,-10.108,-11.35,-11.080400000000001
47,-12.88,-11.942,-11.276,-12.692,-12.161,-12.1902
48,-12.156,-12.636,-9.976,-11.553,-9.178,-11.099799999999998
49,-11.36,-12.034,-12.005,-10.271,-12.519,-11.6378
50,-10.169,-10.872,-13.344,-9.055,-10.603,-10.8086
