train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,-104.079,-52.369,-59.789,-70.917,-10.295,-59.4898
4,-94.468,-19.966,-11.734,-11.948,-21.368,-31.896799999999995
6,-105.022,-12.042,-11.263,-11.622,-60.778,-40.1454
8,-39.826,-8.444,-12.697,-10.246,-102.955,-34.833600000000004
10,-13.267,-10.115,-12.072,-10.831,-27.196,-14.6962
12,-11.135,-15.709,-12.453,-12.287,-13.137,-12.9442
14,-12.636,-10.705,-12.936,-10.671,-12.17,-11.8236
16,-14.406,-12.52,-11.834,-13.429,-9.647,-12.3672
18,-11.766,-12.955,-12.556,-10.573,-9.204,-11.4108
20,-12.527,-13.147,-13.183,-13.599,-11.017,-12.6946
22,-12.567,-11.493,-12.127,-10.622,-12.084,-11.7786
24,-12.43,-10.009,-12.231,-10.794,-10.639,-11.2206
26,-10.389,-11.217,-9.836,-10.681,-10.372,-10.498999999999999
28,-13.057,-9.61,-11.43,-13.971,-9.655,-11.544599999999999
30,-10.813,-6.404,-11.165,-9.036,-15.477,-10.578999999999999
32,-11.006,-9.964,-9.959,-11.996,-9.765,-10.538
34,-8.067,-8.557,-8.745,-11.771,-10.062,-9.4404
36,-10.925,-8.822,-12.788,-10.262,-12.8,-11.119399999999999
38,-12.594,-9.612,-11.361,-12.538,-10.492,-11.319400000000002
40,-9.658,-8.249,-11.82,-13.248,-9.613,-10.5176
42,-13.058,-8.478,-12.508,-12.924,-9.098,-11.213199999999999
44,-11.681,-10.751,-12.159,-11.267,-10.002,-11.172
46,-10.994,-12.559,-11.396,-8.17,-11.484,-10.9206
48,-10.839,-12.137,-12.666,-12.856,-14.772,-12.654
50,-13.041,-12.706,-14.248,-12.941,-12.559,-13.099
52,-10.612,-11.418,-12.42,-10.728,-13.102,-11.656
54,-9.659,-11.305,-7.965,-10.295,-12.936,-10.431999999999999
56,-11.147,-13.364,-12.083,-13.34,-9.62,-11.910799999999998
58,-14.865,-13.447,-9.976,-13.655,-13.453,-13.0792
60,-13.022,-9.654,-10.513,-11.617,-12.513,-11.463799999999999
62,-11.516,-10.694,-11.341,-9.463,-12.257,-11.0542
64,-13.705,-10.646,-14.655,-12.422,-14.053,-13.0962
66,-10.638,-8.937,-12.711,-10.948,-10.958,-10.8384
68,-13.747,-13.404,-11.96,-10.165,-14.308,-12.716800000000001
70,-9.623,-10.98,-10.606,-10.297,-10.937,-10.4886
72,-9.613,-12.936,-10.618,-13.579,-13.857,-12.1206
74,-10.922,-12.241,-8.497,-12.993,-9.89,-10.9086
76,-10.066,-13.371,-13.957,-11.488,-13.074,-12.391200000000001
78,-12.596,-11.967,-12.67,-13.31,-10.708,-12.250200000000001
80,-12.062,-10.652,-10.584,-12.492,-11.572,-11.472400000000002
82,-11.953,-13.538,-13.933,-11.217,-10.289,-12.186
84,-10.639,-12.148,-13.158,-13.588,-14.769,-12.860400000000002
86,-10.959,-13.413,-14.741,-11.427,-8.958,-11.8996
88,-12.22,-10.679,-9.525,-9.835,-12.288,-10.9094
90,-11.33,-10.79,-10.093,-12.135,-10.833,-11.036199999999997
92,-11.673,-11.616,-10.859,-12.328,-12.278,-11.7508
94,-13.628,-10.486,-12.942,-11.018,-11.344,-11.8836
96,-9.826,-11.292,-10.302,-9.425,-11.551,-10.4792
98,-12.101,-9.905,-10.787,-9.856,-13.58,-11.2458
100,-11.949,-12.547,-10.187,-11.087,-14.675,-12.088999999999999
