train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,-10.475,-13.346,-13.998,-11.34,-11.219,-12.075599999999998
200,-12.148,-14.058,-11.38,-11.537,-9.159,-11.6564
300,-10.791,-11.695,-9.276,-13.038,-11.129,-11.185799999999999
400,-31.193,-13.13,-12.0,-10.636,-11.284,-15.648600000000002
500,-62.008,-15.918,-9.877,-13.459,-17.916,-23.8356
600,-10.996,-10.96,-15.594,-11.668,-15.379,-12.919400000000001
700,-9.707,-13.128,-13.999,-11.663,-10.732,-11.8458
800,-10.615,-13.762,-14.196,-13.061,-11.545,-12.6358
900,-11.914,-18.465,-11.22,-26.291,-11.059,-15.7898
1000,-9.55,-14.051,-13.824,-12.754,-7.915,-11.618799999999998
1100,-10.883,-13.401,-10.113,-14.897,-12.539,-12.3666
1200,-14.19,-13.582,-13.494,-12.928,-10.847,-13.008199999999999
1300,-14.736,-14.827,-13.888,-10.849,-11.172,-13.094399999999998
1400,-14.188,-13.314,-16.576,-12.741,-13.094,-13.9826
1500,-11.806,-10.049,-18.845,-26.753,-10.312,-15.553
1600,-9.509,-11.469,-11.839,-10.204,-8.907,-10.3856
1700,-12.978,-12.564,-14.144,-14.925,-15.034,-13.929000000000002
1800,-11.168,-12.714,-14.868,-28.291,-12.697,-15.9476
1900,-11.95,-12.059,-14.576,-13.938,-22.391,-14.982800000000001
2000,-11.764,-13.988,-14.333,-11.641,-10.433,-12.431799999999999
2100,-10.403,-16.68,-13.509,-32.345,-11.847,-16.956799999999998
2200,-11.048,-12.271,-13.026,-14.455,-11.592,-12.478399999999999
2300,-14.09,-11.302,-9.263,-7.78,-7.968,-10.0806
2400,-14.222,-13.481,-16.564,-13.969,-9.903,-13.627799999999999
2500,-10.214,-12.411,-15.033,-12.66,-10.66,-12.195599999999999
2600,-10.402,-14.698,-11.336,-11.769,-9.723,-11.5856
2700,-14.563,-15.528,-11.911,-10.303,-15.218,-13.504600000000002
2800,-12.147,-13.538,-21.82,-13.203,-11.506,-14.4428
2900,-12.592,-15.647,-11.146,-10.345,-9.333,-11.8126
3000,-11.628,-9.482,-11.553,-15.872,-8.873,-11.481599999999998
3100,-12.601,-12.92,-9.788,-12.285,-9.942,-11.5072
3200,-11.146,-11.607,-15.698,-11.987,-9.539,-11.9954
3300,-22.598,-13.564,-14.689,-12.05,-14.5,-15.4802
3400,-19.948,-11.156,-10.228,-17.78,-11.014,-14.025200000000002
3500,-12.44,-19.608,-13.156,-12.015,-10.451,-13.534
3600,-11.063,-10.525,-10.843,-11.072,-9.769,-10.654399999999999
3700,-16.86,-15.416,-21.081,-20.577,-11.422,-17.071199999999997
3800,-38.016,-15.478,-10.804,-10.263,-12.295,-17.3712
3900,-12.853,-12.95,-13.253,-10.334,-12.042,-12.2864
4000,-15.601,-13.677,-11.597,-13.536,-14.124,-13.706999999999999
4100,-15.645,-10.086,-12.08,-10.547,-10.409,-11.753400000000001
4200,-12.363,-13.77,-11.105,-9.818,-10.479,-11.507
4300,-11.693,-12.398,-10.736,-10.895,-11.516,-11.447599999999998
4400,-15.896,-14.694,-10.104,-15.222,-13.211,-13.825400000000002
4500,-12.644,-10.505,-12.367,-10.76,-13.614,-11.978
4600,-12.944,-19.143,-14.681,-10.295,-12.099,-13.832400000000002
4700,-13.18,-17.721,-18.377,-14.106,-11.41,-14.9588
4800,-17.067,-11.06,-9.952,-13.191,-10.56,-12.366000000000001
4900,-12.024,-8.288,-10.726,-11.0,-10.728,-10.5532
5000,-15.799,-9.499,-12.082,-11.583,-12.302,-12.253
