train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-22.71,-24.792,-17.857,-11.446,-23.277,-20.0164
400,-55.367,-10.272,-60.847,-11.348,-65.607,-40.6882
600,-43.9,-14.334,-61.762,-33.879,-11.883,-33.1516
800,-19.084,-10.105,-64.014,-10.55,-20.115,-24.7736
1000,-52.468,-20.135,-90.573,-26.297,-13.281,-40.550799999999995
1200,-8.815,-10.177,-11.372,-18.217,-24.291,-14.5744
1400,-46.281,-13.617,-68.831,-17.64,-30.099,-35.29359999999999
1600,-11.523,-14.826,-68.842,-15.673,-22.554,-26.683600000000002
1800,-14.567,-14.75,-68.695,-14.992,-17.318,-26.0644
2000,-8.284,-29.268,-60.828,-41.789,-18.289,-31.691599999999994
2200,-10.863,-12.758,-19.5,-66.23,-12.693,-24.4088
2400,-10.868,-11.999,-11.081,-82.801,-11.424,-25.6346
2600,-9.955,-12.189,-68.43,-66.653,-22.133,-35.87200000000001
2800,-10.292,-14.216,-61.462,-91.78,-13.246,-38.199200000000005
3000,-11.405,-14.694,-75.642,-59.361,-12.716,-34.763600000000004
3200,-10.367,-14.439,-55.075,-62.272,-12.309,-30.8924
3400,-12.471,-21.355,-83.817,-75.418,-15.068,-41.625800000000005
3600,-10.081,-15.453,-71.316,-47.123,-13.463,-31.487199999999994
3800,-11.972,-21.719,-57.904,-67.067,-21.665,-36.0654
4000,-23.435,-59.804,-19.37,-55.666,-12.772,-34.2094
4200,-10.016,-58.423,-50.438,-76.311,-13.98,-41.833600000000004
4400,-11.085,-62.173,-81.561,-58.556,-12.346,-45.1442
4600,-9.354,-64.779,-15.563,-30.013,-40.949,-32.131600000000006
4800,-12.304,-59.304,-13.926,-25.136,-23.633,-26.860599999999998
5000,-12.26,-65.909,-11.333,-60.54,-21.696,-34.3476
5200,-12.47,-62.313,-11.335,-36.95,-12.759,-27.165399999999998
5400,-11.631,-100.303,-15.667,-25.791,-10.976,-32.873599999999996
5600,-12.622,-106.882,-44.231,-40.864,-11.106,-43.141000000000005
5800,-14.401,-107.332,-26.077,-29.212,-11.651,-37.7346
6000,-13.664,-106.656,-82.428,-61.471,-10.94,-55.0318
6200,-20.319,-107.016,-84.601,-45.34,-13.025,-54.060199999999995
6400,-11.054,-107.344,-86.971,-65.39,-17.344,-57.6206
6600,-11.485,-105.955,-102.787,-42.894,-10.984,-54.82099999999999
6800,-11.638,-106.35,-94.242,-45.702,-16.258,-54.838
7000,-14.077,-108.573,-86.966,-57.917,-12.716,-56.049800000000005
7200,-15.104,-62.278,-90.314,-55.556,-16.626,-47.9756
7400,-13.832,-108.527,-88.77,-52.347,-14.717,-55.6386
7600,-10.397,-72.716,-71.563,-12.46,-29.623,-39.3518
7800,-12.619,-68.525,-83.909,-58.224,-13.033,-47.26199999999999
8000,-13.375,-105.782,-81.046,-41.07,-13.717,-50.998000000000005
8200,-12.862,-105.304,-74.919,-29.161,-13.742,-47.197599999999994
8400,-22.296,-61.731,-92.186,-24.636,-15.829,-43.33560000000001
8600,-13.081,-73.263,-97.871,-23.602,-17.107,-44.9848
8800,-13.559,-60.82,-101.733,-46.063,-16.741,-47.7832
9000,-11.956,-61.232,-80.453,-23.844,-15.447,-38.586400000000005
9200,-16.151,-60.274,-83.402,-29.964,-13.038,-40.5658
9400,-16.135,-62.067,-86.921,-54.232,-15.234,-46.9178
9600,-12.634,-99.093,-94.956,-32.861,-14.202,-50.749199999999995
9800,-12.303,-45.862,-105.143,-8.802,-11.081,-36.6382
10000,-12.937,-105.193,-100.395,-27.315,-15.639,-52.2958
