train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-11.505,-57.653,-61.451,-80.454,-56.717,-53.556
200,-9.482,-8.71,-12.326,-14.94,-9.295,-10.9506
400,-10.387,-90.167,-15.116,-12.563,-11.439,-27.9344
600,-9.866,-36.98,-13.091,-38.564,-14.109,-22.522
800,-11.86,-20.746,-11.28,-18.743,-13.035,-15.132799999999998
1000,-37.766,-19.573,-19.368,-38.534,-13.045,-25.657199999999996
1200,-13.716,-11.783,-16.166,-16.455,-25.318,-16.6876
1400,-12.652,-18.026,-11.893,-23.925,-14.588,-16.2168
1600,-12.792,-30.923,-17.808,-35.312,-15.099,-22.3868
1800,-12.289,-11.25,-11.77,-19.393,-15.378,-14.016
2000,-15.054,-25.642,-11.146,-38.24,-14.843,-20.985
2200,-13.3,-11.131,-13.819,-18.912,-17.23,-14.8784
2400,-10.919,-19.643,-13.346,-10.672,-15.054,-13.9268
2600,-13.618,-12.87,-15.206,-23.254,-15.748,-16.139200000000002
2800,-12.841,-11.485,-11.756,-14.614,-13.53,-12.8452
3000,-13.887,-12.403,-9.786,-16.236,-13.341,-13.130599999999998
3200,-13.731,-14.005,-14.993,-12.369,-12.512,-13.522
3400,-13.413,-12.972,-9.684,-13.857,-13.241,-12.633399999999998
3600,-13.852,-11.22,-12.133,-12.471,-14.071,-12.7494
3800,-13.678,-10.578,-15.386,-24.931,-13.856,-15.685799999999997
4000,-13.74,-12.117,-15.513,-16.388,-13.213,-14.194199999999999
4200,-13.374,-12.942,-15.075,-10.09,-13.929,-13.082000000000003
4400,-14.084,-13.678,-12.035,-13.908,-14.612,-13.6634
4600,-10.434,-14.11,-17.873,-25.814,-12.728,-16.191799999999997
4800,-13.026,-15.683,-16.075,-12.874,-16.125,-14.7566
5000,-13.221,-12.105,-19.627,-10.442,-16.016,-14.2822
5200,-11.469,-15.131,-13.197,-29.336,-20.345,-17.895599999999998
5400,-12.25,-13.937,-12.256,-9.212,-13.291,-12.1892
5600,-10.163,-16.499,-12.656,-12.585,-12.587,-12.898
5800,-10.125,-12.208,-14.174,-9.815,-12.102,-11.6848
6000,-12.487,-20.755,-9.815,-10.005,-13.859,-13.384199999999998
6200,-14.162,-14.571,-12.912,-10.83,-22.145,-14.924000000000001
6400,-10.976,-15.918,-11.961,-10.106,-12.485,-12.2892
6600,-10.848,-14.301,-13.298,-8.07,-14.59,-12.2214
6800,-10.266,-30.795,-11.684,-11.647,-11.743,-15.226999999999999
7000,-10.041,-16.754,-14.462,-11.666,-9.659,-12.5164
7200,-11.901,-13.484,-13.661,-12.476,-14.67,-13.238399999999999
7400,-8.965,-10.783,-11.998,-11.869,-10.51,-10.825
7600,-8.547,-12.098,-9.351,-9.78,-9.73,-9.9012
7800,-8.588,-10.942,-9.349,-12.613,-12.207,-10.7398
8000,-9.577,-11.94,-12.386,-10.963,-14.941,-11.961400000000001
8200,-8.395,-14.82,-14.982,-9.647,-10.322,-11.633199999999999
8400,-10.079,-10.68,-13.248,-12.833,-12.851,-11.938199999999998
8600,-8.857,-12.347,-13.646,-11.396,-10.775,-11.4042
8800,-9.61,-7.63,-10.848,-12.807,-15.652,-11.3094
9000,-8.186,-11.495,-12.209,-9.634,-19.987,-12.3022
9200,-8.406,-10.319,-15.774,-11.543,-14.99,-12.2064
9400,-11.587,-9.684,-11.106,-13.764,-22.112,-13.6506
9600,-9.64,-12.26,-17.321,-9.536,-12.593,-12.270000000000001
9800,-9.79,-22.441,-12.572,-12.353,-13.744,-14.180000000000001
