train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,-11.965,-12.236,-58.982,-11.692,-12.124,-21.3998
200,-11.249,-10.413,-16.238,-58.214,-10.805,-21.3838
300,-10.029,-9.764,-13.118,-10.819,-13.012,-11.348400000000002
400,-14.609,-11.638,-11.0,-12.003,-12.913,-12.432599999999999
500,-16.684,-9.644,-8.64,-11.388,-11.571,-11.5854
600,-67.922,-9.198,-11.719,-20.632,-11.919,-24.278
700,-16.623,-9.933,-9.03,-14.364,-13.983,-12.786600000000002
800,-15.055,-10.634,-11.095,-26.652,-11.725,-15.0322
900,-40.11,-9.324,-14.501,-11.181,-11.594,-17.342
1000,-15.294,-10.422,-11.981,-12.898,-13.23,-12.765
1100,-15.98,-9.623,-14.397,-11.836,-11.411,-12.6494
1200,-15.383,-10.054,-11.407,-14.487,-10.942,-12.4546
1300,-26.088,-8.28,-12.709,-9.787,-12.164,-13.805599999999998
1400,-18.292,-10.132,-12.993,-13.278,-11.575,-13.254
1500,-16.776,-9.95,-17.55,-11.268,-12.573,-13.623399999999998
1600,-16.266,-12.523,-9.793,-13.095,-9.849,-12.3052
1700,-17.442,-9.179,-12.092,-10.254,-10.503,-11.894
1800,-17.116,-11.33,-11.413,-11.081,-10.676,-12.3232
1900,-22.908,-8.559,-10.708,-13.268,-10.521,-13.1928
2000,-14.244,-11.419,-12.456,-11.078,-13.77,-12.593399999999999
2100,-16.671,-9.707,-24.018,-10.475,-11.288,-14.4318
2200,-15.608,-10.274,-12.362,-13.268,-11.476,-12.5976
2300,-13.387,-10.011,-12.859,-9.541,-12.808,-11.7212
2400,-14.867,-8.032,-10.597,-33.578,-12.532,-15.921200000000002
2500,-22.644,-9.542,-8.069,-11.613,-16.138,-13.6012
2600,-17.315,-9.417,-12.779,-12.423,-11.617,-12.7102
2700,-15.763,-14.336,-12.4,-8.719,-13.389,-12.9214
2800,-12.731,-11.988,-11.174,-14.476,-12.078,-12.4894
2900,-18.419,-8.552,-10.31,-10.618,-11.959,-11.9716
3000,-17.024,-10.568,-8.383,-11.684,-11.364,-11.804599999999999
3100,-14.862,-12.43,-10.305,-11.375,-9.963,-11.787
3200,-17.24,-12.283,-9.227,-9.122,-11.306,-11.8356
3300,-15.674,-8.63,-10.196,-10.005,-12.844,-11.469800000000001
3400,-19.596,-8.966,-9.849,-12.105,-16.089,-13.321000000000002
3500,-22.736,-11.414,-12.737,-12.769,-11.914,-14.313999999999998
3600,-15.402,-8.374,-15.225,-13.402,-10.102,-12.501
3700,-28.293,-17.249,-9.274,-12.717,-15.113,-16.5292
3800,-13.363,-7.266,-13.4,-11.03,-12.823,-11.5764
3900,-12.888,-12.94,-12.52,-14.77,-16.734,-13.970400000000001
4000,-24.511,-9.325,-7.794,-12.025,-13.354,-13.401799999999998
4100,-14.87,-9.721,-11.82,-11.617,-12.003,-12.006200000000002
4200,-12.228,-9.903,-12.444,-10.373,-10.98,-11.185599999999999
4300,-19.937,-11.9,-10.148,-12.514,-15.178,-13.935399999999998
4400,-21.316,-11.987,-10.534,-9.389,-15.343,-13.7138
4500,-18.102,-10.029,-12.637,-18.063,-13.296,-14.425400000000002
4600,-15.328,-13.01,-11.956,-15.191,-13.466,-13.790199999999999
4700,-10.436,-10.232,-12.246,-11.77,-9.39,-10.8148
4800,-11.197,-7.51,-9.544,-13.627,-12.372,-10.85
4900,-12.722,-12.734,-9.902,-10.238,-11.746,-11.468399999999999
5000,-13.433,-9.686,-10.063,-10.853,-10.573,-10.921600000000002
