train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-94.392,-106.873,-62.678,-56.759,-106.582,-85.4568
100,-57.706,-11.594,-62.234,-9.357,-12.655,-30.7092
200,-61.781,-9.822,-10.751,-62.05,-12.284,-31.3376
300,-13.042,-58.007,-11.887,-10.846,-57.005,-30.157400000000003
400,-10.755,-9.807,-62.141,-12.11,-12.885,-21.5396
500,-12.31,-9.11,-11.723,-9.595,-10.351,-10.617799999999999
600,-11.487,-13.555,-10.699,-12.102,-12.178,-12.0042
700,-11.625,-13.369,-11.692,-12.953,-15.292,-12.9862
800,-57.304,-12.245,-10.615,-11.766,-14.395,-21.265
900,-13.134,-12.552,-10.445,-10.895,-13.649,-12.135
1000,-14.229,-11.387,-11.749,-12.521,-11.006,-12.1784
1100,-11.943,-11.476,-13.71,-11.362,-11.386,-11.975400000000002
1200,-7.818,-11.912,-13.488,-14.313,-12.291,-11.964400000000001
1300,-13.939,-13.2,-14.324,-12.747,-9.605,-12.763
1400,-11.968,-13.959,-10.462,-12.865,-13.172,-12.4852
1500,-11.682,-13.907,-10.913,-12.121,-11.465,-12.017599999999998
1600,-9.803,-11.738,-11.976,-12.984,-13.818,-12.0638
1700,-11.339,-10.588,-12.248,-11.08,-11.136,-11.278199999999998
1800,-13.002,-11.83,-11.136,-10.716,-10.691,-11.475000000000001
1900,-12.531,-12.176,-12.916,-8.04,-17.171,-12.5668
2000,-14.244,-12.16,-11.636,-12.165,-12.401,-12.521199999999999
2100,-12.725,-10.426,-12.632,-11.938,-9.316,-11.4074
2200,-12.514,-14.128,-12.878,-13.336,-11.349,-12.841
2300,-11.171,-11.462,-11.027,-10.662,-9.129,-10.690199999999999
2400,-11.763,-12.026,-13.357,-11.723,-12.472,-12.2682
2500,-11.075,-10.835,-13.214,-12.799,-10.812,-11.747
2600,-12.564,-10.286,-10.393,-11.23,-14.052,-11.705
2700,-11.023,-9.913,-12.607,-9.898,-11.684,-11.025
2800,-12.082,-11.37,-10.901,-9.458,-12.948,-11.351799999999999
2900,-12.548,-11.002,-9.334,-11.457,-9.751,-10.8184
3000,-11.961,-10.74,-14.767,-14.353,-9.274,-12.219000000000001
3100,-8.019,-13.044,-13.012,-9.907,-7.139,-10.2242
3200,-12.95,-11.388,-13.458,-11.741,-11.484,-12.2042
3300,-15.332,-13.752,-10.916,-13.165,-13.134,-13.259800000000002
3400,-8.977,-12.597,-11.431,-8.202,-13.486,-10.9386
3500,-12.567,-9.914,-9.532,-13.078,-10.945,-11.207200000000002
3600,-9.728,-12.161,-13.117,-11.053,-12.788,-11.7694
3700,-13.444,-10.665,-11.395,-13.526,-12.573,-12.3206
3800,-12.09,-12.054,-12.438,-11.109,-11.693,-11.8768
3900,-11.493,-9.957,-14.267,-13.165,-10.876,-11.9516
4000,-9.665,-11.37,-12.635,-13.403,-11.999,-11.8144
4100,-10.745,-12.456,-9.688,-12.534,-11.086,-11.3018
4200,-14.407,-11.966,-11.06,-11.014,-13.185,-12.326400000000001
4300,-10.646,-10.674,-12.178,-11.437,-13.02,-11.591
4400,-9.675,-10.866,-10.764,-12.905,-13.685,-11.579
4500,-10.5,-11.378,-15.104,-10.637,-10.666,-11.657
4600,-12.967,-12.171,-13.402,-14.583,-14.081,-13.4408
4700,-9.59,-11.767,-12.321,-11.122,-11.327,-11.225399999999999
4800,-11.272,-13.558,-11.62,-12.471,-11.912,-12.166599999999999
4900,-12.502,-11.068,-11.996,-11.428,-10.877,-11.574200000000001
