train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-34.821,-14.72,-12.818,-43.684,-30.703,-27.349199999999996
400,-13.906,-25.855,-12.205,-60.21,-14.643,-25.3638
600,-12.867,-9.221,-13.108,-11.881,-9.33,-11.2814
800,-13.547,-34.669,-12.34,-11.94,-34.106,-21.3204
1000,-12.992,-12.029,-59.721,-62.138,-11.741,-31.724199999999996
1200,-28.508,-20.69,-62.016,-12.817,-12.735,-27.353200000000005
1400,-17.928,-22.556,-14.784,-42.889,-49.971,-29.625600000000002
1600,-11.918,-15.857,-13.539,-13.545,-41.596,-19.291
1800,-80.092,-10.75,-8.581,-11.849,-16.897,-25.6338
2000,-13.859,-10.498,-35.422,-10.867,-46.275,-23.3842
2200,-12.489,-61.23,-56.607,-13.733,-46.112,-38.0342
2400,-79.183,-9.399,-20.681,-26.04,-28.03,-32.6666
2600,-12.677,-47.756,-105.893,-28.927,-86.652,-56.38099999999999
2800,-62.426,-11.944,-12.529,-19.792,-101.436,-41.6254
3000,-71.416,-13.31,-66.437,-10.06,-107.955,-53.8356
3200,-73.005,-14.161,-13.999,-22.452,-64.221,-37.5676
3400,-50.95,-24.057,-40.938,-17.433,-70.516,-40.778800000000004
3600,-78.728,-22.453,-29.003,-17.162,-56.154,-40.7
3800,-72.183,-17.425,-15.37,-30.125,-80.53,-43.1266
4000,-11.915,-20.484,-16.943,-18.282,-110.053,-35.535399999999996
4200,-12.266,-29.93,-16.852,-13.963,-61.683,-26.938799999999997
4400,-60.083,-19.97,-11.792,-19.348,-73.395,-36.9176
4600,-83.796,-15.86,-74.951,-10.064,-30.77,-43.0882
4800,-61.837,-27.84,-45.27,-26.92,-60.533,-44.480000000000004
5000,-10.979,-20.873,-26.73,-12.455,-39.691,-22.1456
5200,-56.382,-23.682,-12.241,-30.36,-53.574,-35.2478
5400,-41.558,-11.658,-12.796,-20.833,-84.306,-34.2302
5600,-65.814,-15.244,-12.996,-22.233,-53.41,-33.9394
5800,-67.466,-17.356,-32.884,-33.805,-22.328,-34.7678
6000,-108.793,-87.469,-18.432,-56.779,-56.872,-65.66900000000001
6200,-59.109,-10.233,-32.663,-103.105,-59.751,-52.9722
6400,-93.477,-42.872,-104.433,-95.698,-59.786,-79.25319999999999
6600,-78.58,-13.588,-61.539,-94.173,-63.082,-62.1924
6800,-64.302,-20.235,-61.572,-105.715,-61.886,-62.742000000000004
7000,-12.487,-34.716,-26.824,-12.235,-59.393,-29.131
7200,-66.369,-69.799,-56.135,-8.472,-44.583,-49.071600000000004
7400,-42.083,-57.226,-107.572,-83.848,-51.789,-68.50359999999999
7600,-101.727,-54.101,-65.108,-102.125,-62.486,-77.10940000000001
7800,-79.446,-60.169,-85.152,-109.206,-62.132,-79.221
8000,-96.827,-104.571,-62.426,-102.275,-69.968,-87.21340000000001
8200,-85.273,-43.929,-61.927,-83.305,-15.762,-58.039199999999994
8400,-28.863,-69.022,-70.176,-47.761,-77.742,-58.7128
8600,-60.738,-50.176,-90.224,-104.454,-61.233,-73.365
8800,-61.329,-97.819,-76.789,-67.17,-10.43,-62.70740000000001
9000,-54.616,-53.243,-60.931,-99.125,-61.709,-65.9248
9200,-8.343,-66.756,-66.483,-68.436,-19.852,-45.974000000000004
9400,-15.802,-10.611,-22.896,-86.732,-104.492,-48.1066
9600,-17.581,-29.604,-57.878,-66.884,-106.066,-55.60260000000001
9800,-16.351,-34.123,-18.993,-92.46,-81.572,-48.699799999999996
10000,-79.993,-17.532,-56.935,-49.182,-108.121,-62.352599999999995
