time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,200.0,200.0,200.0,200.0,200.0,200.0
500,200.0,191.2,173.9,190.2,170.4,185.14
1000,179.2,137.4,155.7,176.5,155.6,160.88
1500,172.3,133.8,184.1,177.7,189.5,171.48000000000002
2000,159.4,156.8,144.2,172.5,171.4,160.86
2500,172.7,135.4,177.0,200.0,166.9,170.4
3000,167.1,186.9,189.4,181.4,193.7,183.7
3500,172.8,195.1,175.9,185.2,158.5,177.5
4000,185.2,194.2,192.0,179.2,174.8,185.07999999999998
4500,192.6,200.0,195.6,164.0,122.0,174.84
5000,169.0,180.8,191.0,193.0,177.5,182.26
5500,187.5,192.7,200.0,184.8,158.1,184.62
6000,175.2,197.0,192.8,187.2,183.5,187.14000000000001
6500,200.0,192.1,200.0,187.8,157.3,187.44
7000,200.0,182.9,200.0,194.9,200.0,195.56
7500,200.0,200.0,200.0,198.6,200.0,199.72
8000,200.0,200.0,200.0,197.3,200.0,199.45999999999998
8500,200.0,200.0,200.0,158.6,200.0,191.72
9000,200.0,200.0,200.0,167.0,200.0,193.4
9500,200.0,9.6,200.0,187.0,200.0,159.32
