time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,19.5,9.7,23.6,9.1,10.7,14.52
500,9.3,8.7,9.5,9.3,9.8,9.319999999999999
1000,47.7,51.8,65.6,51.4,9.4,45.18
1500,31.0,38.5,27.0,27.1,49.0,34.519999999999996
2000,32.5,106.3,137.9,91.4,29.3,79.48
2500,63.7,94.7,186.9,107.8,64.1,103.44000000000001
3000,57.4,92.3,172.5,149.7,63.5,107.08
3500,140.0,144.1,166.0,158.7,162.2,154.2
4000,66.5,150.8,173.6,175.2,97.6,132.73999999999998
4500,200.0,155.2,153.5,196.6,131.1,167.28
5000,200.0,166.4,160.4,198.2,200.0,185.0
5500,196.3,192.0,166.2,181.1,161.7,179.45999999999998
6000,200.0,177.7,177.5,200.0,200.0,191.04000000000002
6500,200.0,191.5,190.5,200.0,200.0,196.4
7000,200.0,184.6,164.2,200.0,200.0,189.76
7500,200.0,178.8,144.0,200.0,200.0,184.56
8000,200.0,173.4,137.0,200.0,199.1,181.9
8500,200.0,189.4,163.5,200.0,199.4,190.45999999999998
9000,200.0,195.9,192.0,200.0,196.9,196.95999999999998
9500,200.0,194.1,200.0,200.0,173.3,193.48000000000002
10000,195.8,192.3,200.0,200.0,195.7,196.76
10500,196.2,192.2,200.0,200.0,200.0,197.68
11000,195.1,193.2,200.0,200.0,189.8,195.61999999999998
11500,188.8,188.8,200.0,199.4,199.6,195.32
12000,200.0,185.2,200.0,199.7,198.1,196.60000000000002
12500,200.0,178.2,200.0,199.1,195.4,194.54000000000002
13000,197.2,198.2,200.0,198.9,175.4,193.94
13500,183.0,200.0,200.0,200.0,162.4,189.07999999999998
14000,178.6,200.0,200.0,200.0,173.4,190.4
14500,171.5,200.0,200.0,199.7,190.7,192.38000000000002
15000,174.0,200.0,200.0,200.0,161.2,187.04000000000002
15500,184.6,200.0,200.0,200.0,172.5,191.42000000000002
16000,200.0,200.0,200.0,200.0,169.1,193.82
16500,193.1,200.0,200.0,200.0,189.8,196.58
17000,194.1,200.0,200.0,192.9,179.6,193.32
17500,200.0,200.0,200.0,200.0,200.0,200.0
18000,200.0,200.0,200.0,183.2,200.0,196.64000000000001
18500,194.7,200.0,200.0,200.0,200.0,198.94
19000,200.0,200.0,200.0,200.0,188.4,197.68
19500,174.5,200.0,200.0,200.0,200.0,194.9
