train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,9.7,8.8,9.6,9.4,9.5,9.4
200,9.2,9.3,9.3,9.3,9.1,9.24
300,9.2,12.1,32.1,9.7,9.1,14.439999999999998
400,18.1,19.4,93.9,27.5,20.9,35.96
500,50.1,23.4,17.0,24.0,39.5,30.8
600,46.0,48.7,35.1,58.1,108.4,59.260000000000005
700,72.5,137.9,53.5,54.1,104.1,84.42
800,57.3,21.1,102.2,186.9,26.5,78.8
900,32.4,31.5,60.1,187.7,105.7,83.47999999999999
1000,70.6,177.6,130.5,135.9,179.7,138.85999999999999
1100,68.0,165.1,171.8,127.3,174.1,141.26
1200,88.4,67.5,151.8,171.4,53.0,106.42
1300,148.5,39.9,172.4,180.1,124.4,133.06
1400,156.5,81.1,179.1,175.8,198.9,158.28
1500,176.2,115.7,129.3,115.6,125.1,132.38
1600,191.4,89.0,118.8,163.5,188.5,150.24
1700,166.4,109.9,135.5,128.5,200.0,148.06
1800,197.1,154.1,102.0,189.8,198.8,168.35999999999999
1900,138.1,141.6,130.9,169.9,200.0,156.1
2000,174.6,185.2,117.0,198.0,200.0,174.95999999999998
2100,120.5,106.4,200.0,200.0,200.0,165.38
2200,172.9,123.8,193.3,148.4,200.0,167.68
2300,176.4,110.4,189.3,178.9,200.0,171.0
2400,163.2,85.1,167.3,176.8,199.8,158.44
2500,186.1,174.0,111.7,194.5,200.0,173.26
2600,153.9,145.8,175.4,183.7,200.0,171.76
2700,154.2,153.0,140.2,190.7,200.0,167.61999999999998
2800,150.9,98.4,174.0,198.1,200.0,164.28
2900,188.6,93.2,167.5,183.9,200.0,166.64000000000001
3000,193.9,129.5,150.7,173.2,194.4,168.33999999999997
3100,171.9,165.2,181.6,151.5,200.0,174.04000000000002
3200,173.8,165.2,174.4,173.4,200.0,177.35999999999999
3300,200.0,200.0,200.0,156.8,200.0,191.35999999999999
3400,199.9,200.0,186.2,159.7,200.0,189.16
3500,195.1,199.8,194.3,177.3,200.0,193.3
3600,200.0,200.0,196.2,159.0,200.0,191.04000000000002
3700,200.0,200.0,185.9,156.3,200.0,188.44
3800,200.0,200.0,200.0,171.2,200.0,194.24
3900,200.0,200.0,195.0,171.1,200.0,193.22
4000,197.8,200.0,196.8,163.5,199.5,191.52
4100,199.1,200.0,152.4,160.0,199.1,182.12
4200,200.0,200.0,192.9,184.1,200.0,195.4
4300,192.3,200.0,200.0,176.1,200.0,193.68
4400,189.8,200.0,195.7,158.6,200.0,188.82
4500,195.8,200.0,200.0,166.0,200.0,192.35999999999999
4600,200.0,174.7,187.4,182.7,200.0,188.95999999999998
4700,186.3,200.0,186.2,172.7,200.0,189.04000000000002
4800,189.4,200.0,200.0,179.8,198.6,193.56
4900,184.1,200.0,197.9,180.7,200.0,192.54000000000002
5000,186.1,200.0,199.7,183.7,200.0,193.9
