train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,9.1,9.2,9.0,9.5,9.6,9.28
200,9.4,9.0,9.5,9.4,9.6,9.379999999999999
300,9.7,9.4,9.1,9.4,9.1,9.34
400,9.4,9.2,9.4,9.8,9.0,9.36
500,9.1,9.2,8.9,9.4,9.3,9.179999999999998
600,9.3,9.0,9.3,9.6,9.3,9.3
700,9.0,9.6,9.4,9.2,9.7,9.38
800,9.4,9.4,9.4,9.1,9.5,9.360000000000001
900,9.6,9.1,9.3,9.3,9.7,9.4
1000,9.8,9.4,9.2,9.8,9.8,9.6
1100,9.8,9.3,9.6,9.1,8.9,9.34
1200,9.0,9.1,9.3,9.0,9.4,9.16
1300,9.5,9.3,9.3,8.8,9.2,9.220000000000002
1400,9.8,9.2,8.9,9.1,9.1,9.22
1500,9.3,9.3,9.0,9.5,9.3,9.280000000000001
1600,8.9,9.4,9.5,9.1,9.5,9.28
1700,9.2,9.2,8.9,9.1,9.3,9.14
1800,9.5,9.3,8.8,9.2,9.2,9.2
1900,9.6,9.3,9.3,9.3,9.5,9.4
2000,9.6,9.6,9.3,9.3,9.4,9.44
2100,9.4,9.0,9.8,9.3,9.3,9.36
2200,9.3,9.3,9.4,8.8,9.1,9.18
2300,9.2,9.5,9.3,9.2,9.5,9.34
2400,9.2,9.3,9.4,9.5,9.5,9.379999999999999
2500,9.2,9.5,9.4,9.5,9.5,9.42
2600,9.6,9.7,9.4,9.5,9.1,9.459999999999999
2700,8.8,9.2,9.1,9.1,9.4,9.120000000000001
2800,9.4,9.2,9.2,9.5,9.6,9.379999999999999
2900,9.2,9.9,9.1,9.0,9.1,9.260000000000002
3000,9.5,9.6,9.5,9.3,8.8,9.34
3100,9.3,9.6,9.3,9.1,9.2,9.3
3200,9.5,9.6,9.7,9.5,9.2,9.5
3300,9.1,9.3,9.3,8.8,9.4,9.18
3400,9.3,9.2,9.9,9.4,9.0,9.36
3500,9.6,9.3,9.3,9.1,9.3,9.319999999999999
3600,9.2,9.5,9.6,9.4,9.5,9.44
3700,9.5,9.5,9.4,9.1,9.7,9.440000000000001
3800,9.1,9.2,9.7,9.2,8.9,9.219999999999999
3900,9.5,9.3,9.2,9.7,9.3,9.4
4000,9.8,9.4,9.2,9.7,9.2,9.459999999999999
4100,9.2,9.5,9.4,9.4,9.0,9.3
4200,9.4,9.6,9.4,8.9,9.8,9.419999999999998
4300,9.4,9.4,9.8,9.5,9.6,9.540000000000001
4400,9.5,8.9,9.3,9.3,9.4,9.28
4500,9.0,9.4,9.2,9.5,9.3,9.279999999999998
4600,9.3,9.4,9.5,9.3,9.5,9.4
4700,9.7,9.5,9.1,9.3,9.3,9.379999999999999
4800,9.6,9.9,9.4,9.5,9.4,9.559999999999999
4900,8.9,9.4,9.1,9.1,9.5,9.2
5000,9.2,9.6,9.7,9.2,9.3,9.4
