train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,10.0,8.7,8.9,9.8,27.7,13.020000000000001
4,14.8,9.1,9.5,17.0,39.7,18.02
6,14.2,8.9,9.3,20.1,29.2,16.34
8,10.3,8.9,9.3,29.9,27.3,17.14
10,9.6,9.0,9.3,23.2,23.6,14.940000000000001
12,8.9,8.9,9.3,15.2,45.0,17.46
14,9.6,8.7,9.2,17.3,15.6,12.08
16,9.0,8.8,9.4,12.5,9.1,9.760000000000002
18,9.4,8.8,9.4,13.1,9.2,9.98
20,9.5,8.9,9.2,16.3,9.5,10.68
22,9.4,9.5,9.3,9.4,9.4,9.4
24,9.2,9.0,9.5,9.5,9.1,9.260000000000002
26,8.8,10.6,9.4,9.2,9.1,9.42
28,9.8,10.7,9.2,9.5,9.3,9.7
30,9.1,9.6,9.6,9.1,9.3,9.34
32,8.9,9.6,9.6,9.1,9.3,9.3
34,9.4,9.6,8.8,9.5,9.7,9.4
36,9.3,9.2,8.8,9.1,9.6,9.2
38,9.1,10.1,9.6,9.5,9.4,9.54
40,9.2,9.9,9.4,9.5,9.3,9.459999999999999
42,9.2,9.2,9.7,9.1,9.2,9.279999999999998
44,8.8,9.2,9.2,9.5,9.3,9.2
46,9.3,9.2,9.6,9.3,9.4,9.360000000000001
48,9.1,8.9,9.5,9.1,9.2,9.16
50,9.1,9.2,9.2,9.2,9.2,9.179999999999998
52,9.2,9.4,9.0,9.6,9.4,9.32
54,9.3,9.0,9.5,9.2,9.4,9.28
56,9.7,9.4,9.4,9.3,9.3,9.419999999999998
58,9.1,9.6,9.5,9.1,9.9,9.44
60,9.0,9.1,9.7,9.2,9.3,9.26
62,9.2,9.8,9.4,9.9,9.2,9.5
64,9.3,9.8,9.4,10.9,9.8,9.84
66,9.2,9.7,9.8,11.1,9.6,9.879999999999999
68,9.1,9.1,9.1,11.7,9.2,9.64
70,9.3,9.5,9.5,12.6,9.3,10.040000000000001
72,9.3,9.8,9.6,11.7,9.4,9.96
74,9.1,10.0,9.3,11.8,9.6,9.96
76,9.6,10.2,9.2,12.9,9.2,10.219999999999999
78,9.2,10.5,9.0,12.3,9.3,10.059999999999999
80,9.1,9.7,9.3,10.9,9.2,9.64
82,9.7,10.6,9.4,10.2,9.2,9.819999999999999
84,9.4,10.8,9.8,10.4,9.4,9.96
86,9.8,11.1,10.0,9.8,9.1,9.96
88,9.0,10.2,9.8,9.3,9.6,9.58
90,9.4,11.0,10.6,8.8,9.0,9.76
92,10.6,12.3,10.6,9.0,9.8,10.459999999999999
94,10.0,11.2,10.6,9.5,11.0,10.459999999999999
96,11.8,12.6,11.2,9.3,11.3,11.239999999999998
98,10.8,11.9,10.7,9.8,10.9,10.82
100,10.7,12.1,11.1,9.9,11.6,11.08
