train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,9.5,9.2,95.7,9.2,34.5,31.620000000000005
4,10.3,9.0,38.1,9.1,9.5,15.2
6,10.2,9.3,9.3,10.5,9.1,9.68
8,9.8,9.4,9.1,12.1,9.6,10.000000000000002
10,9.3,9.3,9.5,25.5,9.0,12.52
12,9.5,9.5,10.2,32.2,9.5,14.180000000000001
14,9.4,9.1,9.1,26.7,9.2,12.7
16,9.6,9.4,12.5,27.1,9.5,13.62
18,9.1,9.2,11.0,26.4,9.6,13.059999999999999
20,9.1,9.7,10.3,33.6,9.4,14.420000000000002
22,9.4,9.6,55.8,36.2,9.3,24.06
24,9.4,9.6,55.0,39.0,9.2,24.44
26,9.1,9.6,62.9,36.1,8.9,25.32
28,9.4,9.1,60.1,43.2,9.4,26.24
30,9.2,14.2,54.1,50.4,9.8,27.540000000000003
32,9.1,40.3,72.0,41.2,9.2,34.36
34,9.6,45.1,112.5,37.9,9.1,42.839999999999996
36,9.1,34.6,113.7,56.1,9.0,44.5
38,9.4,23.8,95.4,62.5,9.3,40.080000000000005
40,9.5,30.8,85.0,78.7,9.0,42.6
42,9.0,53.9,123.7,99.8,9.3,59.14
44,72.7,63.2,109.1,100.8,9.5,71.06
46,73.7,73.2,89.1,71.1,30.0,67.42
48,124.1,60.6,104.2,99.9,83.9,94.53999999999999
50,85.5,116.3,133.7,92.5,125.0,110.6
52,68.8,83.8,127.6,84.9,151.7,103.35999999999999
54,75.2,91.9,118.7,91.0,116.8,98.72
56,81.1,109.3,118.4,82.2,128.0,103.8
58,71.3,121.1,131.2,98.4,127.5,109.9
60,93.0,118.2,123.0,91.1,152.3,115.51999999999998
62,114.8,100.6,131.6,110.7,127.2,116.97999999999999
64,104.0,97.8,143.4,95.2,116.8,111.44000000000001
66,156.5,90.3,140.2,99.8,65.9,110.54
68,127.5,77.8,138.3,94.7,68.4,101.34
70,172.1,80.6,133.3,81.0,76.3,108.66
72,122.0,69.5,136.7,73.9,47.8,89.98
74,114.1,89.9,136.2,90.6,59.8,98.11999999999999
76,107.6,120.4,106.8,74.3,82.2,98.26
78,96.3,70.3,125.2,94.2,142.9,105.78
80,180.5,58.4,116.3,75.7,158.2,117.81999999999998
82,200.0,62.2,80.5,70.2,128.1,108.2
84,186.3,36.7,93.1,64.0,139.9,104.0
86,130.1,47.9,88.6,73.6,138.0,95.64000000000001
88,133.4,26.6,80.3,109.3,135.8,97.08000000000001
90,113.6,33.8,82.8,119.0,150.5,99.94
92,142.0,21.0,84.5,112.7,137.0,99.44
94,172.2,26.8,74.6,85.4,171.4,106.08
96,177.4,32.0,73.8,67.0,102.6,90.55999999999999
98,170.6,22.4,82.9,41.3,78.9,79.22
100,178.2,30.0,84.5,45.7,69.7,81.61999999999999
