train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
2,10.2,9.7,9.8,186.5,9.3,45.1
4,9.6,9.2,9.4,133.6,19.5,36.26
6,10.5,9.1,9.8,9.6,8.9,9.58
8,13.8,9.3,9.7,8.9,9.5,10.239999999999998
10,12.8,9.6,9.7,9.5,9.9,10.299999999999999
12,16.3,9.5,9.7,8.8,9.4,10.739999999999998
14,20.9,8.9,9.7,9.7,9.6,11.760000000000002
16,26.8,9.2,9.5,9.5,8.9,12.78
18,28.9,9.2,9.5,9.0,9.4,13.2
20,29.4,9.5,9.5,9.3,9.2,13.38
22,32.4,9.5,9.2,9.1,9.5,13.939999999999998
24,60.1,9.5,9.1,9.8,9.4,19.58
26,67.2,9.6,9.6,9.8,9.0,21.04
28,86.9,9.3,9.6,22.0,9.5,27.46
30,96.5,9.3,9.6,9.7,9.3,26.880000000000003
32,76.5,9.3,9.6,9.5,13.3,23.639999999999997
34,70.6,11.6,9.7,9.6,9.5,22.199999999999996
36,73.5,21.3,9.3,9.5,13.8,25.479999999999997
38,71.0,44.0,9.4,9.7,11.3,29.080000000000002
40,86.1,67.7,9.2,8.9,36.3,41.64
42,83.1,53.2,9.2,13.7,76.4,47.12
44,98.0,52.1,57.7,57.2,53.6,63.720000000000006
46,74.6,64.6,106.7,76.6,63.3,77.16
48,76.5,104.2,110.7,107.2,55.7,90.85999999999999
50,69.5,110.5,116.6,108.4,70.2,95.03999999999999
52,80.5,150.4,150.9,141.0,62.0,116.96
54,71.0,109.0,112.3,168.6,72.9,106.75999999999999
56,76.2,72.5,125.3,197.3,84.4,111.14000000000001
58,78.3,103.2,140.6,186.0,65.0,114.62
60,76.1,109.3,136.0,158.9,68.8,109.81999999999998
62,54.9,114.2,102.9,153.2,79.6,100.96
64,52.1,129.0,121.1,177.4,66.9,109.3
66,48.8,80.8,92.3,200.0,76.3,99.64
68,59.5,144.6,77.0,185.5,80.6,109.44000000000001
70,53.1,100.6,106.0,138.6,92.1,98.08
72,72.8,126.5,124.2,136.3,105.6,113.08
74,60.2,129.3,118.1,115.5,128.0,110.22
76,65.4,136.8,75.3,108.0,143.0,105.7
78,67.1,121.9,112.5,95.5,128.3,105.05999999999999
80,52.4,95.0,85.4,128.6,173.8,107.04
82,61.4,68.2,93.4,128.3,134.4,97.14000000000001
84,66.2,75.6,101.4,115.0,147.5,101.14000000000001
86,66.0,122.4,143.5,125.5,116.0,114.67999999999999
88,67.5,99.9,112.0,109.7,89.1,95.63999999999999
90,58.1,95.2,109.6,103.1,78.3,88.86
92,50.6,110.5,112.6,111.4,64.8,89.98
94,51.5,116.6,157.7,111.8,36.6,94.84
96,58.3,111.0,100.3,126.8,43.5,87.98
98,54.5,88.8,89.8,110.6,63.2,81.38000000000001
100,60.0,151.0,94.0,111.4,85.6,100.4
