train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,74.6,33.0,99.1,77.8,44.4,65.78
200,39.8,40.1,101.8,166.7,44.5,78.58
300,31.7,48.8,132.8,189.3,35.1,87.54
400,27.9,114.6,133.1,159.1,78.7,102.68000000000002
500,122.0,83.8,200.0,32.9,168.3,121.4
600,200.0,194.2,22.3,105.1,89.5,122.22
700,77.3,118.4,200.0,190.4,163.4,149.9
800,200.0,175.4,200.0,200.0,186.9,192.45999999999998
900,163.0,140.8,200.0,182.4,120.1,161.26000000000002
1000,200.0,159.8,161.6,200.0,148.6,174.0
1100,160.1,164.2,142.6,192.9,175.2,167.0
1200,170.0,159.1,190.9,196.3,178.8,179.01999999999998
1300,182.8,130.3,160.5,190.7,162.1,165.28
1400,194.7,146.7,191.7,190.9,167.1,178.21999999999997
1500,200.0,132.7,182.3,192.9,140.5,169.68
1600,136.1,128.4,198.6,192.1,161.2,163.28000000000003
1700,173.6,100.3,186.6,200.0,128.4,157.78
1800,200.0,115.6,126.9,161.0,139.4,148.57999999999998
1900,154.5,144.3,200.0,194.7,98.3,158.35999999999999
2000,167.1,154.4,199.5,200.0,194.9,183.18
2100,143.9,143.3,197.1,200.0,139.9,164.84
2200,153.3,139.0,144.1,200.0,153.1,157.9
2300,198.7,115.2,200.0,176.0,121.0,162.18
2400,187.9,117.2,199.5,197.3,148.7,170.12000000000003
2500,104.0,145.7,200.0,163.8,123.9,147.48
2600,176.1,112.0,197.6,194.5,121.8,160.4
2700,179.0,83.8,190.3,171.2,183.5,161.56
2800,133.5,77.4,197.6,199.5,142.4,150.07999999999998
2900,153.3,76.2,200.0,154.2,163.4,149.42000000000002
3000,150.2,114.8,173.0,200.0,141.2,155.84
3100,123.8,50.0,200.0,200.0,114.2,137.6
3200,190.1,110.7,200.0,183.5,149.9,166.83999999999997
3300,169.1,151.7,200.0,200.0,172.6,178.68
3400,136.3,147.5,200.0,200.0,115.7,159.9
3500,143.3,154.9,200.0,200.0,125.7,164.78000000000003
3600,197.1,123.6,200.0,156.5,115.7,158.58
3700,139.6,150.9,200.0,191.7,138.8,164.2
3800,131.6,132.9,140.6,193.7,118.6,143.48
3900,134.0,105.4,200.0,194.8,148.0,156.44
4000,163.9,120.1,200.0,200.0,188.6,174.52
4100,139.0,107.4,200.0,193.0,116.8,151.23999999999998
4200,115.9,109.2,196.1,197.4,170.3,157.78000000000003
4300,191.4,109.0,200.0,200.0,160.3,172.14000000000001
4400,89.0,84.0,200.0,196.3,113.1,136.48
4500,132.6,125.7,200.0,200.0,157.0,163.06
4600,99.8,94.1,200.0,195.2,105.3,138.87999999999997
4700,111.4,121.4,200.0,200.0,127.7,152.1
4800,96.2,97.4,187.1,200.0,132.2,142.58
4900,103.6,134.4,198.2,191.9,132.1,152.04000000000002
5000,196.3,95.5,200.0,167.0,163.3,164.42
