train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
100,81.0,155.0,93.3,27.4,119.6,95.25999999999999
200,76.8,38.3,143.5,92.4,124.4,95.08
300,124.6,78.4,149.3,101.5,74.1,105.58
400,200.0,102.6,63.4,40.7,44.4,90.22
500,135.2,76.7,195.0,8.9,177.0,118.55999999999999
600,72.5,88.4,66.1,200.0,196.0,124.6
700,200.0,101.8,175.9,200.0,152.6,166.06
800,200.0,102.8,122.8,200.0,175.0,160.12
900,198.2,191.6,182.3,193.8,77.2,168.61999999999998
1000,92.1,194.9,129.8,188.0,134.8,147.92
1100,92.9,169.9,200.0,183.0,125.5,154.26
1200,193.7,200.0,196.9,190.2,195.0,195.16
1300,173.3,195.7,200.0,125.7,167.0,172.34
1400,191.2,192.8,200.0,165.9,199.8,189.94
1500,192.3,192.5,200.0,189.4,186.8,192.2
1600,192.7,200.0,182.8,192.8,200.0,193.66
1700,196.7,200.0,166.6,188.8,193.9,189.2
1800,166.2,193.5,174.6,173.4,194.6,180.45999999999998
1900,188.3,182.8,200.0,176.3,196.5,188.78000000000003
2000,164.2,195.3,195.0,167.6,200.0,184.42000000000002
2100,159.5,199.4,194.4,188.8,195.5,187.51999999999998
2200,197.2,190.1,200.0,176.0,200.0,192.66
2300,194.6,200.0,200.0,140.3,169.3,180.84
2400,156.5,195.0,200.0,145.7,200.0,179.44
2500,170.7,200.0,200.0,161.1,199.7,186.3
2600,185.0,186.4,200.0,176.2,200.0,189.51999999999998
2700,165.1,191.5,199.3,150.7,200.0,181.32000000000002
2800,185.5,198.8,200.0,95.6,152.7,166.51999999999998
2900,171.6,199.9,92.8,81.0,164.5,141.95999999999998
3000,156.1,146.3,197.6,65.7,155.6,144.26000000000002
3100,190.4,200.0,200.0,113.8,171.1,175.06
3200,171.5,144.6,185.9,115.4,191.1,161.7
3300,161.4,200.0,99.4,105.8,191.9,151.7
3400,180.4,194.8,200.0,81.7,200.0,171.38000000000002
3500,162.6,173.8,200.0,104.1,200.0,168.1
3600,187.4,192.5,200.0,99.6,200.0,175.9
3700,161.2,195.9,187.3,155.3,200.0,179.94
3800,186.4,177.1,200.0,119.8,200.0,176.66
3900,165.9,185.5,200.0,137.6,97.9,157.38
4000,153.6,188.9,200.0,158.1,200.0,180.12
4100,156.9,132.0,200.0,106.1,88.3,136.66
4200,181.3,165.5,200.0,147.8,200.0,178.92
4300,139.0,148.1,200.0,163.9,179.0,166.0
4400,126.2,143.7,200.0,74.9,194.9,147.94
4500,122.4,160.8,200.0,164.5,199.0,169.34
4600,146.1,193.5,199.8,102.8,200.0,168.44
4700,148.9,180.1,200.0,140.4,200.0,173.88
4800,143.3,164.2,200.0,145.8,200.0,170.66
4900,194.6,167.3,200.0,164.8,198.2,184.98000000000002
5000,141.7,175.4,200.0,128.0,177.8,164.58
