train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-363.81,-252.801,-511.739,-460.284,-194.464,-356.6196
400,-365.26,-264.831,-246.777,-474.271,-206.832,-311.5942
600,-392.322,-414.501,-248.499,-465.134,-191.053,-342.3018
800,-417.994,-463.571,-140.174,-476.017,-124.123,-324.3758
1000,-558.376,-484.664,-147.403,-452.37,-156.929,-359.94840000000005
1200,-390.244,-464.602,-156.519,-472.096,-147.253,-326.14279999999997
1400,-359.617,-465.496,-95.675,-479.905,-153.461,-310.8308
1600,-389.671,-514.454,-139.36,-491.594,-149.813,-336.9784000000001
1800,-387.907,-496.523,-170.421,-478.732,-161.241,-338.9648
2000,-356.058,-550.57,-113.646,-470.89,-111.483,-320.5294
2200,-372.573,-465.427,-119.432,-506.272,-157.456,-324.23199999999997
2400,-365.167,-525.19,-126.892,-494.576,-135.57,-329.479
2600,-366.864,-481.333,-151.712,-467.118,-100.839,-313.5732
2800,-370.834,-509.638,-77.413,-485.164,-130.688,-314.7474
3000,-360.092,-441.417,-135.578,-470.752,-148.301,-311.22799999999995
3200,-369.513,-451.55,-203.114,-466.471,-116.902,-321.51
3400,-368.025,-437.518,-136.165,-465.473,-110.937,-303.62359999999995
3600,-359.499,-417.697,-103.142,-473.043,-122.878,-295.25179999999995
3800,-387.582,-420.507,-148.327,-499.751,-174.083,-326.05
4000,-362.786,-434.29,-141.263,-491.164,-126.105,-311.12160000000006
4200,-373.957,-424.44,-125.391,-472.345,-99.788,-299.1842
4400,-368.695,-429.341,-108.035,-143.519,-132.589,-236.43580000000003
4600,-365.78,-426.757,-115.262,-145.305,-127.166,-236.054
4800,-126.869,-404.54,-151.467,-80.851,-157.446,-184.2346
5000,-133.848,-425.143,-139.241,-180.973,-131.769,-202.1948
5200,-139.582,-424.666,-158.432,-124.971,-183.007,-206.13160000000002
5400,-173.047,-417.393,-181.021,-152.691,-170.878,-219.006
5600,-168.765,-419.137,-158.162,-145.785,-139.799,-206.32960000000003
5800,-135.886,-405.067,-162.428,-162.796,-120.678,-197.37099999999998
6000,-172.657,-418.575,-143.965,-145.122,-146.933,-205.4504
6200,-124.992,-410.179,-160.326,-84.041,-111.283,-178.1642
6400,-154.067,-369.056,-178.892,-89.535,-102.884,-178.88680000000002
6600,-162.551,-208.1,-158.137,-197.987,-200.627,-185.4804
6800,-200.99,-143.095,-195.368,-115.277,-90.738,-149.0936
7000,-148.718,-177.579,-177.735,-147.201,-154.721,-161.19080000000002
7200,-118.546,-145.463,-159.946,-189.76,-136.048,-149.95260000000002
7400,-148.819,-106.366,-126.248,-168.847,-171.571,-144.3702
7600,-159.388,-162.273,-148.795,-120.842,-122.206,-142.70080000000002
7800,-157.572,-157.867,-182.825,-115.17,-143.348,-151.35639999999998
8000,-131.851,-118.131,-83.059,-157.896,-146.913,-127.57000000000001
8200,-119.807,-162.771,-110.234,-155.303,-122.435,-134.10999999999999
8400,-113.124,-146.782,-124.524,-164.855,-131.039,-136.0648
8600,-173.156,-125.495,-173.276,-156.015,-97.062,-145.0008
8800,-144.69,-156.599,-125.741,-141.258,-103.336,-134.3248
9000,-147.41,-136.891,-160.575,-192.379,-166.135,-160.678
9200,-155.697,-117.634,-103.391,-139.031,-181.292,-139.40900000000002
9400,-114.075,-109.975,-158.961,-157.553,-202.303,-148.57340000000002
9600,-129.045,-150.324,-63.331,-195.215,-155.611,-138.70520000000002
9800,-110.283,-180.762,-120.976,-105.354,-156.705,-134.816
10000,-137.694,-150.181,-136.673,-126.275,-181.485,-146.4616
