train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-330.945,-365.839,-381.031,-346.462,-346.503,-354.156
400,-344.005,-371.967,-329.219,-314.638,-381.961,-348.358
600,-311.173,-355.76,-349.088,-373.235,-298.501,-337.55139999999994
800,-344.973,-319.538,-344.27,-332.893,-343.559,-337.0466
1000,-293.563,-318.255,-261.081,-315.558,-322.557,-302.20279999999997
1200,-343.606,-343.109,-343.737,-354.949,-337.128,-344.5058
1400,-322.761,-318.162,-332.013,-331.546,-334.695,-327.8354
1600,-294.337,-285.636,-301.654,-366.187,-280.059,-305.5746
1800,-377.105,-304.805,-318.415,-290.563,-344.55,-327.08759999999995
2000,-331.932,-342.482,-268.402,-341.329,-272.433,-311.3156
2200,-290.593,-300.323,-250.037,-305.976,-298.23,-289.03180000000003
2400,-330.681,-282.709,-293.002,-257.111,-244.448,-281.59020000000004
2600,-327.173,-296.16,-227.337,-280.116,-325.369,-291.23100000000005
2800,-341.63,-346.247,-288.88,-271.772,-288.595,-307.4248
3000,-307.447,-312.813,-243.513,-306.298,-269.104,-287.835
3200,-319.348,-279.658,-213.096,-283.603,-230.771,-265.2952
3400,-373.548,-329.464,-221.46,-262.979,-244.727,-286.4356
3600,-314.28,-274.851,-185.516,-267.542,-260.583,-260.5544
3800,-325.794,-260.869,-185.511,-296.49,-229.641,-259.661
4000,-282.171,-265.787,-163.72,-205.548,-238.399,-231.125
4200,-331.832,-266.31,-198.567,-221.436,-202.718,-244.17260000000002
4400,-320.765,-255.93,-184.376,-235.364,-231.528,-245.5926
4600,-319.422,-280.234,-130.791,-182.564,-219.357,-226.47359999999998
4800,-335.546,-199.683,-132.117,-221.329,-224.991,-222.73319999999998
5000,-328.646,-201.315,-129.077,-185.537,-189.721,-206.85920000000002
5200,-303.818,-165.583,-125.567,-164.63,-259.125,-203.7446
5400,-366.144,-167.956,-144.295,-169.86,-210.183,-211.68760000000003
5600,-343.855,-172.874,-112.095,-159.711,-192.03,-196.113
5800,-387.392,-168.36,-128.364,-153.99,-197.302,-207.08159999999998
6000,-353.798,-148.574,-115.331,-135.699,-178.64,-186.4084
6200,-390.62,-139.575,-122.173,-135.475,-167.735,-191.1156
6400,-409.335,-161.44,-109.425,-135.743,-209.662,-205.121
6600,-415.719,-122.926,-84.421,-149.688,-162.962,-187.1432
6800,-384.08,-136.519,-80.642,-133.431,-195.55,-186.0444
7000,-403.962,-122.844,-102.781,-142.259,-214.557,-197.2806
7200,-396.657,-117.037,-93.209,-150.371,-224.168,-196.2884
7400,-408.157,-147.382,-87.279,-153.562,-231.373,-205.55059999999997
7600,-381.727,-127.174,-81.377,-117.96,-232.026,-188.0528
7800,-362.387,-119.386,-118.69,-148.849,-210.266,-191.91559999999998
8000,-393.091,-88.883,-68.767,-139.66,-221.1,-182.3002
8200,-423.772,-158.805,-102.661,-139.334,-200.571,-205.0286
8400,-423.612,-166.32,-77.775,-129.751,-189.307,-197.353
8600,-398.944,-135.793,-113.011,-129.001,-226.461,-200.642
8800,-462.186,-117.871,-141.26,-97.79,-226.217,-209.06480000000002
9000,-353.068,-142.51,-118.158,-103.292,-157.102,-174.826
9200,-448.426,-105.811,-101.879,-133.907,-260.404,-210.08540000000002
9400,-459.421,-125.749,-92.204,-101.921,-230.393,-201.9376
9600,-463.377,-145.842,-87.823,-108.612,-227.094,-206.5496
9800,-404.471,-116.181,-124.261,-112.677,-239.828,-199.4836
10000,-318.466,-122.147,-92.193,-103.774,-239.916,-175.2992
