train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
200,-677.239,-419.214,-396.622,-247.806,-453.912,-438.95860000000005
400,-116.651,-426.138,-421.857,-196.145,-437.035,-319.5652
600,-138.691,-430.757,-393.456,-172.809,-183.536,-263.8498
800,-122.707,-417.245,-128.433,-186.788,-185.896,-208.2138
1000,-164.689,-449.946,-124.834,-315.466,-443.048,-299.59659999999997
1200,-157.355,-585.46,-188.466,-179.716,-508.496,-323.8986
1400,-114.668,-595.531,-218.289,-255.243,-500.363,-336.8188
1600,-109.887,-466.531,-218.093,-218.595,-240.935,-250.8082
1800,-206.272,-472.553,-292.252,-148.461,-204.373,-264.7822
2000,-89.326,-483.904,-448.722,-101.156,-197.963,-264.2142
2200,-199.417,-476.394,-441.415,-181.587,-226.857,-305.134
2400,-133.486,-453.063,-437.896,-129.461,-217.151,-274.2114
2600,-150.656,-489.156,-455.678,-147.582,-198.83,-288.3804
2800,-136.524,-509.246,-456.168,-134.22,-214.763,-290.18420000000003
3000,-127.515,-478.774,-440.693,-94.323,-207.142,-269.68940000000003
3200,-116.67,-469.935,-457.976,-144.286,-226.658,-283.105
3400,-90.798,-472.929,-111.041,-125.048,-193.789,-198.721
3600,-95.915,-462.609,-134.51,-174.751,-190.299,-211.6168
3800,-130.219,-471.423,-135.806,-118.369,-206.074,-212.37820000000002
4000,-135.737,-470.568,-131.959,-116.523,-182.149,-207.38719999999998
4200,-111.903,-466.12,-172.957,-178.602,-205.11,-226.9384
4400,-133.249,-467.471,-161.472,-167.21,-191.84,-224.2484
4600,-119.869,-465.719,-169.706,-121.942,-187.853,-213.0178
4800,-137.518,-484.047,-162.031,-109.011,-207.227,-219.9668
5000,-159.312,-455.159,-187.764,-122.903,-225.298,-230.08720000000002
5200,-79.355,-485.227,-143.587,-151.32,-199.714,-211.8406
5400,-119.253,-393.876,-172.341,-128.226,-192.849,-201.30900000000003
5600,-111.563,-416.776,-111.451,-158.056,-204.829,-200.53500000000003
5800,-121.928,-404.69,-181.311,-96.857,-207.554,-202.468
6000,-163.843,-408.014,-107.54,-151.627,-218.219,-209.84859999999998
6200,-174.891,-359.388,-161.525,-148.56,-225.528,-213.97840000000002
6400,-165.282,-445.931,-140.208,-103.628,-191.35,-209.27979999999997
6600,-134.714,-417.179,-135.135,-170.002,-212.612,-213.9284
6800,-127.066,-360.674,-132.996,-159.534,-205.696,-197.1932
7000,-87.051,-414.322,-169.505,-109.953,-236.65,-203.4962
7200,-63.499,-389.543,-150.467,-130.268,-229.431,-192.6416
7400,-142.441,-425.739,-131.559,-113.136,-209.775,-204.52999999999997
7600,-118.448,-395.275,-131.216,-130.282,-210.782,-197.2006
7800,-159.713,-374.867,-132.593,-114.508,-239.682,-204.2726
8000,-170.637,-341.797,-160.804,-170.751,-201.279,-209.05360000000002
8200,-186.948,-439.415,-106.446,-130.153,-225.363,-217.66500000000002
8400,-118.901,-362.211,-70.859,-129.795,-193.827,-175.1186
8600,-148.535,-397.014,-126.219,-187.446,-192.22,-210.2868
8800,-175.888,-405.865,-137.46,-123.245,-189.893,-206.47020000000003
9000,-59.676,-431.802,-181.713,-116.5,-195.96,-197.1302
9200,-171.911,-472.685,-182.797,-132.306,-213.367,-234.6132
9400,-194.189,-483.454,-166.717,-130.161,-221.564,-239.217
9600,-131.293,-450.888,-169.612,-148.109,-194.941,-218.9686
9800,-139.134,-451.529,-172.867,-97.807,-199.354,-212.1382
10000,-148.14,-466.758,-192.047,-156.545,-216.143,-235.92659999999995
