train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-154.21,-481.239,-296.457,-331.707,-215.346,-295.79179999999997
200,-278.514,-301.187,-287.759,-393.119,-417.767,-335.66920000000005
400,-326.009,-332.097,-167.331,-377.167,-339.422,-308.40520000000004
600,-262.37,-340.141,-563.547,-345.05,-400.474,-382.3164
800,-309.349,-356.591,-344.289,-283.887,-187.47,-296.3172
1000,-488.526,-286.534,-281.819,-304.799,-257.79,-323.8936
1200,-491.818,-409.892,-247.97,-310.258,-155.434,-323.0744
1400,-266.081,-401.327,-445.172,-298.923,-383.565,-359.0136
1600,-392.337,-212.96,-209.703,-436.151,-271.057,-304.4416
1800,-418.957,-411.649,-289.148,-343.422,-508.318,-394.29879999999997
2000,-335.597,-308.533,-399.172,-313.467,-573.037,-385.9612000000001
2200,-351.168,-259.2,-449.992,-471.592,-226.439,-351.67819999999995
2400,-245.76,-220.227,-514.456,-251.532,-302.096,-306.81419999999997
2600,-337.817,-365.146,-527.459,-551.746,-201.108,-396.65520000000004
2800,-149.391,-482.162,-490.769,-249.153,-398.551,-354.0052
3000,-188.397,-402.792,-369.543,-336.721,-406.608,-340.81219999999996
3200,-368.346,-300.365,-318.129,-367.114,-345.193,-339.82939999999996
3400,-423.763,-265.903,-564.071,-340.372,-349.237,-388.66920000000005
3600,-458.666,-118.081,-475.212,-511.282,-154.241,-343.49639999999994
3800,-346.574,-523.7,-381.846,-485.014,-378.438,-423.11440000000005
4000,-366.749,-437.597,-402.787,-513.035,-419.427,-427.91900000000004
4200,-371.251,-465.258,-330.039,-455.19,-449.348,-414.21720000000005
4400,-274.377,-406.478,-402.053,-412.388,-300.612,-359.1816
4600,-288.124,-452.048,-503.664,-131.767,-272.39,-329.5986
4800,-308.319,-242.92,-473.592,-533.778,-500.805,-411.88280000000003
5000,-362.251,-372.871,-376.145,-484.967,-227.85,-364.81679999999994
5200,-427.604,-296.346,-337.765,-314.628,-248.889,-325.0464
5400,-298.474,-335.288,-318.297,-264.079,-301.671,-303.5618
5600,-624.387,-440.057,-412.492,-468.472,-292.935,-447.66859999999997
5800,-355.925,-355.564,-324.364,-403.376,-187.471,-325.34000000000003
6000,-402.871,-140.467,-257.677,-313.202,-247.478,-272.33900000000006
6200,-321.534,-152.995,-238.507,-223.893,-298.043,-246.99440000000004
6400,-158.732,-270.402,-482.957,-279.831,-208.121,-280.0086
6600,-349.368,-452.535,-404.497,-314.805,-99.334,-324.10780000000005
6800,-324.872,-363.789,-556.208,-297.191,-302.905,-368.99300000000005
7000,-505.864,-355.486,-390.189,-397.848,-217.109,-373.2992
7200,-444.388,-294.101,-217.28,-186.57,-176.822,-263.8322
7400,-567.465,-248.676,-573.519,-208.336,-294.058,-378.4108
7600,-414.307,-314.677,-317.874,-270.987,-192.19,-302.00700000000006
7800,-239.687,-360.084,-264.998,-506.398,-296.038,-333.441
8000,-241.615,-336.414,-289.212,-535.224,-232.391,-326.97120000000007
8200,-344.718,-197.239,-388.319,-465.012,-227.581,-324.5738
8400,-384.621,-351.097,-265.577,-424.518,-275.218,-340.20619999999997
8600,-290.144,-452.747,-462.755,-433.328,-99.129,-347.6206
8800,-189.985,-293.013,-291.955,-410.546,-552.415,-347.5828
9000,-229.573,-107.699,-204.053,-350.217,-246.755,-227.6594
9200,-211.936,-355.468,-407.157,-342.309,-213.592,-306.0924
9400,-141.329,-182.213,-564.361,-331.74,-276.276,-299.1838
9600,-173.884,-199.71,-185.426,-388.658,-80.826,-205.7008
9800,-290.817,-353.786,-522.625,-495.694,-155.212,-363.6268
