train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-373.04,-566.133,-190.087,-524.999,-415.742,-414.00020000000006
400,-405.971,-339.101,-317.505,-195.834,-456.126,-342.9074
800,-265.669,-480.803,-292.088,-268.205,-396.364,-340.62579999999997
1200,-349.214,-493.414,-439.425,-436.745,-343.226,-412.40479999999997
1600,-362.325,-283.937,-311.192,-390.096,-346.936,-338.8972
2000,-584.033,-403.508,-354.787,-381.205,-375.642,-419.8349999999999
2400,-239.876,-509.943,-331.677,-436.415,-187.702,-341.12260000000003
2800,-193.575,-378.194,-389.87,-189.832,-440.42,-318.3782
3200,-154.121,-452.174,-283.517,-273.949,-622.932,-357.3386
3600,-240.087,-314.717,-322.693,-502.496,-288.257,-333.65
4000,-156.816,-454.51,-339.137,-392.159,-322.92,-333.10839999999996
4400,-210.518,-444.084,-267.115,-403.221,-456.011,-356.1898
4800,-220.418,-599.717,-482.938,-344.749,-197.547,-369.0738
5200,-193.613,-252.361,-240.261,-492.457,-119.127,-259.5638
5600,-139.153,-400.496,-271.482,-462.624,-177.217,-290.19440000000003
6000,-174.62,-376.241,-215.126,-268.772,-205.801,-248.112
6400,-207.596,-430.599,-275.054,-290.612,-134.606,-267.6934
6800,-155.076,-195.792,-294.712,-308.625,-159.928,-222.82659999999996
7200,-213.744,-259.339,-232.265,-449.443,-172.033,-265.36479999999995
7600,-171.908,-243.206,-222.396,-330.054,-85.808,-210.67440000000002
8000,-217.968,-192.962,-269.436,-440.458,-181.887,-260.5422
8400,-224.888,-186.939,-233.652,-445.174,-164.804,-251.09140000000002
8800,-174.132,-189.41,-252.906,-458.527,-180.556,-251.10620000000003
9200,-209.663,-194.81,-241.705,-465.677,-198.79,-262.129
9600,-214.164,-177.574,-324.945,-467.857,-207.103,-278.3286
10000,-150.015,-437.914,-234.767,-481.732,-153.068,-291.4992
10400,-224.311,-441.286,-289.265,-425.695,-142.911,-304.6936
10800,-170.76,-200.968,-252.393,-536.554,-192.884,-270.7118
11200,-143.718,-443.661,-235.77,-515.608,-264.762,-320.7038
11600,-129.23,-444.254,-236.608,-479.364,-175.445,-292.9802
12000,-207.233,-456.171,-343.06,-346.319,-167.716,-304.09979999999996
12400,-215.177,-185.545,-336.554,-341.726,-191.495,-254.09939999999997
12800,-200.629,-205.282,-300.855,-365.147,-127.93,-239.9686
13200,-190.47,-123.235,-250.492,-356.663,-236.637,-231.4994
13600,-164.271,-134.251,-478.252,-284.326,-217.562,-255.73239999999996
14000,-144.775,-138.102,-253.966,-216.679,-128.118,-176.32800000000003
14400,-147.008,-113.985,-243.493,-259.704,-204.979,-193.83380000000002
14800,-151.813,-126.575,-301.002,-209.673,-196.052,-197.023
15200,-273.01,-155.068,-271.426,-258.522,-203.893,-232.38379999999998
15600,-160.278,-156.11,-200.01,-184.541,-205.027,-181.19320000000002
16000,-141.757,-119.665,-406.893,-230.337,-213.128,-222.356
16400,-115.404,-122.768,-240.758,-240.814,-145.162,-172.9812
16800,-146.536,-133.027,-265.498,-180.299,-274.528,-199.9776
17200,-169.131,-125.585,-248.734,-214.611,-290.066,-209.62539999999998
17600,-149.847,-140.382,-231.782,-277.037,-204.83,-200.7756
18000,-107.362,-144.265,-130.076,-274.992,-191.116,-169.5622
18400,-148.889,-136.294,-123.328,-264.027,-216.899,-177.8874
18800,-161.711,-125.889,-251.121,-253.422,-172.699,-192.96840000000003
19200,-160.091,-121.887,-232.113,-271.27,-135.182,-184.1086
19600,-151.896,-136.687,-195.056,-207.937,-193.661,-177.0474
