train_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-328.035,-591.505,-473.055,-528.626,-384.301,-461.1044
200,-465.858,-513.516,-462.272,-361.082,-317.807,-424.10699999999997
400,-267.141,-452.107,-285.509,-231.462,-280.244,-303.29260000000005
600,-293.678,-473.418,-205.954,-217.033,-373.162,-312.649
800,-249.668,-479.087,-302.087,-194.087,-454.439,-335.8736
1000,-265.317,-541.565,-219.831,-312.042,-391.189,-345.98879999999997
1200,-232.142,-429.841,-207.595,-114.825,-470.798,-291.0402
1400,-373.402,-289.537,-218.639,-268.579,-422.159,-314.4632
1600,-240.735,-316.439,-350.818,-255.634,-456.844,-324.094
1800,-356.744,-388.691,-344.89,-248.566,-282.357,-324.2496
2000,-295.473,-267.784,-256.657,-191.361,-193.49,-240.95299999999997
2200,-437.709,-215.762,-225.159,-202.124,-235.84,-263.31879999999995
2400,-529.534,-192.724,-168.879,-253.089,-162.204,-261.286
2600,-540.474,-319.49,-443.531,-262.82,-312.999,-375.8628
2800,-537.443,-284.021,-184.311,-145.355,-422.003,-314.62659999999994
3000,-518.594,-328.224,-251.394,-344.354,-448.839,-378.281
3200,-476.863,-287.15,-177.831,-153.98,-376.827,-294.5302
3400,-376.184,-110.375,-191.882,-289.096,-152.088,-223.925
3600,-457.891,-432.032,-239.199,-175.75,-318.678,-324.71000000000004
3800,-434.483,-363.797,-195.475,-225.066,-446.568,-333.07779999999997
4000,-446.987,-191.389,-141.451,-205.615,-129.93,-223.07440000000003
4200,-484.058,-274.751,-306.454,-279.141,-132.962,-295.4732
4400,-503.256,-172.552,-232.687,-199.089,-129.141,-247.34500000000003
4600,-542.98,-150.341,-163.406,-238.997,-158.321,-250.80900000000003
4800,-451.651,-351.79,-291.819,-305.598,-128.363,-305.8442
5000,-463.153,-343.626,-146.712,-234.32,-107.899,-259.142
5200,-542.366,-349.793,-206.68,-223.619,-145.098,-293.5112
5400,-491.276,-275.671,-255.528,-174.274,-136.95,-266.7398
5600,-710.424,-420.708,-309.279,-302.579,-118.661,-372.3302
5800,-532.688,-409.724,-310.204,-294.403,-145.488,-338.5014
6000,-524.04,-370.659,-191.188,-217.109,-149.268,-290.45279999999997
6200,-581.196,-367.642,-225.095,-221.931,-144.452,-308.0632
6400,-297.297,-356.759,-286.666,-260.429,-113.037,-262.83759999999995
6600,-392.377,-395.871,-297.403,-353.626,-153.122,-318.4798
6800,-285.294,-444.09,-188.283,-359.163,-119.795,-279.325
7000,-356.055,-410.646,-172.661,-252.682,-120.823,-262.57340000000005
7200,-321.868,-379.955,-239.722,-217.432,-130.841,-257.96359999999993
7400,-423.496,-375.18,-206.966,-309.538,-107.195,-284.47499999999997
7600,-440.798,-375.512,-296.038,-185.288,-107.171,-280.9614
7800,-391.92,-360.443,-316.585,-239.957,-126.771,-287.13520000000005
8000,-441.126,-367.416,-210.204,-168.992,-114.178,-260.38319999999993
8200,-350.076,-435.124,-230.693,-276.115,-127.438,-283.8892
8400,-323.34,-365.286,-397.58,-309.387,-123.647,-303.84799999999996
8600,-523.144,-439.595,-146.829,-331.12,-110.646,-310.2668
8800,-478.69,-435.331,-141.944,-308.98,-131.641,-299.3172
9000,-435.369,-368.108,-159.877,-264.252,-138.468,-273.2148
9200,-473.154,-354.007,-129.686,-189.69,-129.214,-255.15019999999998
9400,-274.2,-390.353,-213.488,-208.095,-121.094,-241.446
9600,-444.178,-289.075,-178.051,-194.97,-125.019,-246.25859999999997
9800,-437.946,-337.641,-170.231,-191.818,-118.016,-251.1304
