time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1404.578,-1307.909,-1180.133,-1275.234,-1226.65,-1278.9008
500,-1141.195,-1182.13,-1089.306,-1025.219,-1112.481,-1110.0662
1000,-940.422,-906.692,-967.157,-865.185,-961.165,-928.1242
1500,-910.302,-689.352,-850.305,-687.636,-654.328,-758.3846
2000,-571.468,-558.908,-601.381,-549.252,-524.491,-561.1
2500,-382.56,-315.306,-424.247,-521.627,-415.709,-411.88980000000004
3000,-338.977,-174.992,-381.701,-289.068,-307.158,-298.37919999999997
3500,-202.741,-280.66,-261.93,-223.006,-243.467,-242.3608
4000,-319.486,-251.157,-335.696,-209.632,-287.06,-280.6062
4500,-277.436,-529.986,-585.983,-257.752,-233.133,-376.858
5000,-237.121,-279.141,-224.154,-332.045,-279.343,-270.36080000000004
5500,-319.662,-490.591,-283.136,-207.551,-254.171,-311.0222
6000,-160.444,-137.453,-286.395,-253.76,-511.56,-269.9224
6500,-220.025,-149.791,-227.703,-193.893,-202.943,-198.871
7000,-249.627,-162.109,-117.658,-232.97,-211.689,-194.8106
7500,-156.152,-185.221,-173.226,-204.382,-243.648,-192.5258
8000,-183.855,-162.015,-161.745,-111.37,-98.745,-143.546
8500,-207.531,-151.582,-175.763,-211.657,-164.55,-182.21660000000003
9000,-159.078,-164.737,-63.65,-199.753,-136.378,-144.7192
9500,-174.435,-147.086,-175.831,-171.066,-119.667,-157.61700000000002
