time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,-1209.402,-1342.017,-1325.135,-1070.995,-1191.766,-1227.863
5,-1322.821,-1163.986,-1347.085,-1218.73,-1069.361,-1224.3965999999998
10,-891.404,-1098.282,-1441.813,-1226.163,-1253.342,-1182.2008
15,-1110.018,-1277.927,-1002.326,-999.846,-1064.946,-1091.0126
20,-728.584,-1320.56,-1154.283,-1093.27,-876.735,-1034.6864
25,-886.811,-992.422,-1139.104,-684.804,-1258.326,-992.2934000000001
30,-923.155,-1112.727,-1036.915,-500.027,-989.58,-912.4808
35,-847.517,-832.83,-607.163,-224.589,-942.004,-690.8206
40,-343.572,-282.628,-408.51,-277.661,-539.41,-370.3562
45,-247.053,-306.336,-360.575,-284.34,-228.385,-285.33779999999996
50,-259.424,-379.194,-242.24,-366.612,-345.914,-318.6768
55,-476.237,-410.193,-304.991,-363.131,-394.831,-389.87660000000005
60,-535.118,-624.408,-270.059,-322.877,-512.837,-453.0598
65,-468.333,-703.425,-386.361,-528.925,-441.543,-505.7174
70,-582.441,-632.972,-386.282,-411.266,-561.013,-514.7948
75,-549.024,-176.223,-292.247,-321.297,-417.515,-351.26120000000003
80,-479.328,-413.208,-383.856,-417.614,-508.538,-440.50879999999995
85,-472.359,-580.919,-316.368,-386.308,-398.681,-430.92699999999996
90,-290.973,-520.513,-412.68,-428.808,-361.819,-402.95860000000005
95,-322.08,-373.55,-389.403,-360.838,-360.325,-361.2392
100,-581.013,-425.698,-396.537,-440.201,-311.738,-431.0374
105,-409.969,-589.824,-311.356,-466.38,-333.539,-422.21360000000004
110,-382.503,-519.723,-341.894,-574.761,-375.176,-438.81139999999994
115,-448.091,-441.129,-434.104,-496.228,-384.495,-440.8094
120,-505.142,-443.565,-1072.623,-429.152,-450.329,-580.1622
125,-267.942,-358.738,-993.213,-445.246,-482.978,-509.62340000000006
130,-413.968,-343.44,-923.089,-484.336,-493.616,-531.6898
135,-408.957,-388.875,-722.1,-535.846,-642.411,-539.6378000000001
140,-339.94,-508.615,-590.924,-364.889,-655.877,-492.049
145,-378.734,-447.94,-441.008,-401.653,-767.457,-487.35839999999996
150,-445.35,-532.465,-317.949,-555.022,-680.441,-506.24539999999996
155,-373.166,-366.975,-373.868,-616.77,-505.118,-447.1794
160,-532.203,-591.948,-474.957,-576.608,-466.36,-528.4151999999999
165,-487.064,-531.077,-366.998,-562.58,-392.324,-468.0086
170,-544.043,-444.111,-334.492,-573.014,-503.09,-479.75
175,-427.384,-460.561,-306.152,-487.008,-453.136,-426.8482
180,-292.842,-454.874,-344.948,-535.655,-423.423,-410.3484
185,-236.373,-411.781,-457.092,-599.106,-542.503,-449.371
190,-328.956,-464.203,-319.778,-815.598,-506.375,-486.98199999999997
195,-416.095,-562.276,-358.469,-765.321,-411.289,-502.68999999999994
